Running Env Steps,Itration,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Running Update Time,Real Det Return
0,0,13.5565,61.76015853881836,313.03,49.868,0,283.34
5000,1,20.0808,-20.301549911499023,301.86,50.0709,1,282.44
10000,2,18.392,-9.342252731323242,379.65,49.8137,2,389.75
15000,3,15.3878,20.087331771850586,321.31,50.109,3,320.09
20000,4,17.2769,4.310429096221924,319.71,50.1891,4,448.74
25000,5,13.3992,36.181182861328125,459.8,49.647,5,430.75
30000,6,12.8762,95.58489990234375,443.89,49.2529,6,599.48
35000,7,12.9507,135.46665954589844,487.44,49.3498,7,459.04
40000,8,19.3795,-44.47486877441406,500.78,48.893,8,523.26
45000,9,23.0718,-164.12600708007812,413.34,49.7604,9,619.59
50000,10,14.966,-40.10841369628906,453.47,48.3315,10,468.41
55000,11,19.5875,-81.77876281738281,458.25,49.2069,11,430.98
60000,12,20.9259,-83.61041259765625,489.65,48.3811,12,526.82
65000,13,21.794,-83.11271667480469,573.99,48.3785,13,674.74
70000,14,27.8224,-79.0632095336914,726.05,48.2757,14,777.73
75000,15,20.0854,-98.94832611083984,526.05,48.7002,15,504.02
80000,16,24.5723,-194.73231506347656,621.33,47.7146,16,551.73
85000,17,27.9902,-197.90342712402344,730.75,47.6287,17,859.72
90000,18,13.162,-116.37681579589844,1051.54,48.2415,18,1490.74
95000,19,20.5619,-220.708251953125,789.04,47.9575,19,1021.23
100000,20,14.7748,-149.45968627929688,987.49,47.0316,20,1175.19
105000,21,33.8345,-364.3495178222656,863.53,47.4474,21,930.97
110000,22,16.4921,-178.4239959716797,847.81,48.122,22,2774.35
115000,23,14.1868,-131.03872680664062,1032.71,47.3251,23,1045.87
120000,24,15.9393,-170.44395446777344,1442.33,46.6561,24,1606.48
125000,25,15.8269,-214.41671752929688,1385.61,46.1413,25,1073.54
130000,26,16.6757,-250.70652770996094,2293.8,46.1382,26,3295.07
135000,27,15.6578,-205.07594299316406,1765.21,45.7041,27,1436.65
140000,28,25.9533,-348.4848327636719,1594.37,44.7037,28,1626.22
145000,29,17.3656,-280.13433837890625,1040.7,46.2259,29,1204.94
150000,30,30.6005,-376.8174133300781,1717.17,45.3991,30,2383.49
155000,31,39.8664,-400.5992431640625,1472.74,45.6089,31,2116.59
160000,32,26.4263,-355.35333251953125,1839.32,45.8045,32,1698.5
165000,33,18.5488,-282.70794677734375,2868.74,45.1367,33,1578.24
170000,34,26.9079,-349.02239990234375,1686.23,45.042,34,2030.83
175000,35,18.265,-307.32305908203125,2453.83,44.8093,35,2692.63
180000,36,14.9505,-258.95428466796875,1973.93,44.8086,36,2853.14
185000,37,17.123,-292.2969055175781,2418.31,45.0417,37,1624.88
190000,38,17.2158,-284.77691650390625,2121.66,45.2196,38,2502.47
195000,39,15.6417,-236.4490966796875,2626.3,45.0494,39,3472.17
200000,40,16.9968,-279.03302001953125,3439.4,45.3078,40,3386.51
205000,41,17.1695,-306.6797180175781,2859.7,44.9238,41,2644.97
210000,42,17.5761,-297.1729736328125,3540.38,44.4538,42,3145.77
215000,43,20.5206,-312.6834411621094,3083.57,44.7825,43,3731.46
220000,44,18.8879,-368.52630615234375,3199.77,44.3696,44,3659.47
225000,45,15.7947,-269.5306091308594,2874.2,43.7382,45,3492.56
230000,46,17.0575,-304.3615417480469,3061.99,44.1501,46,3530.26
235000,47,20.5457,-338.2505798339844,3575.57,44.8902,47,3831.76
240000,48,19.6849,-332.603759765625,3756.79,44.3001,48,3918.29
245000,49,20.0127,-335.8419494628906,3683.28,44.3585,49,3947.94
250000,50,18.3272,-336.4975891113281,3546.77,44.1233,50,3923.27
255000,51,19.7202,-345.64093017578125,3688.78,44.3054,51,4015.29
260000,52,18.9131,-345.46209716796875,3802.07,44.2933,52,3971.52
265000,53,19.8995,-351.11712646484375,3571.71,44.7868,53,3919.55
270000,54,18.2391,-375.9123840332031,3199.57,44.0495,54,3945.31
275000,55,16.7235,-353.446533203125,3336.35,43.7011,55,4029.03
280000,56,20.6782,-352.22283935546875,3931.37,44.4413,56,4046.21
285000,57,17.7245,-391.22308349609375,3818.03,43.6625,57,3912.64
290000,58,18.912,-398.23394775390625,3471.03,44.0212,58,4096.17
295000,59,18.3369,-410.66412353515625,3666.76,44.2803,59,3944.38
300000,60,16.2434,-366.20220947265625,3730.16,43.2238,60,4219.17
305000,61,16.7113,-403.9897155761719,3341.38,43.4633,61,3422.92
310000,62,17.4031,-403.5814208984375,3641.66,44.2144,62,4021.06
315000,63,18.96,-402.58465576171875,3438.25,44.2186,63,3994.01
320000,64,18.7777,-399.4234313964844,4067.54,43.537,64,4027.46
