Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Itration,Real Det Return,Real Sto Return
0,0,602.3917236328125,31.5742,30.7231,0,201.12,201.51
1,5000,547.000244140625,30.3654,18.8977,1,315.42,311.35
2,10000,425.7462463378906,30.746,100.3128,2,311.39,308.38
3,15000,384.9867248535156,30.6868,107.1517,3,346.58,340.39
4,20000,509.5211486816406,27.9572,61.5116,4,348.46,290.59
5,25000,391.24468994140625,28.3093,64.5066,5,378.7,348.66
6,30000,400.1419677734375,29.1698,43.098,6,419.98,398.39
7,35000,380.9491882324219,29.8847,25.5945,7,331.78,398.35
8,40000,322.95538330078125,27.8566,30.2155,8,497.14,476.41
9,45000,94.4888687133789,27.6098,47.6412,9,709.03,705.98
10,50000,50.43258285522461,29.1383,38.4706,10,370.24,436.84
11,55000,-4.014997482299805,29.2923,32.4416,11,416.47,459.29
12,60000,24.78756332397461,28.9617,38.0069,12,660.71,619.97
13,65000,11.713582038879395,29.0595,49.7014,13,741.73,721.79
14,70000,-19.896696090698242,29.0711,31.725,14,1077.12,919.02
15,75000,-68.63129425048828,28.4611,29.5437,15,2658.56,1751.81
16,80000,-115.41392517089844,28.1694,36.4047,16,742.03,730.27
17,85000,-152.78659057617188,28.8409,86.7578,17,773.25,767.24
18,90000,-269.9302673339844,28.9367,50.2308,18,637.19,724.96
19,95000,-315.3889465332031,28.3973,45.8782,19,832.23,823.73
20,100000,-353.5635986328125,28.2926,52.5706,20,881.93,898.59
21,105000,-436.76287841796875,28.1551,57.5087,21,827.63,800.98
22,110000,-475.01727294921875,27.6654,68.6142,22,951.03,944.17
23,115000,-464.5865173339844,27.433,83.3367,23,1146.94,1080.91
24,120000,-276.39764404296875,27.3311,27.6574,24,2930.37,2061.39
25,125000,-281.4256896972656,27.0326,30.7738,25,2523.41,2491.79
26,130000,-536.6952514648438,27.2235,34.2126,26,1005.42,1413.44
27,135000,-706.562255859375,28.0664,47.6744,27,989.93,1214.45
28,140000,-711.0934448242188,27.5828,71.3466,28,997.71,940.59
29,145000,-720.1668701171875,27.9261,56.6559,29,1120.59,1389.07
30,150000,-870.0150146484375,27.6824,51.9686,30,1614.68,1223.17
31,155000,-920.5626831054688,27.461,68.9175,31,1143.04,1009.48
32,160000,-879.3800659179688,27.0125,60.748,32,1081.05,1195.9
33,165000,-996.4339599609375,27.3657,69.8971,33,1000.72,1174.77
34,170000,-536.0353393554688,26.2721,34.4682,34,3072.4,2182.1
35,175000,-853.7794799804688,26.1372,46.6701,35,3108.46,1795.19
36,180000,-986.06982421875,27.1069,47.1151,36,1267.12,1493.14
37,185000,-869.8595581054688,26.7236,40.2421,37,3082.12,2164.52
38,190000,-928.0866088867188,27.0674,41.0495,38,2437.46,1534.32
39,195000,-1231.0638427734375,26.9986,42.4425,39,1032.75,972.69
40,200000,-902.6791381835938,26.7235,34.0977,40,3126.45,1769.6
41,205000,-970.6111450195312,26.7207,28.4163,41,3128.87,1787.96
42,210000,-980.8742065429688,26.2069,35.043,42,3121.04,1930.23
43,215000,-1199.4937744140625,26.5678,24.9944,43,3051.78,1292.52
44,220000,-974.4297485351562,26.7266,31.4244,44,3144.93,1886.01
45,225000,-972.9281005859375,25.5945,30.5505,45,3113.71,2322.91
46,230000,-1292.6368408203125,26.0818,25.3494,46,2590.82,1574.2
47,235000,-1437.435791015625,26.6617,42.9777,47,2603.62,1464.12
48,240000,-1530.543701171875,27.1796,25.895,48,2115.01,1232.5
49,245000,-1748.0380859375,27.6978,39.7645,49,1143.17,1070.83
50,250000,-1621.084228515625,27.0557,25.2674,50,1829.52,1196.91
51,255000,-1351.3211669921875,26.6542,27.3906,51,3042.49,1813.43
52,260000,-1549.4200439453125,26.0189,37.8085,52,1385.23,1419.94
53,265000,-1532.4058837890625,26.0559,47.9267,53,1450.64,1394.4
54,270000,-1315.680908203125,26.1237,32.5798,54,2803.15,1743.83
55,275000,-1637.2000732421875,25.7255,30.0734,55,2113.3,1693.41
56,280000,-1697.361083984375,26.0448,25.7713,56,2456.56,1384.42
57,285000,-1706.452880859375,26.2417,31.9553,57,2995.09,1756.3
58,290000,-1801.69189453125,25.8572,43.2372,58,2881.54,1752.15
59,295000,-1905.970703125,26.3406,39.6077,59,1584.61,1371.29
60,300000,-1619.53466796875,26.3019,20.1438,60,1493.41,1394.17
