Running Reverse KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
19.7122,0,-48.01485824584961,0,177.01,0,179.78,32.1214
61.9324,1,-29.002975463867188,5000,285.85,1,290.88,31.4157
53.7732,2,-46.29523468017578,10000,254.29,2,251.77,30.9017
50.5469,3,-51.263877868652344,15000,453.85,3,445.32,28.7497
52.152,4,-62.290931701660156,20000,440.84,4,435.62,28.3517
36.3278,5,-65.69844818115234,25000,552.25,5,508.83,26.9212
34.5478,6,-69.37842559814453,30000,834.33,6,1020.42,26.3463
25.6235,7,-74.21190643310547,35000,1248.37,7,876.14,24.8433
16.5298,8,-69.83828735351562,40000,881.94,8,859.45,25.6487
19.6586,9,-53.983306884765625,45000,816.62,9,1123.65,25.469
17.3707,10,-20.817607879638672,50000,758.25,10,990.07,25.5931
16.3689,11,-43.24552536010742,55000,1411.95,11,1877.88,26.5589
15.3841,12,-60.95221710205078,60000,2980.11,12,2680.4,24.7764
16.4113,13,-54.51154708862305,65000,3053.46,13,2388.23,24.7824
16.5568,14,-57.89655303955078,70000,2950.51,14,2734.79,24.8274
21.6447,15,-61.21471405029297,75000,2356.81,15,2203.14,23.6233
19.2547,16,-69.09609985351562,80000,931.4,16,1582.12,25.0515
34.2783,17,-77.82532501220703,85000,822.32,17,918.8,26.0459
19.1442,18,-72.26039123535156,90000,920.45,18,1380.8,25.2936
26.135,19,-92.05158233642578,95000,913.44,19,1326.35,25.7833
24.1384,20,-96.54198455810547,100000,948.8,20,1131.45,25.5676
24.8932,21,-99.58953857421875,105000,976.96,21,1528.61,25.508
20.711,22,-88.19833374023438,110000,2015.01,22,2747.92,23.5088
15.1288,23,-83.476318359375,115000,2846.19,23,2915.44,23.9583
16.2106,24,-90.61001586914062,120000,1228.23,24,2481.32,22.9905
14.0077,25,-53.878501892089844,125000,3347.56,25,2824.86,22.4499
14.3319,26,-63.012630462646484,130000,3224.16,26,3213.41,23.4226
15.164,27,-72.17232513427734,135000,3308.54,27,3297.26,23.3484
13.1106,28,-58.453277587890625,140000,3306.2,28,3247.8,22.0488
13.1375,29,-52.83299255371094,145000,3434.08,29,3119.91,22.068
13.9487,30,-43.8265495300293,150000,3395.91,30,3348.56,22.0811
13.9444,31,-37.289798736572266,155000,3446.07,31,3463.84,21.5832
13.7646,32,-42.61088562011719,160000,3470.09,32,3358.89,22.166
14.894,33,-76.89619445800781,165000,3487.79,33,3317.82,22.4179
14.5453,34,-73.81069946289062,170000,3457.77,34,2484.78,22.9942
15.3834,35,-39.5902099609375,175000,3465.32,35,3312.69,23.4378
14.4732,36,-63.38834762573242,180000,3338.97,36,3348.9,22.6452
15.7293,37,-39.55313491821289,185000,3536.73,37,3502.93,23.2796
14.9108,38,-44.611541748046875,190000,3441.77,38,3380.01,21.973
15.2112,39,-40.45432662963867,195000,3544.32,39,3490.3,22.8295
14.7226,40,-41.16374206542969,200000,3543.73,40,3505.98,22.2185
14.6558,41,-49.85958480834961,205000,3521.88,41,3486.01,22.4424
12.8321,42,-54.07956314086914,210000,3477.43,42,3446.25,21.6295
15.7062,43,-49.2482795715332,215000,3505.05,43,3480.57,23.1306
15.0257,44,-54.86440658569336,220000,3511.16,44,3470.68,22.2576
13.3406,45,-64.24633026123047,225000,3490.09,45,3455.14,21.664
14.9002,46,-48.44963455200195,230000,3530.92,46,3502.69,22.4496
13.7036,47,-55.5814208984375,235000,3507.13,47,3439.01,21.9832
13.3853,48,-55.135101318359375,240000,3494.94,48,3352.13,21.4884
14.2576,49,-54.75688171386719,245000,3503.38,49,3388.81,21.7369
12.9,50,-44.2047119140625,250000,3528.36,50,3426.55,20.739
12.954,51,-49.62137222290039,255000,3535.47,51,3241.12,21.7938
14.5294,52,-59.398292541503906,260000,3514.46,52,3492.79,22.0231
12.5994,53,-52.94844436645508,265000,3524.44,53,3078.44,21.722
13.0912,54,-70.38241577148438,270000,3495.89,54,3443.13,20.8407
13.6383,55,-67.38162231445312,275000,3497.44,55,3477.65,21.9932
13.294,56,-79.47671508789062,280000,3508.19,56,3067.07,21.9398
13.806,57,-73.97007751464844,285000,3482.18,57,3468.96,21.5588
12.5545,58,-83.80400848388672,290000,3499.23,58,3304.38,21.0002
12.9157,59,-61.60298156738281,295000,3531.65,59,3294.26,21.5551
12.6896,60,-88.94390106201172,300000,3520.89,60,3016.11,21.7212
14.7113,61,-65.89606475830078,305000,3544.52,61,3515.36,21.7388
14.3449,62,-69.47550201416016,310000,3512.07,62,3436.33,22.5131
14.9718,63,-82.52468872070312,315000,3533.16,63,3506.09,22.7558
15.2972,64,-72.23099517822266,320000,3563.94,64,3523.5,21.7231
13.5474,65,-83.66632080078125,325000,3514.72,65,3245.59,21.8043
13.6361,66,-74.3768539428711,330000,3495.31,66,3438.64,20.9761
14.1982,67,-77.15013885498047,335000,3520.46,67,3505.76,21.5093
13.6271,68,-81.18584442138672,340000,3539.62,68,3451.5,21.2422
13.5415,69,-88.09819793701172,345000,3515.18,69,3466.26,20.7823
14.1833,70,-107.4076919555664,350000,3541.77,70,3370.56,21.1035
14.332,71,-91.14032745361328,355000,3516.31,71,3486.73,21.9957
14.0307,72,-83.59011840820312,360000,3527.74,72,3306.0,21.3812
13.066,73,-104.57706451416016,365000,3522.08,73,2936.98,21.4061
13.8808,74,-104.34326171875,370000,3500.87,74,3473.63,21.6027
15.5811,75,-150.37905883789062,375000,3498.86,75,3108.09,20.9609
13.7376,76,-115.57522583007812,380000,3517.36,76,2936.48,21.4167
13.752,77,-106.05460357666016,385000,3535.56,77,3407.16,21.2566
12.791,78,-129.68104553222656,390000,3495.68,78,3364.85,20.8642
12.8941,79,-104.27490234375,395000,3496.47,79,3454.49,20.6806
14.3226,80,-100.49751281738281,400000,3540.86,80,3506.08,21.7376
14.224,81,-104.37962341308594,405000,3536.98,81,3475.68,21.8316
12.6283,82,-113.77880096435547,410000,3477.31,82,3149.49,20.6541
13.8686,83,-102.07510375976562,415000,3503.87,83,3411.49,21.2587
13.0466,84,-105.76939392089844,420000,3497.32,84,3461.88,20.8944
12.5566,85,-113.83992767333984,425000,3473.29,85,3303.43,20.6358
14.3979,86,-120.60415649414062,430000,3504.43,86,3472.13,21.5254
12.0367,87,-144.029541015625,435000,3506.17,87,3209.57,21.7208
13.9955,88,-110.2832260131836,440000,3513.45,88,3487.88,21.4956
12.917,89,-108.46397399902344,445000,3522.59,89,3508.3,20.8121
13.3204,90,-119.90454864501953,450000,3486.56,90,3449.46,20.6138
12.9233,91,-101.45092010498047,455000,3518.79,91,3492.07,20.0338
12.0466,92,-125.89254760742188,460000,3502.03,92,3366.36,20.0544
14.2662,93,-124.75791931152344,465000,3505.12,93,3473.91,21.5944
13.8588,94,-128.84217834472656,470000,3491.77,94,3462.8,21.0548
13.4954,95,-94.20063781738281,475000,3548.28,95,3521.35,20.2568
11.8084,96,-132.82936096191406,480000,3514.13,96,3294.96,20.3938
13.4276,97,-134.6736602783203,485000,3514.23,97,3484.67,21.0371
11.884,98,-137.55169677734375,490000,3511.94,98,3473.24,19.8586
12.2111,99,-121.59487915039062,495000,3510.63,99,3481.16,19.5518
13.7364,100,-136.47994995117188,500000,3516.26,100,3485.85,21.0769
12.9975,101,-136.21229553222656,505000,3517.71,101,3489.04,20.7796
13.0065,102,-129.62391662597656,510000,3516.14,102,3485.85,20.1002
12.7417,103,-122.25240325927734,515000,3521.09,103,3477.66,20.087
12.2212,104,-136.78269958496094,520000,3488.52,104,3370.55,19.5389
12.7121,105,-145.88169860839844,525000,3504.47,105,3476.22,19.7317
12.9568,106,-135.1681365966797,530000,3523.08,106,3401.11,20.1426
12.9027,107,-147.3617706298828,535000,3510.88,107,3480.34,20.0837
13.7062,108,-140.92813110351562,540000,3514.81,108,3487.0,20.5127
12.94,109,-140.89222717285156,545000,3522.4,109,3503.3,19.8504
12.9925,110,-136.63088989257812,550000,3525.13,110,3506.77,20.1132
13.5838,111,-146.96630859375,555000,3512.09,111,3490.63,20.4666
12.3499,112,-142.84091186523438,560000,3503.62,112,3339.53,19.8021
12.2712,113,-143.43142700195312,565000,3522.26,113,3488.26,19.9064
12.6741,114,-173.34754943847656,570000,3510.23,114,3473.73,19.965
12.2788,115,-154.48776245117188,575000,3529.04,115,3472.24,19.5295
12.9633,116,-154.97080993652344,580000,3523.55,116,3490.56,19.9976
14.1474,117,-170.6382293701172,585000,3516.04,117,3484.56,20.9605
12.9033,118,-162.10281372070312,590000,3511.44,118,3496.23,20.4472
12.6683,119,-156.4277801513672,595000,3510.2,119,3492.55,19.8783
12.8815,120,-153.0625,600000,3510.83,120,3474.34,19.8178
13.0232,121,-167.92141723632812,605000,3490.51,121,3460.87,20.2541
12.5614,122,-173.2179412841797,610000,3503.84,122,3466.82,20.0146
13.0436,123,-173.76390075683594,615000,3527.65,123,3496.29,20.458
12.7219,124,-177.59164428710938,620000,3511.45,124,3497.52,19.8409
11.8236,125,-156.84561157226562,625000,3505.12,125,3485.34,19.5434
12.4221,126,-174.90228271484375,630000,3523.51,126,3515.23,19.734
12.1756,127,-187.95004272460938,635000,3487.66,127,3469.14,20.3017
13.0685,128,-189.0792694091797,640000,3492.4,128,3464.91,20.3077
12.772,129,-180.68235778808594,645000,3517.83,129,3491.05,20.0061
12.2137,130,-182.55776977539062,650000,3485.79,130,3462.87,19.4085
12.0145,131,-199.62216186523438,655000,3510.76,131,3287.4,19.7989
12.6944,132,-183.63946533203125,660000,3498.46,132,3479.47,19.555
13.5118,133,-197.9071044921875,665000,3512.77,133,3480.4,20.8663
13.0874,134,-186.3286590576172,670000,3508.16,134,3481.38,19.8549
12.4122,135,-207.71673583984375,675000,3514.47,135,3467.45,20.1024
13.0938,136,-179.7417755126953,680000,3509.93,136,3493.8,20.0367
12.8418,137,-207.0166473388672,685000,3509.17,137,3476.71,19.736
13.2327,138,-194.36630249023438,690000,3532.99,138,3515.64,20.7315
12.6534,139,-188.3815460205078,695000,3503.39,139,3473.42,19.59
12.607,140,-190.5989990234375,700000,3526.82,140,3508.77,20.1492
12.3789,141,-205.6280975341797,705000,3512.16,141,3491.81,19.994
12.6613,142,-196.72817993164062,710000,3483.97,142,3463.46,19.8066
12.1354,143,-216.5454559326172,715000,3502.43,143,3482.24,20.2222
13.6873,144,-210.36688232421875,720000,3488.28,144,3466.21,20.4297
12.5503,145,-205.0806427001953,725000,3516.92,145,3494.58,19.4356
12.8895,146,-214.26998901367188,730000,3512.2,146,3492.65,19.6904
11.5519,147,-209.2310333251953,735000,3488.8,147,3387.59,19.0095
12.6839,148,-210.70530700683594,740000,3497.01,148,3470.69,19.7509
12.7226,149,-211.159912109375,745000,3500.92,149,3480.07,20.0617
13.1009,150,-223.15924072265625,750000,3499.72,150,3478.72,20.185
12.5244,151,-239.8852081298828,755000,3504.55,151,3308.06,20.3088
12.326,152,-224.14862060546875,760000,3524.81,152,3485.52,19.554
12.4285,153,-224.02110290527344,765000,3511.59,153,3498.82,19.7125
12.5468,154,-242.52801513671875,770000,3511.8,154,3490.32,20.5814
