Real Sto Return,Running Forward KL,Itration,Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss
310.05,49.4733,0,0,278.66,0,15.1037,1447.1724853515625
348.11,49.7359,1,5000,404.85,1,23.9234,1045.8048095703125
365.15,49.3502,2,10000,308.95,2,29.6229,473.7794494628906
388.67,49.6945,3,15000,433.92,3,15.4095,1489.5843505859375
388.46,49.5112,4,20000,401.69,4,20.1518,2316.722900390625
412.94,48.8239,5,25000,402.07,5,34.7197,1074.280029296875
421.76,49.3908,6,30000,479.99,6,21.9386,1430.30517578125
539.65,48.6789,7,35000,655.66,7,19.3316,1337.117919921875
489.18,49.2347,8,40000,436.05,8,48.7274,506.8974609375
789.81,48.0997,9,45000,679.17,9,27.2996,483.7023620605469
1199.06,47.7864,10,50000,1091.74,10,21.3418,521.20263671875
810.28,47.5939,11,55000,896.65,11,25.4565,549.4512329101562
749.57,47.3765,12,60000,842.75,12,25.7397,565.8116455078125
810.6,47.7943,13,65000,770.16,13,27.0525,476.65570068359375
405.92,47.9274,14,70000,841.74,14,22.0364,849.6281127929688
966.04,46.8655,15,75000,1033.03,15,34.9126,322.07861328125
1121.94,47.5236,16,80000,1121.4,16,34.2139,223.22662353515625
862.14,47.3674,17,85000,975.12,17,32.1434,127.82361602783203
1480.43,46.936,18,90000,2005.85,18,38.818,42.95820999145508
1135.15,47.6628,19,95000,1660.09,19,19.126,315.5001525878906
1451.2,46.4051,20,100000,1488.67,20,25.8813,166.14456176757812
716.95,48.2467,21,105000,550.9,21,38.6612,71.34713745117188
1673.91,46.9335,22,110000,1385.26,22,22.2645,8.852097511291504
1639.86,46.3499,23,115000,2467.58,23,29.0536,-168.40541076660156
1184.15,47.2083,24,120000,1366.44,24,30.0522,-293.0184631347656
940.57,47.5127,25,125000,821.39,25,40.9792,-464.1409606933594
1157.82,47.463,26,130000,1320.69,26,33.5883,-338.0052490234375
1728.61,46.9126,27,135000,1899.51,27,31.8333,-394.7497863769531
1135.65,47.1824,28,140000,1394.66,28,35.2478,-433.44219970703125
1427.34,46.3584,29,145000,1623.11,29,25.585,-482.6032409667969
1347.43,46.1463,30,150000,1448.47,30,27.1431,-611.7415771484375
1356.87,46.4892,31,155000,1712.31,31,18.4383,-219.31375122070312
1204.2,46.6617,32,160000,1136.66,32,25.0494,-617.9329223632812
1990.0,46.0232,33,165000,2733.65,33,16.4353,-478.1822204589844
1280.05,46.1839,34,170000,1385.33,34,18.3771,-408.42327880859375
1476.0,46.6141,35,175000,1313.76,35,17.4185,-228.0199737548828
1536.94,46.2549,36,180000,2819.98,36,14.2642,-401.3319396972656
