Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Reward Loss,Itration,Running Update Time
418.6367,0,239.8685,313.62,348.27,-5553.787109375,0,0
429.8269,5000,286.6994,400.47,396.97,-5250.58642578125,1,1
438.8782,10000,262.447,246.41,385.81,-5754.56640625,2,2
419.278,15000,269.0674,258.38,415.38,-5906.91845703125,3,3
418.931,20000,252.1484,259.6,383.33,-6267.89453125,4,4
417.132,25000,250.7052,415.15,372.37,-6536.9541015625,5,5
425.9897,30000,252.9852,563.37,422.16,-6435.12841796875,6,6
424.3364,35000,265.8199,419.84,388.94,-6782.77197265625,7,7
415.3054,40000,272.6956,530.0,477.2,-6606.99951171875,8,8
397.8707,45000,273.9473,636.44,523.19,-6770.61083984375,9,9
406.8468,50000,272.2847,384.13,444.51,-7209.48046875,10,10
407.85,55000,260.4366,421.6,494.85,-7420.9306640625,11,11
397.8423,60000,252.4491,600.19,530.11,-7306.703125,12,12
416.1233,65000,257.7038,474.5,510.55,-7745.916015625,13,13
430.1519,70000,279.0492,369.84,462.3,-8190.65576171875,14,14
405.075,75000,259.6564,555.66,521.65,-8219.7919921875,15,15
414.3332,80000,260.4336,512.26,556.56,-8363.5810546875,16,16
415.7861,85000,268.6445,474.35,542.07,-8558.4384765625,17,17
418.4306,90000,247.0645,593.09,503.14,-8515.4453125,18,18
411.4712,95000,243.7387,431.89,536.34,-8559.0,19,19
406.6981,100000,266.0768,468.29,575.21,-9208.88671875,20,20
412.4481,105000,256.8207,527.24,602.25,-9649.77734375,21,21
404.4139,110000,253.4521,554.76,485.3,-9585.3173828125,22,22
426.0434,115000,281.2948,448.63,497.41,-10254.4619140625,23,23
417.7361,120000,244.9071,462.22,532.67,-10113.9384765625,24,24
409.5975,125000,233.2184,533.07,555.36,-9637.861328125,25,25
414.4697,130000,232.6435,516.15,575.66,-10166.994140625,26,26
394.8639,135000,234.3692,547.19,624.09,-10464.6787109375,27,27
402.3875,140000,239.1369,754.26,637.38,-10771.1123046875,28,28
402.2846,145000,245.8255,510.11,552.0,-11030.0693359375,29,29
383.0644,150000,247.1875,733.71,693.81,-10782.2275390625,30,30
386.9652,155000,240.2362,821.58,725.75,-10700.5263671875,31,31
397.204,160000,255.4235,726.02,710.94,-11344.11328125,32,32
390.2319,165000,260.1746,669.88,650.3,-11318.6611328125,33,33
417.1079,170000,253.9913,507.44,644.5,-11664.3232421875,34,34
401.724,175000,239.5185,795.06,719.16,-11409.1005859375,35,35
413.771,180000,268.264,581.27,576.37,-11838.462890625,36,36
397.1101,185000,235.3793,702.54,647.64,-11293.0361328125,37,37
388.3729,190000,250.4961,589.12,709.92,-11913.5224609375,38,38
404.1769,195000,243.6533,713.55,670.3,-11532.20703125,39,39
392.987,200000,240.9926,724.21,705.52,-11943.5703125,40,40
383.0824,205000,227.0645,803.62,834.56,-11120.2783203125,41,41
387.5175,210000,238.0679,748.69,678.88,-11899.8681640625,42,42
390.5252,215000,252.2759,667.89,735.14,-12239.89453125,43,43
395.6742,220000,234.0858,723.59,863.09,-12108.08203125,44,44
379.7821,225000,240.0864,712.44,754.54,-11746.01171875,45,45
390.06,230000,247.6634,679.31,762.43,-12061.5380859375,46,46
391.0942,235000,235.1291,809.25,846.47,-12134.30859375,47,47
391.2343,240000,249.6887,807.05,697.35,-12445.44140625,48,48
399.8776,245000,283.051,648.67,808.13,-13295.9091796875,49,49
385.8003,250000,255.4337,617.51,737.05,-12466.369140625,50,50
400.078,255000,243.4738,675.33,902.65,-12382.6708984375,51,51
391.7098,260000,251.2449,826.26,791.11,-12393.908203125,52,52
375.0171,265000,245.7527,879.28,907.84,-12572.07421875,53,53
378.0015,270000,263.2253,736.12,873.37,-13215.751953125,54,54
367.5384,275000,244.087,911.96,988.1,-12147.5595703125,55,55
