Itration,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return
0,0,171.25,444.5458,230.76170349121094,243.4469,0,197.25
1,1,357.65,418.8988,-131.22421264648438,275.1196,5000,363.88
2,2,312.72,427.921,-349.1101989746094,265.023,10000,343.68
3,3,275.34,422.951,-734.5340576171875,249.9491,15000,419.18
4,4,402.6,430.7725,-640.2034912109375,251.3152,20000,358.0
5,5,304.35,410.7282,-1122.702880859375,247.5635,25000,462.31
6,6,340.49,413.7794,-1470.9345703125,275.0717,30000,371.21
7,7,518.1,405.5651,-1562.66357421875,255.6338,35000,428.45
8,8,581.32,396.9346,-1877.8753662109375,250.5298,40000,462.99
9,9,469.82,423.2534,-1948.2977294921875,256.4823,45000,461.46
10,10,409.43,405.2688,-2198.09130859375,254.4235,50000,443.31
11,11,402.89,406.3052,-2212.88427734375,248.0615,55000,414.71
12,12,447.99,407.3356,-2709.208984375,244.0451,60000,467.16
13,13,626.49,413.9399,-2986.163818359375,264.6155,65000,551.22
14,14,653.17,409.0324,-3225.010498046875,255.9924,70000,480.39
15,15,664.48,427.2945,-3664.720947265625,270.3047,75000,520.47
16,16,690.22,413.8152,-3563.322509765625,236.3186,80000,578.47
17,17,650.89,410.9386,-3735.799072265625,246.5573,85000,612.32
18,18,550.55,408.0841,-3993.953125,249.948,90000,533.8
19,19,685.87,418.2459,-4417.18701171875,251.6525,95000,553.68
20,20,661.55,421.324,-4538.58349609375,248.9706,100000,576.4
21,21,581.92,403.1855,-4703.87841796875,244.7465,105000,635.52
22,22,561.66,399.5739,-4955.71728515625,260.8106,110000,642.3
23,23,662.71,402.5553,-5337.04296875,257.4242,115000,639.57
24,24,586.79,394.1262,-5562.09130859375,248.9556,120000,652.67
25,25,636.99,380.3234,-5778.04443359375,253.3151,125000,628.63
26,26,606.44,385.9093,-5949.20556640625,245.4801,130000,723.37
27,27,613.17,376.896,-6218.5732421875,257.7309,135000,697.15
28,28,674.54,392.376,-6233.37841796875,257.7876,140000,649.14
29,29,583.8,383.0129,-6483.615234375,250.4992,145000,641.12
30,30,550.59,383.6305,-6668.3935546875,247.3171,150000,688.43
31,31,675.8,371.7581,-6838.15625,250.2788,155000,742.06
32,32,635.06,362.7377,-6854.73828125,246.1874,160000,762.06
33,33,736.45,373.0623,-7132.79443359375,242.212,165000,681.47
34,34,765.81,385.8971,-7012.0986328125,233.4148,170000,639.37
35,35,746.54,359.8144,-7844.2080078125,258.2678,175000,738.56
36,36,662.19,356.236,-7410.7197265625,230.9058,180000,817.2
37,37,655.16,369.4863,-7200.17138671875,242.9016,185000,796.89
38,38,772.0,358.5912,-7937.3330078125,234.5533,190000,681.61
39,39,699.8,349.002,-7775.28564453125,234.3483,195000,815.11
40,40,634.03,365.1876,-8214.56640625,246.2949,200000,885.3
41,41,557.4,359.1992,-8104.64208984375,230.326,205000,734.25
42,42,823.43,352.7253,-7994.8837890625,221.8325,210000,855.04
43,43,880.51,351.8418,-8692.1494140625,240.1124,215000,853.57
44,44,691.69,368.7791,-8627.583984375,228.7142,220000,837.7
45,45,756.26,373.6568,-8906.078125,229.7577,225000,799.39
46,46,965.85,359.1237,-9162.2373046875,236.125,230000,872.44
47,47,625.77,346.4752,-8861.169921875,211.3815,235000,1117.12
48,48,691.23,349.0998,-9027.990234375,226.0855,240000,1024.05
49,49,825.65,344.3776,-9497.0126953125,231.5944,245000,921.92
50,50,983.72,368.4777,-9457.49609375,231.7473,250000,818.81
51,51,742.18,340.7819,-8216.6591796875,219.6673,255000,971.17
52,52,597.22,386.4426,-8965.17578125,241.7612,260000,669.59
53,53,925.18,344.6033,-9994.6474609375,246.0343,265000,1059.53
54,54,771.53,339.857,-9664.21875,229.7506,270000,1076.53
55,55,759.77,332.5204,-9359.9443359375,247.73,275000,1163.78
56,56,702.77,360.9423,-10396.892578125,288.6457,280000,759.3
57,57,658.67,328.6085,-8750.4150390625,249.9211,285000,1588.23
58,58,686.18,336.9805,-9859.6435546875,269.9535,290000,961.34
59,59,2041.92,326.4464,-10541.3359375,247.7141,295000,1238.25
60,60,636.81,351.2875,-11069.91796875,253.547,300000,901.09
61,61,1657.75,309.1457,-8919.5517578125,209.9489,305000,1923.87
62,62,624.28,317.8749,-7986.33544921875,171.2053,310000,1780.97
63,63,2510.04,312.8575,-7180.15185546875,150.2044,315000,2196.7
64,64,682.98,362.6991,-11970.23046875,282.9879,320000,966.14
65,65,1610.93,331.7478,-8780.0625,186.6541,325000,721.11
66,66,1355.36,340.51,-11352.03515625,263.158,330000,1146.88
67,67,522.33,317.6316,-8208.1767578125,170.0148,335000,2246.98
68,68,1311.66,307.8267,-8168.46484375,161.5064,340000,2623.61
69,69,888.26,310.6031,-7195.91357421875,143.158,345000,2803.49
70,70,2910.55,323.6914,-9072.583984375,196.6795,350000,2480.37
71,71,2916.17,313.9746,-8894.203125,169.1335,355000,2025.83
72,72,1392.92,316.4646,-8867.62109375,170.3311,360000,2029.28
73,73,4121.64,308.783,-8177.79638671875,157.9488,365000,2590.66
74,74,1055.63,320.2341,-9797.5693359375,213.6257,370000,1569.19
75,75,855.8,308.1626,-8760.7275390625,177.8181,375000,2432.51
76,76,4136.54,303.1987,-8104.7734375,172.9863,380000,2694.32
77,77,3285.96,282.9143,-5794.49267578125,111.4304,385000,3888.5
78,78,1285.08,302.1842,-7711.11962890625,146.3329,390000,2505.68
79,79,2053.51,291.0124,-4680.39892578125,106.4152,395000,4512.4
80,80,2819.49,304.6482,-7181.2802734375,139.2368,400000,4448.47
81,81,3743.98,306.082,-6902.587890625,137.3199,405000,3907.53
82,82,3648.68,301.3072,-8305.4091796875,152.4484,410000,3023.66
83,83,5117.26,295.1826,-6943.00634765625,120.871,415000,3032.2
84,84,3101.28,291.8486,-6053.4658203125,113.8289,420000,3935.81
85,85,3540.49,285.9425,-5440.626953125,98.009,425000,3793.56
86,86,4540.06,295.7972,-7147.39697265625,131.3561,430000,4425.59
87,87,4629.03,296.8345,-8877.48046875,153.2781,435000,2878.66
88,88,4050.95,290.7038,-6307.060546875,115.617,440000,4363.57
89,89,5037.05,285.2288,-6088.87744140625,98.2881,445000,3453.12
90,90,5047.35,281.2252,-7345.603515625,115.8885,450000,4446.85
91,91,2726.27,315.3218,-8444.892578125,153.6716,455000,4176.09
92,92,5020.45,301.3422,-7975.7470703125,138.63,460000,3899.51
93,93,4371.46,305.4569,-8287.7373046875,142.007,465000,4085.14
94,94,2613.72,294.1425,-7596.35888671875,132.6686,470000,3573.33
95,95,4646.97,294.7683,-6242.71728515625,101.7125,475000,4515.17
96,96,5201.09,286.4452,-5249.35107421875,90.4726,480000,4961.83
97,97,4921.4,301.3259,-6000.564453125,100.0244,485000,4297.2
98,98,5129.55,288.9505,-5919.95166015625,94.1919,490000,4536.86
99,99,4914.85,295.631,-7492.40625,121.2571,495000,4090.89
100,100,5030.03,295.2463,-6934.8447265625,103.8859,500000,4651.62
101,101,3620.9,287.3448,-6491.49951171875,97.2387,505000,4877.35
102,102,2423.96,282.1601,-5804.099609375,87.1904,510000,4961.18
103,103,5089.67,282.0912,-6084.49072265625,89.9937,515000,4983.19
104,104,5181.72,292.0424,-6820.26171875,111.7099,520000,5071.98
105,105,4188.5,286.0555,-6672.32080078125,94.9715,525000,5120.29
106,106,4712.04,282.6955,-6874.30908203125,85.6304,530000,5080.43
107,107,4418.29,279.9151,-7192.095703125,100.3831,535000,4853.81
108,108,5181.18,275.3923,-6776.18896484375,78.9888,540000,4678.67
109,109,4372.33,282.3444,-7480.25244140625,95.1302,545000,4960.18
110,110,4835.61,273.0925,-6976.1787109375,72.5897,550000,4503.92
111,111,5160.74,303.515,-9173.2646484375,127.7125,555000,3056.63
112,112,3909.19,302.7598,-10334.8466796875,150.3617,560000,3581.69
113,113,4280.1,311.5959,-10116.513671875,132.9551,565000,3589.48
114,114,5027.48,302.1813,-9394.2158203125,121.129,570000,4463.31
115,115,5222.32,298.0612,-9083.15625,104.2259,575000,4975.21
116,116,5057.76,279.4092,-7896.20947265625,80.8932,580000,4198.93
117,117,5098.21,278.139,-7923.9052734375,75.2209,585000,4883.34
118,118,5108.7,303.2127,-9359.0771484375,102.0244,590000,4765.9
119,119,4144.48,285.5167,-8710.82421875,78.4451,595000,5064.49
120,120,3007.67,278.2032,-8075.001953125,75.17,600000,4967.19
121,121,3252.17,295.2902,-9665.6533203125,101.7357,605000,4772.33
122,122,5210.26,271.4891,-8664.474609375,76.7546,610000,4942.26
123,123,5159.81,306.688,-10921.380859375,128.5801,615000,4164.77
124,124,5267.24,274.804,-9219.798828125,87.3311,620000,4851.82
125,125,4728.34,293.2805,-10279.1484375,98.3992,625000,4455.74
126,126,5119.77,274.4687,-9434.6064453125,71.7127,630000,4749.21
127,127,5131.23,280.2895,-9560.6640625,85.0568,635000,4894.97
128,128,5129.15,283.7612,-10208.3896484375,87.6189,640000,4982.42
129,129,4811.28,290.3096,-10481.9267578125,92.9757,645000,4546.95
130,130,4697.89,290.2896,-10845.0810546875,95.1061,650000,5003.43
131,131,4732.05,282.7717,-10580.3251953125,83.7925,655000,4995.15
132,132,5018.53,286.4993,-11158.7958984375,98.1013,660000,4700.66
133,133,3923.44,280.7357,-10781.568359375,94.2795,665000,4970.04
134,134,4998.07,280.578,-11007.455078125,106.6782,670000,4292.25
135,135,5272.56,279.364,-10823.634765625,77.4574,675000,4921.82
136,136,5260.07,286.692,-11959.0546875,92.5934,680000,4929.79
137,137,5287.93,274.7449,-11111.7099609375,79.6516,685000,4651.89
138,138,5107.15,278.9893,-11738.3203125,88.2407,690000,4886.58
139,139,4955.5,293.9668,-12352.291015625,119.3323,695000,4113.23
140,140,5060.32,286.6384,-12379.328125,140.7005,700000,3405.11
141,141,5190.48,274.6046,-11615.2431640625,82.6918,705000,4772.75
142,142,5079.56,262.3381,-10660.3193359375,66.3242,710000,4492.95
143,143,5228.6,269.3656,-11168.0869140625,65.3951,715000,5098.34
144,144,5333.49,269.8245,-11438.240234375,75.7805,720000,5098.26
145,145,4775.18,261.4709,-11344.1259765625,62.2421,725000,4358.36
146,146,5341.54,285.4006,-12634.703125,99.8322,730000,5177.46
147,147,5092.9,282.8221,-12606.380859375,85.9521,735000,5053.18
148,148,4961.7,280.4874,-11939.8740234375,83.2437,740000,5073.98
149,149,4628.68,292.1491,-13558.6728515625,105.8023,745000,5139.84
