Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL,Itration
213.25,170.86,245.8781,438.0166,0
341.22,374.58,245.4231,449.0518,1
361.36,402.42,295.9262,425.9636,2
378.69,367.11,295.9879,435.7342,3
458.36,427.15,246.2448,428.0046,4
397.84,458.74,258.0798,416.074,5
445.51,420.97,309.1649,422.9686,6
437.12,331.68,282.5016,416.8204,7
479.19,553.28,289.1703,408.3934,8
534.79,482.09,262.4373,427.4798,9
537.89,513.53,269.2933,413.3253,10
476.61,657.63,267.3982,401.2125,11
472.69,458.95,339.0939,416.3374,12
497.54,554.41,304.9986,417.4966,13
491.03,580.56,268.3899,408.0501,14
522.61,530.23,262.2178,414.7882,15
548.16,596.82,258.8036,414.3993,16
516.45,532.94,260.7898,405.4215,17
532.82,497.38,270.1222,416.1704,18
538.89,528.52,274.761,410.8733,19
598.83,625.83,282.2186,399.1354,20
659.56,674.14,287.9908,393.2148,21
639.95,650.19,293.2756,386.4113,22
800.14,689.15,299.4138,395.2262,23
632.16,608.89,271.8741,399.3584,24
650.97,536.46,304.0829,396.2336,25
704.01,485.74,382.2357,388.0422,26
742.38,564.87,311.3518,391.5633,27
726.55,535.99,291.2227,382.0168,28
849.11,627.95,275.7302,384.6196,29
736.68,590.44,310.8763,376.1199,30
912.51,868.73,275.3148,378.2574,31
866.2,692.86,301.7127,376.1853,32
1060.17,777.66,261.4512,372.5532,33
967.26,800.25,326.9713,392.7577,34
1287.16,1021.18,269.2072,376.4741,35
848.88,585.75,282.9045,364.81,36
1074.37,606.27,285.3407,365.1059,37
1100.09,502.03,311.1928,371.7673,38
806.4,965.74,311.6106,368.3813,39
948.2,732.11,330.9042,359.5095,40
1356.79,1394.15,234.4883,345.4243,41
1205.34,1285.67,266.0706,360.1724,42
1175.1,990.6,302.8345,373.7901,43
1307.98,981.96,272.6591,353.5267,44
1450.88,1158.67,277.8104,351.3733,45
1529.19,1151.21,259.0888,374.5683,46
1530.05,1031.99,238.1829,351.4472,47
1634.33,938.15,215.618,359.0619,48
1643.39,1522.82,234.9824,358.3576,49
2507.23,752.3,240.6412,374.2748,50
2222.8,1647.97,201.2842,350.2076,51
1507.7,934.19,250.4169,397.7254,52
2691.76,1716.09,205.7979,340.0826,53
1706.84,851.72,190.2661,347.0233,54
1098.28,704.2,274.1605,401.5263,55
3107.76,1530.6,151.263,323.1702,56
3209.68,1164.38,159.6188,333.4268,57
2954.07,1036.3,145.7894,324.7975,58
3203.51,2650.87,121.2934,314.0764,59
2242.74,1122.67,154.5037,322.0134,60
2955.76,2067.58,148.1131,320.5742,61
3450.85,4896.31,140.8356,318.1769,62
4042.76,3587.96,131.1317,319.332,63
4688.68,2162.58,144.3549,325.3102,64
4699.11,3203.82,131.1241,318.6087,65
4393.94,4629.55,163.487,324.6546,66
3737.64,4924.61,135.5545,321.7454,67
4602.7,1579.97,134.1974,318.9595,68
4703.5,2907.28,134.3472,324.3235,69
