Running Forward KL,Real Sto Return,Itration,Running Reverse KL,Real Det Return
39.2809,284.24,0,19.3081,291.61
38.3101,273.37,1,23.6147,289.32
38.3521,304.11,2,30.0952,307.19
38.2619,309.3,3,27.1691,310.93
37.8063,311.2,4,40.3084,310.31
38.3484,314.67,5,35.8351,314.86
38.8704,317.24,6,32.8684,317.61
37.8975,315.32,7,36.2248,314.61
38.8779,311.6,8,48.9922,310.71
38.2691,313.94,9,34.9223,318.65
37.6547,332.23,10,21.5095,331.76
38.4918,318.36,11,20.9105,319.26
37.7112,327.88,12,19.669,331.18
36.1179,364.05,13,20.4883,357.6
35.4854,352.03,14,19.7892,353.4
34.2331,385.41,15,18.1628,385.13
33.4159,351.92,16,39.1388,348.56
34.0548,508.9,17,15.2421,563.72
34.9519,417.47,18,15.9383,397.43
34.2077,455.86,19,16.2494,465.9
32.7236,581.43,20,15.6306,696.35
31.0671,707.47,21,14.913,741.54
32.2564,962.33,22,15.4187,1052.6
33.0124,991.11,23,16.9393,1181.25
