Reward Loss,Itration,Running Env Steps,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Running Update Time
383.345947265625,0,0,32.9269,20.7794,210.73,216.7,0
269.3779602050781,1,5000,31.1065,25.9757,290.41,293.86,1
169.0049591064453,2,10000,30.4493,29.7961,304.24,303.91,2
223.48707580566406,3,15000,27.9327,13.0402,240.8,231.84,3
170.03460693359375,4,20000,30.8431,14.7477,316.75,322.43,4
129.58673095703125,5,25000,29.0093,15.8992,264.48,225.82,5
-59.80113220214844,6,30000,26.8528,35.7377,426.56,218.14,6
-122.33991241455078,7,35000,25.532,20.8629,636.81,646.36,7
-121.30042266845703,8,40000,25.6576,20.9741,668.28,672.88,8
-163.775634765625,9,45000,25.0915,23.1669,683.57,663.43,9
-136.1099853515625,10,50000,25.9342,19.0587,814.4,836.79,10
-208.97341918945312,11,55000,24.8925,21.1116,881.15,1064.92,11
-225.2287139892578,12,60000,25.6522,20.604,833.04,792.84,12
-190.82858276367188,13,65000,25.2473,19.9204,844.16,1286.42,13
-246.147705078125,14,70000,24.3075,20.2256,1089.68,811.91,14
-308.70166015625,15,75000,24.3733,20.2057,1120.35,1331.07,15
-317.7635498046875,16,80000,24.5146,20.344,1380.24,868.48,16
13.449845314025879,17,85000,23.6634,16.1558,2733.0,2755.96,17
9.380970001220703,18,90000,22.9992,15.4791,2418.39,3140.75,18
-162.42684936523438,19,95000,23.9525,15.2239,2389.33,2060.45,19
-95.84684753417969,20,100000,22.7947,14.868,2176.73,3152.97,20
-229.5976104736328,21,105000,23.231,15.8167,2052.17,813.29,21
-76.0173110961914,22,110000,22.7564,14.3352,2264.52,3047.36,22
48.139102935791016,23,115000,24.5498,17.1367,2804.06,3054.72,23
-40.62699508666992,24,120000,23.5086,14.186,2299.22,2967.44,24
-65.86914825439453,25,125000,23.778,15.965,3118.87,3070.1,25
-394.1494140625,26,130000,24.7865,17.5693,1248.44,3190.1,26
-271.4953918457031,27,135000,23.526,16.9571,1856.11,3185.37,27
-21.105703353881836,28,140000,22.97,15.1495,3071.83,3058.49,28
-540.8309326171875,29,145000,24.6795,17.0783,1201.19,1689.38,29
-243.8431854248047,30,150000,23.5832,15.4877,2811.7,3142.26,30
-466.3702087402344,31,155000,24.2566,16.4831,1439.28,3217.47,31
-114.3283920288086,32,160000,23.2859,16.4957,3035.88,3158.2,32
-117.70137786865234,33,165000,22.8029,15.654,2963.22,3131.6,33
-285.1710205078125,34,170000,24.054,15.8275,2148.7,3157.11,34
-114.93478393554688,35,175000,23.6614,16.8744,3006.86,3098.23,35
-359.47265625,36,180000,24.3279,16.1718,2554.65,3151.0,36
-227.80918884277344,37,185000,23.2026,15.4491,2916.04,3099.28,37
-591.7169189453125,38,190000,24.4784,16.8452,1809.52,3170.28,38
-192.88192749023438,39,195000,23.6734,15.556,2531.5,3152.04,39
-152.14059448242188,40,200000,22.9231,16.4446,3120.88,3156.75,40
-244.4298553466797,41,205000,23.816,15.4674,3028.45,3128.51,41
-809.1412353515625,42,210000,24.7404,24.8366,1280.15,2534.43,42
-178.23779296875,43,215000,24.0413,15.4389,2973.12,3158.99,43
-193.76068115234375,44,220000,23.1652,15.5861,3104.1,3090.27,44
-162.86068725585938,45,225000,23.5703,15.5698,3081.36,3095.43,45
-421.5878601074219,46,230000,23.2794,15.1335,2878.63,3144.26,46
-178.01966857910156,47,235000,23.4115,15.4946,3050.75,3178.47,47
-436.4410095214844,48,240000,23.135,14.5567,1984.36,3192.89,48
-270.2473449707031,49,245000,24.173,16.3123,3015.41,3151.62,49
-296.28765869140625,50,250000,23.5083,14.8441,3066.44,3183.27,50
-246.3409881591797,51,255000,23.4976,14.9938,2878.29,3155.59,51
-260.4643249511719,52,260000,23.7831,15.9692,3148.41,3144.67,52
-235.2403106689453,53,265000,23.0164,15.5263,3126.73,3169.34,53
-295.0312805175781,54,270000,24.4643,16.2448,3028.51,3058.04,54
-303.8603820800781,55,275000,23.4559,15.7572,3002.99,3151.07,55
-424.45684814453125,56,280000,24.0995,14.6397,2685.28,3138.77,56
-379.3186340332031,57,285000,23.776,15.3006,2955.19,3187.52,57
-525.5291137695312,58,290000,22.8391,14.8291,2559.92,3168.76,58
-636.1488647460938,59,295000,24.1697,14.5467,2017.88,3198.18,59
-576.0961303710938,60,300000,23.8385,15.5366,2673.8,3207.4,60
-453.50726318359375,61,305000,23.2205,15.5223,2832.05,3155.4,61
-416.05865478515625,62,310000,23.724,15.861,2962.29,3107.34,62
-375.3905334472656,63,315000,22.5255,15.1184,2952.29,3129.29,63
-465.7537536621094,64,320000,22.8573,15.0377,3033.65,3097.01,64
-514.8167724609375,65,325000,23.516,15.3803,2997.16,3163.88,65
-598.2828369140625,66,330000,23.0098,15.7661,2850.39,3175.83,66
-527.0624389648438,67,335000,23.8296,14.8896,2980.96,3161.05,67
-734.6507568359375,68,340000,22.3485,14.5979,2586.63,3207.71,68
-839.803466796875,69,345000,24.3089,15.7439,2692.9,3176.67,69
-468.9747619628906,70,350000,22.7232,14.798,3110.48,3162.78,70
-778.2202758789062,71,355000,23.5809,15.5653,2596.71,3175.46,71
-532.96044921875,72,360000,23.1381,15.8328,2946.14,3189.85,72
-530.9713745117188,73,365000,22.9242,14.853,2795.46,3192.19,73
-783.5524291992188,74,370000,23.4752,15.762,2774.53,3192.19,74
-702.7485961914062,75,375000,24.181,15.6957,2898.78,3189.4,75
-580.889404296875,76,380000,23.3067,15.5314,3176.5,3193.08,76
-582.8430786132812,77,385000,22.9425,15.1892,3140.23,3141.45,77
-530.5595703125,78,390000,22.3982,14.3975,3150.48,3162.83,78
-614.5907592773438,79,395000,23.2704,15.4945,2862.12,3168.27,79
-707.1835327148438,80,400000,22.6668,15.3121,2404.0,3190.2,80
-681.8421630859375,81,405000,22.561,14.7106,2914.25,3199.62,81
-797.8655395507812,82,410000,22.4055,15.0701,2448.96,3195.33,82
-649.5350952148438,83,415000,22.8666,14.9863,3054.47,3180.09,83
-664.7349853515625,84,420000,23.445,15.4412,3112.41,3138.12,84
-672.5009765625,85,425000,22.278,14.5616,2872.19,3202.64,85
-761.554443359375,86,430000,23.2915,14.7182,3039.76,3192.49,86
-1010.921875,87,435000,22.4985,15.4623,2560.66,3197.75,87
-740.3171997070312,88,440000,22.54,15.4798,2899.09,3169.7,88
-727.424072265625,89,445000,22.279,13.5681,2862.43,3201.58,89
-928.4898681640625,90,450000,22.7978,15.1182,2979.36,3207.47,90
-733.003662109375,91,455000,22.3051,14.7732,3037.0,3183.88,91
-795.2457885742188,92,460000,22.7127,14.7251,3179.81,3183.42,92
