Itration,Real Det Return,Real Sto Return,Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Running Forward KL
0,324.87,345.79,1595.712646484375,0,238.6411,0,444.752
1,289.71,310.62,791.1510620117188,1,250.6092,5000,455.4022
2,330.82,342.04,-314.7322998046875,2,251.8397,10000,452.7139
3,379.52,347.11,-260.7200012207031,3,268.0379,15000,436.1175
4,359.94,416.89,-190.35935974121094,4,268.5501,20000,426.3133
5,388.21,375.05,-622.45654296875,5,270.2743,25000,436.096
6,365.07,396.28,-918.1611328125,6,248.0566,30000,439.4628
7,422.3,414.79,-659.5387573242188,7,262.5531,35000,422.4455
8,572.96,475.21,-1524.0106201171875,8,247.9092,40000,418.2118
9,531.14,520.79,-1072.089111328125,9,252.5646,45000,405.9141
10,395.3,475.69,-895.727783203125,10,263.2338,50000,404.9002
11,434.92,559.94,-1086.2059326171875,11,239.9481,55000,415.6516
12,489.99,522.8,-2280.302978515625,12,238.2749,60000,408.2705
13,470.79,529.74,-2325.452392578125,13,231.9786,65000,398.1509
14,554.11,501.5,-2931.19580078125,14,243.8319,70000,396.5388
15,765.28,515.87,-2496.9033203125,15,251.9404,75000,398.8883
16,434.96,588.31,-3550.17724609375,16,231.3072,80000,395.1843
17,486.13,563.42,-2676.41259765625,17,247.3582,85000,391.2831
18,511.78,634.76,-2106.826416015625,18,261.6017,90000,388.1831
19,465.42,618.24,-3442.662353515625,19,240.4748,95000,384.5307
20,574.01,682.1,-4442.25537109375,20,224.6213,100000,383.2028
21,504.57,700.93,-4193.62646484375,21,234.1979,105000,386.4508
22,487.21,702.22,-3934.519775390625,22,240.7336,110000,378.1188
23,491.29,741.21,-4628.20263671875,23,241.1803,115000,382.5207
24,487.21,688.41,-4471.98828125,24,238.0238,120000,367.3572
25,478.32,686.67,-4650.99267578125,25,245.5198,125000,372.1512
26,613.94,1082.05,-5051.3349609375,26,224.662,130000,342.3702
27,564.56,742.81,-4657.72802734375,27,251.7132,135000,366.6377
28,639.86,781.66,-4998.51708984375,28,307.347,140000,381.466
29,597.29,817.97,-4800.876953125,29,334.4877,145000,370.1179
30,668.09,994.32,-5730.44775390625,30,271.5394,150000,365.4698
31,673.92,890.56,-5976.09716796875,31,252.1624,155000,367.3911
32,651.85,856.33,-6378.529296875,32,255.1843,160000,366.5372
33,625.68,655.65,-6306.36767578125,33,243.2368,165000,355.9891
34,611.16,791.15,-6204.74609375,34,282.754,170000,374.2117
35,620.71,1063.81,-6306.3193359375,35,237.722,175000,341.7836
36,690.05,829.83,-6708.90283203125,36,225.3893,180000,350.8488
37,897.93,887.79,-6830.244140625,37,234.985,185000,356.6655
38,714.88,859.54,-7676.4765625,38,260.6136,190000,386.6065
39,683.65,1032.93,-7264.41259765625,39,273.5933,195000,365.8423
40,712.09,1005.2,-6905.5615234375,40,259.7127,200000,347.0192
41,675.77,1269.57,-7521.380859375,41,266.3764,205000,344.6398
42,667.94,1028.5,-7993.8232421875,42,268.851,210000,356.7439
43,727.45,1322.96,-7139.77392578125,43,237.453,215000,331.6684
44,637.74,1248.3,-7866.96923828125,44,263.187,220000,344.4141
45,708.71,955.2,-8569.279296875,45,273.7583,225000,363.2589
46,877.69,1342.77,-9030.4228515625,46,238.6028,230000,369.964
47,685.74,1257.72,-8688.0634765625,47,257.4813,235000,353.9752
48,502.35,1099.66,-9360.533203125,48,248.8405,240000,386.7528
49,502.86,1900.93,-7082.7734375,49,184.423,245000,318.599
50,1100.7,1285.51,-9034.234375,50,246.4596,250000,351.522
51,581.13,1815.61,-7688.71484375,51,183.0017,255000,333.022
52,1345.07,2176.33,-6844.81298828125,52,161.4763,260000,304.2707
53,773.73,1853.23,-7606.42626953125,53,191.0886,265000,312.0532
54,835.73,2432.15,-6854.814453125,54,167.3862,270000,299.505
55,1362.08,2249.07,-9131.673828125,55,213.7416,275000,311.9468
56,662.97,3311.67,-6379.517578125,56,168.5919,280000,303.1023
57,1369.21,2509.66,-5511.59375,57,136.8811,285000,301.719
58,926.98,2172.67,-7228.85986328125,58,163.8108,290000,319.561
59,826.86,2212.47,-7559.85107421875,59,205.7342,295000,310.9144
60,791.2,2507.45,-7744.11376953125,60,171.5242,300000,309.4003
61,771.09,2062.94,-5739.92333984375,61,144.7945,305000,292.0474
62,1035.65,3110.49,-5438.94970703125,62,132.6897,310000,295.4869
63,2165.41,4449.48,-4025.457275390625,63,94.4475,315000,281.7376
64,741.96,3369.02,-7348.5419921875,64,188.5379,320000,326.0136
65,2279.54,4062.69,-6246.361328125,65,141.4138,325000,299.3641
66,1147.62,1850.61,-7813.732421875,66,169.1361,330000,323.0271
67,759.22,2930.02,-8311.12890625,67,181.779,335000,317.8721
68,538.61,2858.21,-8331.9013671875,68,190.2406,340000,332.6896
69,1160.17,3057.41,-7256.36962890625,69,163.3907,345000,329.6016
70,673.95,3645.35,-6189.595703125,70,121.2692,350000,300.2345
71,583.23,2164.63,-9823.8134765625,71,216.128,355000,333.2057
72,622.8,3313.94,-7654.9306640625,72,165.7989,360000,310.2713
73,582.35,2161.71,-10330.6357421875,73,222.6148,365000,333.6056
74,1460.85,2676.63,-8162.53271484375,74,152.9239,370000,316.6159
75,810.53,3840.96,-5156.4111328125,75,98.0651,375000,308.8046
76,770.71,3791.68,-8595.79296875,76,160.2749,380000,318.5236
77,702.99,2427.9,-9188.720703125,77,174.0184,385000,318.1331
78,874.08,3129.8,-7161.18603515625,78,124.9816,390000,313.7906
79,1391.99,4622.91,-5359.36474609375,79,106.865,395000,298.7754
80,3638.72,4167.93,-5068.00439453125,80,90.234,400000,286.6789
81,1381.89,4688.6,-5562.771484375,81,98.505,405000,299.7586
82,3669.8,3944.28,-6267.4296875,82,105.7836,410000,303.9535
83,732.55,3620.24,-9939.810546875,83,174.7255,415000,309.0344
