Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL,Itration,Real Sto Return,Reward Loss,Running Update Time
282.46,15.6908,0,37.1872,0,249.63,-213.48190307617188,0
309.11,15.1723,5000,35.6465,1,310.8,-214.98880004882812,1
361.11,16.2695,10000,35.8542,2,354.69,-248.72317504882812,2
376.25,15.9618,15000,35.9584,3,366.06,-241.3849639892578,3
51.28,19.3162,20000,35.5737,4,137.83,-311.35504150390625,4
177.15,18.5029,25000,31.4722,5,537.5,-265.3356628417969,5
472.45,23.2733,30000,33.2305,6,433.81,-285.74774169921875,6
551.24,18.9459,35000,33.1574,7,519.09,-293.5718994140625,7
423.47,17.9336,40000,30.7637,8,481.7,-302.2503662109375,8
523.6,18.1642,45000,31.6678,9,502.28,-326.2614440917969,9
479.62,21.0892,50000,34.1782,10,477.5,-337.34637451171875,10
421.86,17.9777,55000,31.0001,11,480.49,-353.66650390625,11
188.16,35.616,60000,32.6335,12,478.47,-380.8235168457031,12
578.22,52.3716,65000,32.6521,13,435.97,-423.50201416015625,13
811.88,14.9979,70000,30.2942,14,862.13,-320.1803894042969,14
190.25,18.8217,75000,33.6294,15,391.73,-383.1473388671875,15
679.79,18.1289,80000,30.7323,16,653.23,-362.56494140625,16
2166.34,13.967,85000,28.5996,17,1718.83,-186.36668395996094,17
658.56,19.0014,90000,29.9505,18,765.67,-355.22308349609375,18
3167.17,13.9541,95000,29.1973,19,1631.96,-264.83380126953125,19
3331.05,15.4636,100000,27.1594,20,2770.39,-23.361772537231445,20
3300.52,15.3528,105000,26.6913,21,1854.94,-79.21382904052734,21
3248.54,13.0404,110000,27.4304,22,2931.53,-127.0079345703125,22
3094.94,15.1982,115000,27.5227,23,3141.1,-51.12028121948242,23
3158.47,16.8178,120000,27.2423,24,3108.43,-53.65958786010742,24
3380.54,14.1308,125000,29.315,25,2852.34,-175.24281311035156,25
3321.81,15.4364,130000,28.2826,26,3034.09,-54.383785247802734,26
3349.15,14.2645,135000,27.1214,27,2641.35,-102.04985809326172,27
3404.62,15.0528,140000,28.1438,28,2148.56,-233.81593322753906,28
1475.45,14.4367,145000,28.242,29,1191.41,-343.64129638671875,29
3277.09,16.9186,150000,27.8635,30,3277.23,-46.40680694580078,30
1558.36,15.4872,155000,27.6907,31,1434.94,-351.8149108886719,31
3337.4,15.4928,160000,28.182,32,2776.01,-158.3984832763672,32
3371.88,14.2665,165000,28.4689,33,1468.47,-305.6331481933594,33
3344.59,17.2543,170000,28.604,34,3301.13,-52.02347183227539,34
3300.33,11.5737,175000,24.7021,35,3055.53,-80.02650451660156,35
3289.17,15.3631,180000,27.0864,36,3282.54,-55.32699966430664,36
1792.99,14.7299,185000,27.6502,37,1463.23,-334.1525573730469,37
3357.23,12.9558,190000,25.5307,38,3021.83,-102.50547790527344,38
3274.04,15.1076,195000,26.7639,39,3312.48,-53.264678955078125,39
3355.42,14.5107,200000,26.3276,40,3243.7,-47.40428924560547,40
3384.0,14.4106,205000,27.6664,41,2264.35,-203.03761291503906,41
3367.04,15.5105,210000,27.5059,42,3335.64,-66.85364532470703,42
3351.17,15.5971,215000,28.2723,43,3223.89,-96.90129852294922,43
3401.74,14.4591,220000,29.5011,44,2142.96,-297.8662109375,44
3339.53,15.5542,225000,26.7669,45,2042.27,-321.74365234375,45
3318.32,15.4418,230000,26.9715,46,3333.0,-70.69176483154297,46
3450.31,13.1687,235000,25.429,47,3358.49,-108.65807342529297,47
3405.48,14.4341,240000,26.6281,48,3388.03,-67.20948028564453,48
3386.01,12.4646,245000,26.9342,49,1097.39,-358.319580078125,49
3390.28,13.5207,250000,26.269,50,3112.8,-107.0234146118164,50
3303.24,14.5735,255000,26.7657,51,3044.79,-101.70417785644531,51
3412.84,13.2614,260000,26.7443,52,3337.66,-106.145263671875,52
3292.43,14.758,265000,25.8038,53,3208.94,-88.74213409423828,53
3332.24,14.5371,270000,27.1297,54,3309.91,-75.00588989257812,54
3404.67,14.4181,275000,25.7867,55,3339.97,-104.9488754272461,55
3311.04,15.3459,280000,27.0737,56,3058.77,-192.56875610351562,56
3426.79,13.423,285000,25.9174,57,3365.35,-140.31118774414062,57
3369.22,14.4086,290000,26.3748,58,2957.82,-200.3256378173828,58
3423.06,14.7148,295000,26.1946,59,2478.31,-195.6976318359375,59
3410.75,13.558,300000,26.1933,60,3142.68,-158.21165466308594,60
3417.45,14.9025,305000,26.1394,61,3278.55,-124.63754272460938,61
3435.45,13.8234,310000,25.8236,62,3171.24,-161.646728515625,62
3384.56,14.2441,315000,26.7623,63,2674.39,-277.5146789550781,63
3401.86,13.9182,320000,24.929,64,3128.78,-115.40359497070312,64
3427.06,12.9163,325000,25.0596,65,3050.68,-138.97842407226562,65
3424.33,13.691,330000,26.0961,66,3382.96,-112.29723358154297,66
3386.99,14.7458,335000,25.6734,67,3279.65,-93.58316802978516,67
3410.15,14.7095,340000,25.7192,68,3413.2,-116.66912078857422,68
3408.36,14.2197,345000,26.2053,69,3385.15,-93.0699691772461,69
3392.1,12.8412,350000,25.0658,70,3186.82,-147.86195373535156,70
3405.26,13.8575,355000,25.7421,71,2252.18,-286.14990234375,71
3412.45,15.097,360000,26.1514,72,2586.15,-287.4677734375,72
3357.23,14.4045,365000,24.8517,73,3324.93,-137.84884643554688,73
3385.11,13.9301,370000,25.8502,74,3055.51,-223.75685119628906,74
3380.88,13.6374,375000,26.3053,75,2733.87,-288.188232421875,75
3395.46,14.6427,380000,26.1984,76,3358.34,-107.27918243408203,76
3385.87,14.3431,385000,25.5751,77,3360.52,-139.95767211914062,77
3390.9,14.7766,390000,24.6766,78,3306.04,-222.73733520507812,78
3447.0,13.2699,395000,25.7872,79,3006.82,-237.85940551757812,79
3386.79,15.7705,400000,26.1228,80,3124.51,-235.385986328125,80
3437.98,19.5183,405000,27.164,81,2701.62,-371.0370178222656,81
3392.74,15.0823,410000,24.6723,82,3124.78,-182.81239318847656,82
3424.68,14.4947,415000,25.1359,83,3207.99,-161.65011596679688,83
3375.55,17.0192,420000,25.0446,84,3350.11,-244.04237365722656,84
3336.97,19.5002,425000,26.9227,85,2159.95,-355.5747985839844,85
3371.98,15.1553,430000,26.1667,86,3000.73,-317.8328857421875,86
3374.25,15.1066,435000,25.0229,87,3242.04,-181.74302673339844,87
3421.5,15.8896,440000,26.4412,88,3308.87,-221.1028289794922,88
3415.5,14.634,445000,26.4134,89,3157.59,-181.4858856201172,89
3405.58,13.7708,450000,25.208,90,3295.63,-146.90357971191406,90
3404.01,14.8766,455000,25.8985,91,3347.31,-176.564208984375,91
3372.19,19.3443,460000,26.1723,92,2966.81,-281.8205261230469,92
3287.83,28.5271,465000,27.0432,93,2132.58,-494.51959228515625,93
3432.3,13.2879,470000,24.2614,94,2772.19,-162.88291931152344,94
3407.38,13.8791,475000,24.3242,95,3187.93,-172.01882934570312,95
3385.75,14.8721,480000,25.9704,96,3344.03,-161.36138916015625,96
3404.62,14.2889,485000,25.6387,97,3043.2,-170.93104553222656,97
3392.91,20.3063,490000,25.4394,98,2736.03,-313.0326843261719,98
3362.62,12.8554,495000,24.6321,99,3223.19,-181.3282928466797,99
3386.57,14.9653,500000,24.7849,100,3267.37,-189.1370391845703,100
3396.73,13.5997,505000,24.1402,101,3247.96,-162.8134307861328,101
3369.1,13.2749,510000,24.625,102,3357.09,-187.59030151367188,102
3374.52,19.6584,515000,26.3935,103,2843.37,-280.7516174316406,103
3431.98,14.0056,520000,24.8219,104,3386.43,-176.7497100830078,104
3391.28,14.4816,525000,23.7445,105,3246.32,-235.74794006347656,105
3388.65,15.2105,530000,25.2511,106,2900.7,-217.0240936279297,106
3408.46,20.6656,535000,25.9352,107,2116.1,-422.4609069824219,107
3369.81,16.1763,540000,24.982,108,3261.51,-287.7180480957031,108
3443.52,13.0826,545000,25.1158,109,3335.4,-171.3011932373047,109
3403.98,14.6799,550000,25.4941,110,2622.46,-276.72772216796875,110
3365.25,13.7919,555000,24.9873,111,3122.28,-192.54237365722656,111
3341.76,13.3252,560000,24.7447,112,3275.49,-210.71243286132812,112
3384.88,12.6087,565000,25.1075,113,3332.28,-175.3328399658203,113
3368.14,14.386,570000,24.2634,114,2948.07,-298.561279296875,114
3405.09,11.7813,575000,23.6827,115,3209.32,-158.83160400390625,115
3405.16,13.6435,580000,25.8046,116,2943.36,-283.3975524902344,116
3381.58,11.707,585000,23.7739,117,3335.36,-199.11741638183594,117
3408.64,12.9779,590000,25.7884,118,2910.77,-351.0416259765625,118
3407.49,11.9673,595000,24.541,119,3365.65,-269.3550109863281,119
3365.82,12.713,600000,25.6196,120,3020.3,-279.6545715332031,120
3376.46,13.7966,605000,25.135,121,2926.01,-216.7389373779297,121
3435.71,13.5266,610000,25.3681,122,2920.36,-278.7308654785156,122
3392.48,13.9158,615000,25.385,123,3252.04,-251.82235717773438,123
3370.34,13.4803,620000,24.6882,124,3232.39,-232.5035400390625,124
3405.29,13.5771,625000,24.6011,125,3197.4,-261.5060729980469,125
3363.15,13.4488,630000,24.2402,126,3246.36,-228.7478485107422,126
3381.37,12.4696,635000,23.9334,127,3244.84,-201.88218688964844,127
3422.15,12.9135,640000,25.6479,128,2932.97,-338.0630798339844,128
3385.97,13.1254,645000,24.6533,129,3310.15,-200.36465454101562,129
3437.64,12.8364,650000,27.1687,130,2548.93,-409.3521423339844,130
3428.64,12.39,655000,24.263,131,2950.0,-216.99440002441406,131
3403.08,12.7621,660000,25.4719,132,3003.74,-280.3204650878906,132
3403.11,14.5142,665000,26.8595,133,2055.35,-490.63934326171875,133
3360.46,12.376,670000,24.7138,134,2734.09,-180.47373962402344,134
2672.53,11.7443,675000,27.1562,135,1934.11,-466.2294921875,135
3389.53,13.308,680000,25.6831,136,2674.87,-395.184814453125,136
3317.36,13.6011,685000,27.2592,137,2962.01,-344.555419921875,137
3437.34,15.2923,690000,26.9448,138,2541.71,-461.5685729980469,138
3363.52,13.4155,695000,25.8678,139,2787.93,-400.0400390625,139
3410.7,12.5942,700000,24.6821,140,2997.24,-311.7237548828125,140
3407.76,12.7491,705000,24.374,141,3182.45,-262.7351379394531,141
3426.58,16.0381,710000,26.8933,142,2721.54,-475.5751953125,142
3415.05,13.208,715000,24.6654,143,3146.02,-295.6064453125,143
3437.36,13.8276,720000,25.3429,144,2723.41,-415.28857421875,144
3358.42,16.8385,725000,26.5925,145,1927.92,-433.34942626953125,145
3436.27,14.4178,730000,25.2237,146,3289.46,-305.0953674316406,146
3440.35,11.4134,735000,23.6717,147,3391.46,-206.4638671875,147
3450.65,17.4768,740000,26.3754,148,2891.26,-323.0652160644531,148
3424.69,13.6804,745000,24.7151,149,3370.74,-315.4503173828125,149
3377.23,13.0547,750000,24.2546,150,2850.33,-298.2598571777344,150
3444.01,18.1379,755000,24.0459,151,3200.77,-343.4328308105469,151
3427.72,11.9475,760000,23.6275,152,3346.53,-250.34326171875,152
3408.86,11.8447,765000,24.4821,153,3349.81,-199.78213500976562,153
3437.95,12.3061,770000,23.6369,154,3241.83,-268.755859375,154
3434.32,15.1269,775000,25.0649,155,2631.32,-408.5943603515625,155
3447.65,20.2673,780000,25.5725,156,3003.38,-476.5211181640625,156
3439.83,13.2743,785000,24.0148,157,3315.97,-310.82867431640625,157
3430.17,12.1293,790000,24.1866,158,2600.19,-270.4455261230469,158
3429.06,17.0231,795000,25.6755,159,2836.08,-430.26519775390625,159
3398.46,16.4171,800000,25.7333,160,2367.89,-484.8843078613281,160
3427.88,14.8749,805000,25.5806,161,3047.64,-322.5519714355469,161
3416.39,17.9611,810000,24.8106,162,3026.36,-464.06365966796875,162
3357.08,13.3759,815000,25.6049,163,2795.41,-396.8599548339844,163
3435.12,14.3005,820000,25.8836,164,2992.6,-381.4732360839844,164
3457.31,15.6162,825000,24.4176,165,2996.67,-394.9393615722656,165
3453.38,27.5228,830000,25.9057,166,2707.33,-507.6243896484375,166
3424.9,13.1417,835000,23.7282,167,3391.17,-331.50994873046875,167
3412.75,13.8255,840000,25.2232,168,3036.14,-352.3061218261719,168
3427.99,15.0243,845000,25.3613,169,3107.5,-387.9022521972656,169
3417.4,13.8354,850000,25.6661,170,2993.11,-463.2781066894531,170
3415.15,13.7898,855000,25.2592,171,2989.05,-366.8403015136719,171
3413.57,14.1565,860000,23.6498,172,2902.52,-466.89361572265625,172
