Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Itration
300.79,252.9404,440.3159,234.53,0
317.55,281.9374,440.4115,315.9,1
284.81,255.5389,421.7762,329.84,2
336.84,266.5384,421.8892,374.22,3
395.85,250.3723,420.7249,453.2,4
364.45,270.4874,408.632,409.23,5
496.33,247.6014,402.6617,440.31,6
484.09,272.8048,406.7497,473.43,7
465.47,264.6226,409.9552,449.85,8
540.08,247.8374,397.8914,470.12,9
447.32,307.0945,404.712,483.65,10
518.46,281.6816,394.2298,503.34,11
480.18,281.294,400.4759,564.74,12
479.02,285.2806,392.5532,540.74,13
462.48,269.2307,377.4784,555.32,14
455.55,310.0479,390.3706,490.8,15
478.51,287.3202,387.1783,536.43,16
522.49,297.1098,385.8709,552.66,17
559.34,305.6196,391.0823,566.19,18
355.64,266.8854,388.8512,425.19,19
418.56,244.7035,386.9861,501.81,20
698.45,240.8536,388.1167,603.31,21
642.99,283.689,375.972,618.66,22
561.35,276.473,398.8133,682.56,23
709.61,273.1706,375.737,722.17,24
605.26,288.952,378.5642,708.41,25
674.13,265.5798,388.5471,655.42,26
630.03,286.4686,382.5091,633.65,27
699.66,271.2773,371.8742,811.38,28
723.69,235.2005,382.9632,791.62,29
699.48,249.2312,382.7864,651.44,30
596.6,278.623,382.6328,772.82,31
575.7,283.0958,384.2809,677.69,32
660.36,263.2926,383.6639,713.16,33
690.82,261.544,385.2566,739.53,34
486.86,265.4075,391.5096,507.91,35
578.41,246.0629,381.2807,647.07,36
836.23,221.3149,376.5988,878.85,37
687.51,246.6793,376.7655,846.24,38
670.25,245.215,386.7113,888.69,39
662.5,239.8137,387.9887,853.72,40
639.07,278.7665,386.2229,747.96,41
649.62,260.5439,388.6006,923.89,42
567.77,259.6934,409.5879,653.37,43
663.54,260.5821,390.0189,813.89,44
615.46,281.1792,381.7008,785.32,45
916.21,279.0833,386.996,943.11,46
744.67,270.2193,381.4705,1100.23,47
958.36,255.0063,385.1168,816.96,48
714.52,248.9063,385.521,949.11,49
949.35,255.0558,381.7873,1396.59,50
700.55,224.6072,383.6271,825.4,51
659.89,218.6508,371.8316,1177.44,52
925.08,221.3362,372.7847,1077.41,53
934.11,237.4784,374.2658,1051.79,54
1662.47,197.7409,358.8862,1232.18,55
1017.64,209.6114,362.859,1575.67,56
1037.67,178.8925,365.304,2074.31,57
1247.46,165.5995,353.7929,2374.46,58
2364.79,165.169,358.8906,2556.54,59
1260.29,193.753,358.8996,1907.89,60
1249.85,175.6521,356.612,1763.89,61
1016.03,192.8795,355.1098,1680.48,62
1427.0,189.8882,352.0897,2343.05,63
1492.35,163.3661,342.9776,2512.62,64
1723.77,191.055,355.3814,2212.87,65
