Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Reward Loss,Running Env Steps,Running Update Time,Real Det Return
43.3601,1058.24,36.1374,52,-2064.237548828125,260000,52,1058.16
77.5198,531.02,35.4506,53,-2070.197509765625,265000,53,1037.86
52.09,973.64,39.1123,54,-2436.57177734375,270000,54,974.07
51.1039,114.2,32.4376,55,-2252.34326171875,275000,55,110.14
55.1674,985.73,38.7681,56,-2564.521728515625,280000,56,985.92
45.7157,1026.26,35.5325,57,-2578.974365234375,285000,57,1026.64
64.3641,1001.01,39.125,58,-2630.706787109375,290000,58,1001.11
93.5526,101.77,32.994,59,-2334.4609375,295000,59,102.38
54.7364,989.77,37.9924,60,-2672.38427734375,300000,60,990.08
52.8627,1007.37,37.8863,61,-2817.1357421875,305000,61,1008.7
33.6345,1023.15,36.7919,62,-2690.822998046875,310000,62,1023.33
31.7542,119.3,34.089,63,-2822.76513671875,315000,63,138.09
39.5902,1044.75,37.1732,64,-2768.068603515625,320000,64,1043.52
40.0272,1035.8,36.5607,65,-2927.07275390625,325000,65,1035.56
64.0344,1002.52,38.3007,66,-3065.89111328125,330000,66,1002.42
69.401,994.98,38.2995,67,-3070.40869140625,335000,67,995.09
60.6915,999.04,38.0775,68,-3090.428955078125,340000,68,999.04
61.7127,975.57,39.3748,69,-3198.690673828125,345000,69,975.91
61.654,977.8,38.8894,70,-3207.0400390625,350000,70,978.21
126.329,301.1,39.2825,71,-1675.6826171875,355000,71,301.74
123.5745,84.68,32.3389,72,-2740.28369140625,360000,72,84.57
88.9782,198.44,34.6237,73,-1906.23583984375,365000,73,198.62
144.6365,247.9,36.587,74,-1888.788330078125,370000,74,247.27
57.1987,859.49,39.9121,75,-3502.66552734375,375000,75,990.73
227.4979,4.0,39.0896,76,-1524.669921875,380000,76,4.13
47.4345,1020.09,36.3046,77,-3581.493408203125,385000,77,1018.85
45.0232,1034.23,36.7006,78,-3581.09130859375,390000,78,1033.83
37.831,1041.47,35.7512,79,-3549.71337890625,395000,79,1041.24
39.2698,1036.82,39.1416,80,-3784.104736328125,400000,80,1036.63
45.7966,1026.04,39.4304,81,-3839.1494140625,405000,81,1025.85
28.7555,70.31,33.5081,82,-1109.3533935546875,410000,82,70.28
56.0186,996.37,39.4438,83,-3872.71044921875,415000,83,996.5
58.1013,977.94,39.7146,84,-3930.826416015625,420000,84,978.02
45.1698,823.45,37.5958,85,-3508.302978515625,425000,85,875.29
42.8404,1029.05,38.6542,86,-3850.48486328125,430000,86,1029.29
41.2548,1011.85,37.5839,87,-4026.877197265625,435000,87,1012.05
78.0093,47.94,33.8786,88,-2819.427978515625,440000,88,44.1
47.6538,52.39,34.0165,89,-2649.470458984375,445000,89,45.23
166.7478,228.3,37.4024,90,-2755.202392578125,450000,90,245.9
47.5745,36.97,36.7669,91,-4143.47021484375,455000,91,35.44
74.2813,13.66,38.0681,92,-2514.88427734375,460000,92,13.14
34.0244,899.69,38.5482,93,-4322.44580078125,465000,93,862.12
46.8811,461.04,34.6938,94,-4000.263671875,470000,94,635.82
57.6406,281.25,31.5703,95,-2778.544189453125,475000,95,272.65
211.7233,44.0,33.7639,96,-2973.891357421875,480000,96,43.91
54.1568,1000.19,39.6883,97,-4535.45068359375,485000,97,1000.47
49.5419,997.09,38.7846,98,-4390.73095703125,490000,98,996.63
56.7478,988.07,40.664,99,-4565.84130859375,495000,99,988.35
68.5483,103.06,31.3403,100,-3977.04541015625,500000,100,109.01
58.605,993.4,39.3818,101,-4638.35595703125,505000,101,993.42
56.7657,996.38,39.2665,102,-4746.51904296875,510000,102,996.29
53.6813,990.38,40.0824,103,-4747.22705078125,515000,103,990.34
53.3527,1002.78,39.9623,104,-4737.1640625,520000,104,1001.82
39.8353,32.4,33.2426,105,-3719.538818359375,525000,105,31.43
169.6693,215.6,33.6409,106,-4350.353515625,530000,106,221.65
34.7836,132.23,34.4467,107,-3525.941162109375,535000,107,132.39
51.9541,34.04,33.3112,108,-3927.296142578125,540000,108,34.28
31.2118,1010.64,35.0525,109,-4305.01953125,545000,109,1010.73
23.5984,54.23,32.6419,110,-3479.700927734375,550000,110,53.28
60.9365,989.42,39.2002,111,-5219.1337890625,555000,111,989.17
45.8453,982.3,40.3974,112,-5190.29541015625,560000,112,982.4
58.629,971.23,39.9094,113,-5271.4609375,565000,113,971.49
46.6794,977.44,38.5691,114,-5254.7392578125,570000,114,977.35
50.6439,182.13,31.1572,115,-4549.88427734375,575000,115,180.16
40.9895,187.79,32.6423,116,-4709.396484375,580000,116,176.43
41.9662,1004.83,38.0109,117,-5506.70703125,585000,117,1004.81
33.9982,1048.87,36.4721,118,-5343.78857421875,590000,118,1043.27
38.2638,987.03,38.7921,119,-5494.69873046875,595000,119,986.33
42.3798,998.52,37.6398,120,-5635.744140625,600000,120,999.03
46.6146,984.48,40.4374,121,-5645.00830078125,605000,121,984.4
29.0583,152.32,32.7335,122,-4021.285888671875,610000,122,152.61
56.587,207.42,40.1665,123,-5796.828125,615000,123,206.66
37.7709,1037.39,38.9626,124,-5709.75390625,620000,124,1037.61
47.1293,997.65,38.7394,125,-6006.48486328125,625000,125,997.5
63.8433,991.96,38.9213,126,-5936.54931640625,630000,126,992.02
53.5206,1005.36,37.1736,127,-5968.82421875,635000,127,1005.07
30.4267,1012.54,35.0097,128,-5242.3642578125,640000,128,1013.64
54.0727,627.17,33.3041,129,-5629.27099609375,645000,129,439.44
