Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Reward Loss,Running Env Steps,Running Update Time,Real Det Return
20.2519,164.99,32.4795,0,514.6359252929688,0,0,160.48
36.5504,225.69,31.7792,1,161.51724243164062,5000,1,184.08
51.2813,410.22,30.2593,2,418.39208984375,10000,2,391.54
28.2769,356.46,26.9013,3,324.62255859375,15000,3,297.88
15.7745,265.99,25.5004,4,347.3263244628906,20000,4,241.3
27.5575,215.56,33.54,5,100.71455383300781,25000,5,215.18
68.7623,173.18,35.2444,6,281.6487731933594,30000,6,173.54
43.4509,137.74,36.8661,7,-176.7058563232422,35000,7,148.68
17.9044,40.42,26.5468,8,140.4517822265625,40000,8,58.11
51.0706,378.03,30.0689,9,-340.7906799316406,45000,9,318.03
45.1772,1012.82,36.6491,10,-423.27069091796875,50000,10,1012.66
35.1785,511.54,28.8511,11,-161.77609252929688,55000,11,478.84
38.1274,903.8,35.5273,12,-520.083251953125,60000,12,988.97
37.4062,1023.1,35.5592,13,-518.7230834960938,65000,13,1023.71
31.1656,1007.6,35.4235,14,-567.3900146484375,70000,14,1005.43
31.3215,1005.08,37.3897,15,-636.0256958007812,75000,15,1002.38
30.8352,378.42,32.3431,16,-446.60089111328125,80000,16,369.6
35.9785,1032.09,36.5674,17,-669.6043090820312,85000,17,1032.28
40.3741,1054.62,34.891,18,-525.877197265625,90000,18,1054.45
33.7952,961.64,34.9035,19,-687.7085571289062,95000,19,1043.19
48.1482,48.08,31.8852,20,-359.4239807128906,100000,20,48.19
153.5284,-2.29,39.4254,21,-589.9797973632812,105000,21,-2.37
21.7508,433.42,31.9398,22,-514.7127075195312,110000,22,383.28
36.799,347.45,32.316,23,-926.4357299804688,115000,23,353.44
46.907,1016.84,38.201,24,-1019.654052734375,120000,24,1016.72
45.4236,303.68,32.0212,25,-741.7782592773438,125000,25,303.96
38.0441,1034.87,35.484,26,-1044.906982421875,130000,26,1035.47
35.0249,1024.83,35.8028,27,-1133.6527099609375,135000,27,1025.0
30.4815,1012.91,38.7454,28,-1166.1722412109375,140000,28,1015.49
37.7207,998.03,39.0306,29,-1206.3658447265625,145000,29,998.32
56.4957,978.07,38.4999,30,-1311.9600830078125,150000,30,978.35
56.7924,968.76,38.2445,31,-1364.8155517578125,155000,31,969.72
49.7627,991.89,38.4045,32,-1395.8720703125,160000,32,991.59
45.8098,996.4,38.5301,33,-1442.31396484375,165000,33,996.58
45.7614,1050.73,37.4904,34,-1210.039794921875,170000,34,1050.53
39.9095,1041.91,38.0409,35,-1380.2110595703125,175000,35,1042.04
38.589,1038.94,36.0683,36,-1438.707275390625,180000,36,1038.72
46.3147,1006.2,37.5144,37,-1623.3780517578125,185000,37,1008.7
42.465,1029.21,36.6581,38,-1634.54736328125,190000,38,1029.63
45.0747,1017.93,37.5181,39,-1678.619384765625,195000,39,1018.29
43.9534,1006.67,36.327,40,-1741.70654296875,200000,40,1006.79
44.7965,1054.31,36.3254,41,-1486.9537353515625,205000,41,1054.53
46.4528,1017.35,35.7711,42,-1825.0821533203125,210000,42,1017.17
48.3256,1017.98,34.3406,43,-1874.0760498046875,215000,43,1018.03
41.0487,1018.44,35.6501,44,-1887.46240234375,220000,44,1018.57
32.3685,1038.65,35.172,45,-1915.4373779296875,225000,45,1035.0
27.0092,1029.43,34.4586,46,-1796.931640625,230000,46,1029.12
44.9558,1025.56,33.5618,47,-2080.024169921875,235000,47,1025.84
35.2445,1033.21,38.4649,48,-2161.193115234375,240000,48,1034.15
33.8267,1034.34,38.0823,49,-2132.424072265625,245000,49,1034.5
33.6293,893.39,36.0599,50,-2184.935546875,250000,50,1047.07
40.2044,1055.61,37.6233,51,-2058.603759765625,255000,51,1055.44
