Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL,Running Env Steps,Real Sto Return,Reward Loss,Itration
0,31.9461,205.53,25.1049,0,206.39,471.8736267089844,0
1,30.7956,246.75,25.2102,5000,248.04,235.51341247558594,1
2,30.4733,307.51,24.1903,10000,307.26,349.1943664550781,2
3,30.6982,319.41,66.1341,15000,303.92,351.22906494140625,3
4,26.8494,469.67,33.7041,20000,463.46,195.64019775390625,4
5,24.2661,1928.62,25.4587,25000,1456.87,52.16501235961914,5
6,31.8969,325.41,46.6249,30000,315.8,8.899441719055176,6
7,27.5784,611.54,34.9315,35000,616.97,215.38706970214844,7
8,25.4418,1093.89,21.206,40000,1561.26,159.96031188964844,8
9,26.8161,913.24,53.4737,45000,973.65,208.97720336914062,9
10,25.8302,1931.36,29.7041,50000,1790.08,43.506134033203125,10
11,26.0564,2244.86,60.6399,55000,2012.26,140.72877502441406,11
12,25.5845,2896.67,36.761,60000,1845.26,40.82374954223633,12
13,26.7444,765.46,61.4736,65000,766.91,60.58180618286133,13
14,25.2189,1033.9,16.5027,70000,1067.65,123.97416687011719,14
15,24.9118,3137.17,26.0441,75000,2362.27,25.696470260620117,15
16,25.3606,1400.22,25.8207,80000,1160.79,91.48322296142578,16
17,24.8664,3134.84,19.8562,85000,3046.28,-21.970863342285156,17
18,24.4738,2818.37,23.4003,90000,2402.72,-58.19648361206055,18
19,25.1383,3048.69,17.4102,95000,2984.31,-16.250728607177734,19
20,25.35,3177.93,17.4061,100000,3179.79,-44.7930793762207,20
21,24.9761,1088.09,20.8826,105000,1307.11,-92.70968627929688,21
22,24.9936,3169.84,24.0376,110000,3084.56,-63.6192626953125,22
23,23.8682,3165.37,17.958,115000,2618.7,-54.56338882446289,23
24,24.3204,1816.83,26.9044,120000,1522.75,-131.7412872314453,24
25,24.6259,3217.67,15.0322,125000,2197.59,-25.372793197631836,25
26,25.0503,1828.31,25.1121,130000,1791.16,-55.097084045410156,26
27,24.0438,2912.25,19.5144,135000,2938.23,-142.44581604003906,27
28,24.0201,1476.38,31.2988,140000,2874.66,-152.78358459472656,28
29,23.1489,2611.22,17.7346,145000,2811.35,-107.32886505126953,29
30,23.0032,3210.06,56.5161,150000,2354.21,-207.62350463867188,30
31,23.2189,3139.69,34.1379,155000,2408.2,-263.78741455078125,31
32,23.0094,2938.76,24.3133,160000,2101.95,-249.38990783691406,32
33,23.9563,1057.32,35.5806,165000,1731.85,-296.2593688964844,33
34,23.5233,2271.63,44.562,170000,1854.41,-395.76727294921875,34
35,23.751,3110.8,15.3667,175000,2354.88,-229.65127563476562,35
36,24.5854,3104.36,39.3046,180000,2042.86,-444.67193603515625,36
37,23.2504,2099.2,47.5467,185000,1778.56,-374.37176513671875,37
38,23.9143,2417.07,45.294,190000,1995.87,-588.675048828125,38
39,23.3927,3227.13,14.5566,195000,3033.86,-206.30210876464844,39
40,23.64,2730.58,32.3875,200000,2124.51,-575.6423950195312,40
41,23.0038,3179.77,13.6528,205000,3094.36,-311.3255615234375,41
42,22.8231,3140.49,13.9406,210000,3045.77,-305.41802978515625,42
43,24.1544,982.78,81.0512,215000,958.52,-756.6156616210938,43
44,24.1776,3192.89,26.0508,220000,2582.68,-414.5737609863281,44
45,23.1452,3182.6,14.2797,225000,3011.09,-336.4826354980469,45
46,24.0728,3198.3,28.9922,230000,2666.52,-440.0473327636719,46
47,23.2359,1912.0,48.5823,235000,2025.72,-689.8074951171875,47
48,24.7417,3183.48,94.3193,240000,1643.14,-1163.840576171875,48
49,23.6643,1219.7,78.0773,245000,1380.33,-1043.8673095703125,49
50,23.444,3218.84,37.5528,250000,2314.16,-685.18310546875,50
51,24.7548,1110.3,57.0319,255000,1224.48,-950.1752319335938,51
52,24.1905,983.23,42.4867,260000,1815.32,-736.3029174804688,52
53,22.7722,3188.77,23.3497,265000,2869.75,-445.96417236328125,53
54,22.7396,3199.36,31.387,270000,2682.58,-537.5195922851562,54
55,23.0087,1093.25,22.4108,275000,1526.31,-840.152587890625,55
56,23.7342,1008.89,43.467,280000,1242.49,-880.374755859375,56
57,22.2251,3214.89,20.4814,285000,2686.38,-438.5824279785156,57
58,22.7642,2618.42,18.2866,290000,2201.03,-739.0828857421875,58
59,23.9886,990.77,36.9557,295000,1315.17,-1121.227783203125,59
60,22.1563,3203.58,12.9998,300000,3010.95,-396.686279296875,60
61,24.2684,1001.41,71.609,305000,1064.1,-1547.126220703125,61
62,21.3526,3263.74,12.4579,310000,2821.08,-697.459716796875,62
63,23.3264,3210.72,28.4092,315000,2042.47,-900.1333618164062,63
64,22.0573,3244.63,12.6922,320000,2402.7,-711.5947265625,64
65,23.1593,3206.41,14.1243,325000,2674.32,-493.7843322753906,65
66,21.8296,3189.26,14.1624,330000,2964.88,-497.9926452636719,66
67,21.9664,3234.68,14.363,335000,3140.17,-569.223388671875,67
68,22.0257,3207.67,24.9908,340000,2589.66,-834.6732788085938,68
69,21.726,3197.34,20.5376,345000,2313.66,-878.1231079101562,69
70,21.9174,3189.73,13.4311,350000,3177.81,-504.6872253417969,70
71,22.4709,2688.48,25.8192,355000,1842.52,-911.7154541015625,71
72,21.481,3212.37,12.7457,360000,3019.17,-500.1292419433594,72
73,21.7848,3238.89,16.6959,365000,2777.76,-592.311767578125,73
74,21.7168,3241.41,17.4183,370000,3015.77,-736.763427734375,74
75,21.5758,3249.18,26.446,375000,2796.74,-827.0394287109375,75
76,22.0701,3218.77,22.3171,380000,2732.48,-987.165771484375,76
77,21.1458,3254.97,12.2934,385000,3188.45,-527.991455078125,77
78,21.549,3245.2,13.2713,390000,3236.06,-538.2896118164062,78
79,20.9961,3236.56,21.5791,395000,3222.65,-651.4443969726562,79
80,20.6429,3229.41,11.6438,400000,2883.46,-587.8170166015625,80
81,20.0931,3283.07,12.9054,405000,2951.38,-607.0125732421875,81
82,20.8631,2276.71,15.5554,410000,2224.88,-852.1220703125,82
83,20.6187,3300.48,13.6591,415000,3299.54,-595.9740600585938,83
84,20.2584,3304.88,12.1131,420000,3276.76,-504.4027404785156,84
85,21.0178,3226.26,13.479,425000,3223.73,-598.232421875,85
86,20.082,3305.48,12.0319,430000,3291.01,-580.9413452148438,86
87,20.6771,3269.07,12.5175,435000,3265.75,-589.8049926757812,87
88,19.7236,3395.01,12.1546,440000,3363.14,-519.472412109375,88
89,19.8134,3204.67,12.2694,445000,3214.08,-670.28857421875,89
90,21.1292,3328.74,14.0168,450000,3342.97,-662.7335205078125,90
91,19.2809,3361.94,12.3387,455000,3189.41,-581.2744140625,91
92,20.0166,3336.12,12.974,460000,3352.16,-581.805908203125,92
93,20.3431,3397.82,13.0463,465000,3063.61,-530.2525024414062,93
94,20.6322,3337.2,13.3872,470000,2863.74,-683.8201293945312,94
95,20.2961,3353.29,12.943,475000,3363.21,-620.8416137695312,95
96,19.1256,3436.24,12.4445,480000,3437.79,-481.6284484863281,96
97,19.4076,3382.84,12.6507,485000,3378.48,-608.4129638671875,97
98,19.5166,3398.19,13.0498,490000,3394.71,-582.7333984375,98
99,19.3818,3349.65,12.174,495000,3029.89,-648.1089477539062,99
100,19.327,3396.03,12.1792,500000,3383.96,-530.51513671875,100
101,19.7411,3408.23,12.8278,505000,3393.6,-574.4989624023438,101
102,18.9457,3432.64,11.8415,510000,3413.56,-501.3338623046875,102
103,18.9235,3416.53,10.6462,515000,3234.05,-586.9589233398438,103
104,19.362,3404.06,10.9952,520000,2605.47,-1039.529052734375,104
105,20.2224,3386.8,14.3209,525000,3370.35,-695.2877197265625,105
106,19.074,3410.4,12.0336,530000,3393.71,-493.7179260253906,106
107,19.2185,3448.55,12.9708,535000,3428.89,-597.501220703125,107
108,19.0257,3438.72,12.6196,540000,3435.04,-488.124755859375,108
109,19.3079,3393.5,13.4599,545000,3387.32,-600.7286987304688,109
110,20.1271,3446.87,12.0217,550000,3421.02,-640.3881225585938,110
111,18.7489,3439.19,11.2969,555000,3413.13,-543.1443481445312,111
112,19.46,3454.4,13.0631,560000,3453.15,-572.1507568359375,112
113,19.5841,3394.33,12.5252,565000,3374.29,-728.9816284179688,113
114,20.5809,3402.62,13.4994,570000,3398.75,-683.0514526367188,114
115,19.6276,3446.55,12.4142,575000,3424.48,-627.8196411132812,115
116,20.0228,3378.42,12.8161,580000,3364.67,-764.4851684570312,116
117,18.5365,3461.15,11.6203,585000,3449.31,-564.5042724609375,117
118,18.979,3462.31,11.7503,590000,3441.55,-614.702392578125,118
119,17.6615,3428.03,11.0656,595000,3400.93,-596.6992797851562,119
120,18.6615,3425.7,11.0983,600000,3339.96,-576.556396484375,120
121,17.8907,3399.24,11.1055,605000,3386.05,-671.3228759765625,121
122,18.2669,3400.38,11.5034,610000,3376.06,-716.46826171875,122
123,18.6223,3360.22,10.4147,615000,3394.71,-680.4373779296875,123
124,19.3294,3485.07,12.5883,620000,3449.13,-763.0399169921875,124
125,18.5249,3393.42,12.1071,625000,3275.74,-911.0888061523438,125
126,18.7531,3490.75,11.8817,630000,3339.65,-754.9781494140625,126
127,18.5269,3425.58,12.2323,635000,3406.58,-706.3302001953125,127
128,18.1856,3424.6,11.509,640000,3224.76,-690.6007080078125,128
129,18.9801,3474.41,12.3441,645000,3465.02,-629.8894653320312,129
130,18.3161,3501.01,11.5526,650000,3406.52,-504.57659912109375,130
131,18.9785,3431.74,12.1702,655000,3413.78,-734.4658813476562,131
132,18.8489,3475.18,22.8437,660000,2919.31,-911.6378173828125,132
133,18.5957,3500.55,18.7186,665000,3122.68,-904.9133911132812,133
134,19.0911,3490.95,12.5558,670000,3453.15,-687.1094360351562,134
135,18.3644,3457.55,11.8121,675000,3435.99,-747.3859252929688,135
136,19.6097,3431.46,12.7875,680000,3411.51,-841.3522338867188,136
137,19.4397,3471.97,12.2477,685000,3429.52,-776.211669921875,137
138,18.4954,3497.59,12.0917,690000,3379.93,-655.6586303710938,138
139,17.9009,3502.31,11.222,695000,3377.62,-684.378662109375,139
140,18.099,3476.63,11.8472,700000,3453.43,-650.7476806640625,140
141,18.9109,3436.53,10.7765,705000,3309.87,-721.5909423828125,141
142,18.1362,3508.63,11.4858,710000,3426.04,-555.6696166992188,142
143,17.4477,3444.63,10.7169,715000,3438.51,-675.3142700195312,143
144,19.052,3441.64,11.6277,720000,3182.39,-764.0553588867188,144
145,18.5514,3455.88,12.0947,725000,3328.63,-707.697265625,145
146,18.1392,3480.3,11.3184,730000,3348.95,-712.712158203125,146
147,17.9027,3477.56,13.4814,735000,3438.51,-699.9243774414062,147
148,17.6883,3427.96,10.878,740000,3396.55,-764.243896484375,148
149,18.2734,3498.46,11.4133,745000,3185.25,-854.9491577148438,149
