Real Sto Return,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL
187.06,0,-1468.880615234375,0,184.63,0,34.1981,23.004
225.46,1,-1489.2210693359375,5000,212.61,1,33.0181,24.2222
183.49,2,-1581.923828125,10000,181.18,2,32.637,23.2461
302.35,3,-1377.5615234375,15000,305.81,3,31.2818,19.3643
323.78,4,-1321.9293212890625,20000,308.15,4,30.074,20.034
411.32,5,-1441.3228759765625,25000,404.05,5,27.5634,21.7576
586.26,6,-1196.3231201171875,30000,593.11,6,27.3501,53.0251
686.33,7,-1362.4647216796875,35000,816.06,7,25.1573,21.6195
508.11,8,-1434.484619140625,40000,837.68,8,25.4715,20.6179
857.45,9,-1316.7979736328125,45000,918.32,9,25.3478,24.5325
571.88,10,-1551.30078125,50000,600.14,10,24.8592,29.3212
565.46,11,-1493.94384765625,55000,698.39,11,26.3461,26.4673
728.33,12,-1561.111328125,60000,738.9,12,25.1466,27.2794
776.05,13,-1603.4124755859375,65000,724.31,13,24.4974,28.0679
688.69,14,-1732.138916015625,70000,694.86,14,25.4402,26.7799
750.73,15,-1675.3243408203125,75000,789.63,15,23.4417,29.5973
864.8,16,-1696.506103515625,80000,923.12,16,23.6755,28.9084
881.88,17,-1656.6778564453125,85000,946.65,17,23.18,28.5352
893.13,18,-1728.5205078125,90000,959.75,18,24.4665,30.1304
1032.0,19,-1697.991455078125,95000,1055.66,19,23.4104,27.9191
829.06,20,-1819.1202392578125,100000,851.06,20,23.8656,27.9382
1117.09,21,-1710.6427001953125,105000,1045.42,21,22.5975,20.5024
880.78,22,-1744.506591796875,110000,1027.52,22,23.4859,19.0893
998.38,23,-1771.7784423828125,115000,914.01,23,22.9086,18.4156
969.67,24,-1965.6407470703125,120000,987.21,24,22.6058,17.3546
883.32,25,-2079.24560546875,125000,847.11,25,24.3011,19.0794
1333.02,26,-1937.928466796875,130000,1514.77,26,21.8454,18.684
1506.06,27,-1753.1773681640625,135000,2198.0,27,22.0079,16.3583
905.7,28,-1975.1728515625,140000,927.17,28,22.4826,18.7136
2449.05,29,-994.1103515625,145000,2943.09,29,21.9278,11.9663
1040.12,30,-1903.5924072265625,150000,1113.39,30,23.4241,14.7631
2900.6,31,-578.0951538085938,155000,3089.68,31,20.9188,11.6072
2267.19,32,-1573.2078857421875,160000,2586.3,32,20.7535,22.3622
2278.97,33,-828.1810302734375,165000,2817.34,33,20.8314,12.4273
2157.57,34,-1379.810302734375,170000,2591.76,34,19.9323,18.1074
2379.53,35,-1462.05078125,175000,2309.77,35,21.6712,16.966
2539.81,36,-1204.96044921875,180000,2528.59,36,20.5958,16.5785
1255.36,37,-1995.3634033203125,185000,1989.3,37,20.7317,24.9466
2424.32,38,-1107.3134765625,190000,2773.26,38,21.3861,19.2888
2415.68,39,-1700.405029296875,195000,3146.8,39,21.0889,21.1296
2568.47,40,-1494.4669189453125,200000,2881.46,40,20.8174,21.0108
2495.08,41,-1715.963623046875,205000,2287.7,41,21.2032,21.8654
2154.78,42,-1354.30322265625,210000,2953.98,42,20.5221,19.9307
2839.3,43,-816.9396362304688,215000,3154.63,43,23.2177,15.6529
2371.18,44,-1125.4124755859375,220000,3214.02,44,19.4156,16.4967
1770.3,45,-2039.6629638671875,225000,2809.62,45,20.9939,25.4419
1514.9,46,-2559.07763671875,230000,1197.77,46,22.0676,30.069
1515.75,47,-1569.5401611328125,235000,2649.27,47,19.7015,20.1537
2855.13,48,-731.2449340820312,240000,3182.51,48,21.5585,13.8135
2068.55,49,-2026.0562744140625,245000,1767.39,49,20.2576,15.5869
3178.32,50,-639.7276000976562,250000,3189.3,50,21.8169,13.1173
3041.66,51,-671.0889282226562,255000,3134.01,51,21.9012,13.113
513.19,52,-4054.450439453125,260000,985.52,52,38.3736,29.9359
2531.54,53,-1381.4940185546875,265000,968.14,53,21.5685,15.3001
2044.5,54,-1680.7938232421875,270000,1468.34,54,20.0859,18.8794
2988.58,55,-1052.2027587890625,275000,3193.7,55,21.081,13.599
1120.33,56,-2682.415283203125,280000,1146.43,56,21.0189,23.2586
1790.33,57,-1654.7227783203125,285000,3034.1,57,19.8679,20.0528
1739.05,58,-2069.60546875,290000,1353.07,58,20.8332,23.0155
2772.32,59,-788.5067138671875,295000,3286.46,59,20.2512,13.842
1361.03,60,-2807.1533203125,300000,1291.2,60,22.0366,33.3931
