Running Update Time,Running Forward KL,Running Reverse KL,Real Det Return,Reward Loss,Running Env Steps,Itration,Real Sto Return
0,453.7545,275.9318,363.37,-1508.5726318359375,0,0,345.95
1,443.2773,294.3856,320.23,-2186.607177734375,5000,1,330.48
2,435.6094,271.7157,428.98,-2325.828369140625,10000,2,376.73
3,444.6241,270.3618,425.82,-2292.1533203125,15000,3,359.67
4,435.0779,272.8412,413.42,-861.2549438476562,20000,4,370.86
5,430.7002,255.7939,430.12,-2294.52978515625,25000,5,382.7
6,418.2814,251.6286,347.87,-2291.470947265625,30000,6,435.35
7,438.3455,284.2101,324.03,-1615.754638671875,35000,7,449.84
8,434.1028,280.6583,387.34,-3549.528076171875,40000,8,438.92
9,412.9786,262.3245,523.55,-2897.089599609375,45000,9,455.25
10,419.5133,259.3226,511.95,-2116.1669921875,50000,10,508.67
11,419.7966,260.5048,498.26,-3953.2021484375,55000,11,489.6
12,432.4367,251.7656,556.19,-3576.33642578125,60000,12,422.55
13,422.9463,244.4863,545.44,-3505.756591796875,65000,13,591.27
14,423.7026,266.174,669.39,-4524.50927734375,70000,14,564.66
15,439.7438,274.7196,450.93,-3826.06640625,75000,15,470.43
16,435.9156,257.3948,447.78,-5519.404296875,80000,16,545.77
17,418.7038,279.0641,587.24,-5439.81396484375,85000,17,504.69
18,409.1662,276.2786,586.31,-6223.0341796875,90000,18,493.37
19,408.9918,255.8601,594.34,-5226.62548828125,95000,19,602.21
20,406.7139,255.9173,463.02,-5952.1142578125,100000,20,527.58
21,409.9946,268.3136,648.83,-6246.521484375,105000,21,583.52
22,414.1127,251.4905,558.91,-5784.369140625,110000,22,531.88
23,403.6561,286.1259,465.43,-7065.232421875,115000,23,548.36
24,418.699,295.1491,637.87,-7355.68408203125,120000,24,661.73
25,403.8678,262.4123,464.46,-7014.58642578125,125000,25,585.68
26,412.8428,297.3752,599.18,-8012.79248046875,130000,26,660.66
27,395.1448,262.7865,799.9,-7051.7333984375,135000,27,841.56
28,412.5771,309.701,616.13,-9019.8955078125,140000,28,717.99
29,404.0879,280.7149,735.07,-8023.162109375,145000,29,648.3
30,402.3826,273.5156,630.03,-8213.4150390625,150000,30,689.62
31,409.7775,268.4838,622.86,-7853.81689453125,155000,31,666.33
32,410.0943,260.9752,757.43,-7799.41796875,160000,32,637.5
33,403.6868,263.8984,563.88,-8598.0439453125,165000,33,751.73
34,399.3253,233.8804,775.33,-8255.5693359375,170000,34,848.15
35,411.2812,268.492,522.76,-8416.740234375,175000,35,713.7
36,397.69,269.2359,636.31,-9516.5380859375,180000,36,818.97
37,391.9362,267.5114,727.92,-9483.81640625,185000,37,806.29
38,397.2037,266.3871,462.25,-8950.4716796875,190000,38,773.18
