Reward Loss,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Itration,Running Forward KL
56.69120788574219,0,281.7,315.27,13.5793,0,0,49.31
48.799903869628906,5000,336.54,370.02,12.9682,1,1,49.4827
14.37087345123291,10000,409.15,379.24,20.9829,2,2,48.9912
-22.92254638671875,15000,374.73,374.01,38.0098,3,3,49.7515
-14.535456657409668,20000,409.37,427.53,21.1822,4,4,49.7393
-10.300933837890625,25000,525.8,417.05,20.578,5,5,49.0597
-48.49217987060547,30000,568.71,558.65,27.5847,6,6,48.4208
-118.62433624267578,35000,427.09,448.84,44.0308,7,7,49.3304
-104.02033996582031,40000,565.03,517.72,33.1387,8,8,49.6426
-71.28751373291016,45000,519.28,542.54,23.6483,9,9,49.3199
-118.67642211914062,50000,567.16,577.74,42.7675,10,10,48.8878
-153.35101318359375,55000,646.24,578.01,31.3607,11,11,48.4725
-150.95260620117188,60000,744.26,658.03,39.6487,12,12,48.5788
-167.2697296142578,65000,756.94,683.04,43.6082,13,13,47.8773
-174.35670471191406,70000,760.43,635.76,39.7295,14,14,48.5086
-168.64935302734375,75000,780.18,738.38,32.831,15,15,47.6254
-199.29627990722656,80000,776.77,746.16,43.4661,16,16,47.7561
-194.20645141601562,85000,755.55,754.52,39.8988,17,17,47.7021
-241.7954864501953,90000,750.42,746.41,32.5458,18,18,47.6465
-230.97604370117188,95000,765.06,804.34,40.4417,19,19,47.2938
-223.488037109375,100000,1039.98,913.27,41.2094,20,20,47.3363
-207.07949829101562,105000,1046.71,885.83,18.6392,21,21,47.3432
-230.6400604248047,110000,981.56,1180.98,21.9605,22,22,46.3417
-243.43368530273438,115000,1251.61,976.55,26.1087,23,23,46.6038
-252.0377655029297,120000,1176.72,1204.63,35.5958,24,24,46.1181
-215.3631134033203,125000,1005.41,964.02,19.6878,25,25,46.7731
-254.881591796875,130000,1044.98,1341.57,22.1317,26,26,46.7451
-161.7372283935547,135000,831.19,1007.83,15.0536,27,27,45.6093
-176.399658203125,140000,965.83,920.57,13.0132,28,28,45.9787
-178.44680786132812,145000,2644.15,1745.62,14.0065,29,29,45.7748
-204.0536346435547,150000,2007.55,2272.91,16.0566,30,30,45.853
-247.72897338867188,155000,1133.89,1427.2,27.2366,31,31,45.4661
-247.29051208496094,160000,1924.01,1696.24,16.6938,32,32,45.4024
-344.3002014160156,165000,1081.15,1513.7,30.2897,33,33,45.2488
-270.7634582519531,170000,2471.39,2402.59,21.1972,34,34,45.1795
-258.1575622558594,175000,2529.16,2655.83,23.2081,35,35,44.9987
-253.0609893798828,180000,3049.6,2705.37,19.8852,36,36,45.5606
-265.63433837890625,185000,2693.41,2141.99,19.8849,37,37,44.8576
-295.2494812011719,190000,2962.38,2773.04,21.8855,38,38,44.2775
-260.1212158203125,195000,2822.76,2676.66,19.9087,39,39,45.1001
