Itration,Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Running Update Time
0,0,26.6715,75.1478,299.94,-98.84,1.3941824436187744,0
1,5000,26.1403,74.9599,306.52,-55.37,-2.0887255668640137,1
2,10000,26.6208,73.7797,606.49,-5.91,-21.497682571411133,2
3,15000,28.5493,74.1853,623.36,53.34,-31.494140625,3
4,20000,28.8387,74.3436,386.34,63.66,-55.1418571472168,4
5,25000,29.966,74.2402,622.41,52.47,-70.40467071533203,5
6,30000,31.7008,72.126,454.31,55.67,-84.45584869384766,6
7,35000,29.7912,74.6869,452.34,57.65,-91.79830169677734,7
8,40000,29.9642,74.1093,594.75,86.65,-105.21937561035156,8
9,45000,31.682,72.6605,580.85,118.39,-124.69139099121094,9
10,50000,30.9149,71.3757,472.82,70.95,-128.64942932128906,10
11,55000,31.5867,74.3623,525.35,120.3,-140.91871643066406,11
12,60000,31.8341,73.8602,755.89,102.19,-160.15518188476562,12
13,65000,31.4211,73.8751,578.02,130.29,-162.2525177001953,13
14,70000,31.4081,74.4774,568.55,117.55,-181.00523376464844,14
15,75000,31.886,73.4169,511.88,187.3,-186.2601776123047,15
16,80000,31.3438,72.6241,368.37,103.93,-209.518798828125,16
17,85000,32.3963,73.0758,298.52,170.18,-217.9985809326172,17
18,90000,31.3152,70.4346,574.74,178.79,-237.4925079345703,18
19,95000,30.9738,71.0903,227.55,137.14,-240.79823303222656,19
20,100000,31.0159,73.0783,346.85,130.39,-254.89312744140625,20
21,105000,31.5978,73.4089,456.41,102.37,-276.9920959472656,21
22,110000,31.5532,74.2144,315.29,118.55,-275.5528869628906,22
23,115000,30.8414,72.5696,620.03,98.38,-293.896240234375,23
24,120000,30.6665,72.213,279.48,147.01,-307.2376708984375,24
25,125000,30.7648,70.1386,686.33,160.83,-316.84161376953125,25
26,130000,31.3604,72.9524,785.28,167.35,-334.2665710449219,26
27,135000,31.9315,71.6717,556.29,155.28,-340.9979248046875,27
28,140000,32.8549,72.0262,430.68,130.33,-361.1787109375,28
29,145000,30.8625,73.3422,596.89,109.29,-378.8546447753906,29
30,150000,32.3756,72.9748,717.61,194.47,-390.7393798828125,30
31,155000,30.2495,72.259,554.04,142.27,-401.38421630859375,31
32,160000,30.2958,71.9338,397.76,211.19,-410.6808166503906,32
33,165000,31.2207,71.7672,503.0,146.83,-426.400634765625,33
34,170000,30.9778,72.1243,391.78,130.92,-440.57177734375,34
35,175000,32.5472,69.7509,503.18,141.3,-460.3157653808594,35
36,180000,31.8679,72.7901,560.36,122.72,-469.068115234375,36
37,185000,31.9234,71.3395,554.46,118.1,-483.6350402832031,37
38,190000,30.4813,70.4654,394.88,124.31,-492.7591247558594,38
39,195000,30.0476,71.5994,465.11,114.16,-502.5571594238281,39
40,200000,29.8631,71.6888,617.11,218.85,-523.7838134765625,40
41,205000,33.3795,70.7043,591.14,185.26,-544.9884033203125,41
42,210000,30.0353,71.707,654.66,203.37,-556.1629028320312,42
43,215000,29.7306,71.7509,540.84,170.87,-560.7492065429688,43
44,220000,30.6202,73.2388,439.86,135.08,-588.111328125,44
45,225000,29.9247,71.2506,436.33,119.3,-588.814697265625,45
