Running Forward KL,Running Env Steps,Itration,Running Update Time,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return
35.0533,170000,34,34,1009.73,27.3097,-1312.4439697265625,1015.03
36.1384,175000,35,35,1017.03,36.5358,-1376.8048095703125,1017.21
38.5557,180000,36,36,225.06,60.454,-1523.5380859375,213.89
35.6594,185000,37,37,1002.37,32.2165,-1473.981689453125,1002.55
38.395,190000,38,38,1001.65,52.3789,-1642.6817626953125,1002.12
36.8137,195000,39,39,1033.32,29.0311,-1493.5384521484375,1024.11
32.4657,200000,40,40,544.73,43.457,-1281.149169921875,544.27
36.6022,205000,41,41,985.08,24.041,-1667.2236328125,990.79
34.3156,210000,42,42,876.95,29.9943,-1716.6912841796875,914.35
38.681,215000,43,43,982.04,47.2225,-1848.24072265625,981.95
38.4972,220000,44,44,975.24,48.5841,-1874.722412109375,982.89
32.9567,225000,45,45,215.96,57.6715,-879.4732055664062,213.4
40.041,230000,46,46,1000.7,51.638,-1997.662841796875,1001.18
38.3136,235000,47,47,996.19,31.0227,-2006.6004638671875,994.47
37.067,240000,48,48,987.28,50.7176,-2089.90576171875,987.58
37.2105,245000,49,49,1002.15,40.1725,-2038.0147705078125,1003.18
36.3678,250000,50,50,131.41,30.9816,-2122.403564453125,127.79
36.8698,255000,51,51,1003.66,28.2313,-2064.534423828125,995.49
36.0422,260000,52,52,1028.53,39.1697,-2064.749267578125,1033.34
35.2774,265000,53,53,1016.48,50.0274,-2310.572021484375,1016.35
33.6819,270000,54,54,348.12,46.9362,-2275.90625,308.8
33.5526,275000,55,55,320.0,46.5675,-2149.718505859375,321.99
28.3874,280000,56,56,268.69,65.318,-2004.3572998046875,274.94
36.1427,285000,57,57,1016.89,38.5654,-2477.1884765625,1017.38
39.4537,290000,58,58,991.37,40.4704,-2560.67724609375,991.82
37.468,295000,59,59,1019.95,38.7128,-2595.290283203125,1020.38
31.7582,300000,60,60,254.84,20.5609,-2044.677490234375,252.12
35.3549,305000,61,61,1007.91,47.86,-2633.14794921875,1008.33
36.3401,310000,62,62,1003.63,24.412,-2440.01220703125,999.4
37.2965,315000,63,63,904.35,49.5722,-2794.232421875,983.34
31.214,320000,64,64,257.64,26.877,-1333.9564208984375,258.94
38.0791,325000,65,65,1048.83,30.566,-2721.493896484375,1049.16
38.4189,330000,66,66,1030.4,39.5577,-2776.98046875,1030.85
30.2361,335000,67,67,295.91,39.5058,-2524.30224609375,296.61
40.0341,340000,68,68,1026.95,36.4876,-2904.77880859375,1026.84
38.3023,345000,69,69,1005.04,48.8967,-3073.28759765625,1008.83
34.0971,350000,70,70,64.78,50.9901,-2982.106689453125,40.64
38.867,355000,71,71,975.66,54.5702,-3157.498779296875,975.67
36.1261,360000,72,72,1021.35,23.9873,-3064.096923828125,1022.9
36.3317,365000,73,73,1019.83,42.5619,-3209.7158203125,1019.85
39.5623,370000,74,74,1010.4,54.5723,-3312.0478515625,1010.96
39.8698,375000,75,75,1001.99,58.0817,-3390.898193359375,1002.09
38.0209,380000,76,76,996.28,47.2344,-3394.125732421875,996.41
36.8097,385000,77,77,1014.51,37.9335,-3448.1884765625,1014.83
35.903,390000,78,78,999.49,43.8758,-3481.254150390625,1000.37
39.2061,395000,79,79,1007.04,48.2166,-3585.095703125,1007.13
38.9024,400000,80,80,982.07,47.3959,-3595.0478515625,981.93
38.2815,405000,81,81,971.74,54.5311,-3686.918701171875,971.96
34.2705,410000,82,82,843.3,35.5704,-3360.26220703125,843.96
33.4078,415000,83,83,184.61,28.1448,-3757.48583984375,187.11
36.7044,420000,84,84,892.95,36.8931,-3527.347412109375,1056.45
39.5067,425000,85,85,983.77,58.9057,-3874.61279296875,983.46
37.0485,430000,86,86,99.38,40.8061,-3881.264892578125,99.55
38.4895,435000,87,87,1060.89,36.6152,-3679.4658203125,1060.62
39.5503,440000,88,88,1015.25,37.3055,-4043.845703125,1014.25
37.7742,445000,89,89,245.99,24.7778,-3891.189208984375,245.4
37.4826,450000,90,90,1035.52,30.3389,-4080.9326171875,1035.67
38.2205,455000,91,91,992.06,42.2918,-4137.814453125,992.65
37.6391,460000,92,92,427.1,29.191,-4147.89208984375,522.11
38.0243,465000,93,93,922.97,57.1916,-4230.84033203125,970.89
39.55,470000,94,94,25.96,42.092,-4221.6611328125,25.75
35.7287,475000,95,95,78.54,131.296,-3899.658935546875,79.08
33.6239,480000,96,96,391.81,27.9064,-3879.543212890625,410.22
37.0305,485000,97,97,1059.34,33.0322,-4212.6015625,1059.75
35.4844,490000,98,98,1011.58,32.4752,-4441.71337890625,1046.01
37.6752,495000,99,99,1045.0,34.6768,-4547.8955078125,1044.88
37.7888,500000,100,100,1019.69,44.3988,-4682.3037109375,1019.46
38.1259,505000,101,101,983.8,63.4642,-4669.43505859375,984.11
36.5113,510000,102,102,1086.15,27.9716,-4652.06103515625,1078.97
39.4989,515000,103,103,1005.13,45.1734,-4720.83984375,1005.64
38.1337,520000,104,104,989.65,35.3526,-4746.3251953125,989.78
38.3415,525000,105,105,990.39,47.4041,-4799.03271484375,990.89
38.1604,530000,106,106,990.81,44.1075,-4865.69873046875,990.62
30.8451,535000,107,107,284.47,60.5235,-3539.555419921875,371.99
39.4506,540000,108,108,996.15,40.2806,-5051.2666015625,995.96
35.0509,545000,109,109,1029.01,40.0307,-4821.478515625,1028.68
37.0482,550000,110,110,1028.13,28.1437,-4960.78076171875,1028.04
36.3189,555000,111,111,1005.97,33.9669,-5143.59130859375,1007.48
40.4824,560000,112,112,995.79,53.8843,-5336.32861328125,995.58
40.2857,565000,113,113,995.26,56.6291,-5383.90380859375,995.43
35.9907,570000,114,114,1042.49,30.0665,-5274.26708984375,1044.07
33.3275,575000,115,115,158.63,28.5771,-5086.09228515625,154.38
36.5811,580000,116,116,981.84,38.7372,-5144.357421875,1042.85
35.0162,585000,117,117,1044.22,30.2377,-5451.97412109375,1044.04
38.5368,590000,118,118,1038.58,30.1401,-5627.625,1038.8
39.265,595000,119,119,995.11,41.7102,-5689.04833984375,996.16
39.598,600000,120,120,1002.36,49.0426,-5736.509765625,1002.38
35.0065,605000,121,121,56.84,88.7771,-4053.440673828125,56.2
32.304,610000,122,122,288.81,45.439,-3793.740234375,287.21
34.1562,615000,123,123,1020.52,24.8877,-5744.21630859375,1009.15
38.2084,620000,124,124,1056.51,29.9584,-5824.4033203125,1055.12
37.2239,625000,125,125,1015.98,36.0468,-5991.0478515625,1022.94
37.536,630000,126,126,977.93,39.3005,-6072.2080078125,978.14
33.8127,635000,127,127,1008.23,38.2566,-6019.427734375,1010.14
33.5821,640000,128,128,995.7,36.6601,-5964.30712890625,997.96
35.0926,645000,129,129,1008.32,34.486,-6033.91943359375,1009.19
34.513,650000,130,130,1009.41,23.7896,-5575.62744140625,1005.0
36.1656,655000,131,131,145.37,27.6261,-5906.56494140625,145.64
37.814,660000,132,132,1006.58,37.4911,-6430.07470703125,1005.48
33.9997,665000,133,133,206.97,40.0273,-6100.91552734375,190.23
32.6728,670000,134,134,51.14,41.6186,-5747.27880859375,47.12
39.1156,675000,135,135,1025.21,39.1779,-6744.111328125,1011.85
38.6542,680000,136,136,998.35,52.2446,-6735.62060546875,998.32
35.1795,685000,137,137,82.08,51.9855,-4717.58642578125,81.94
34.2883,690000,138,138,178.81,35.2685,-4554.9248046875,177.75
35.0013,695000,139,139,262.0,87.16,-5204.3017578125,261.45
39.1447,700000,140,140,991.88,52.1819,-7026.5478515625,992.17
39.4126,705000,141,141,977.52,51.6947,-6955.13916015625,977.66
38.868,710000,142,142,972.2,55.4323,-7013.76123046875,972.78
38.0734,715000,143,143,985.19,44.0506,-7028.244140625,980.27
36.9009,720000,144,144,19.98,29.7966,-6702.03173828125,19.67
