Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Reverse KL,Running Forward KL,Running Update Time,Real Det Return
0,332.8721618652344,214.52,0,15.1598,32.2358,0,210.67
5000,669.0008544921875,369.95,1,64.76,29.7796,1,281.84
10000,719.1271362304688,372.77,2,56.7309,30.539,2,382.47
15000,679.1539916992188,401.98,3,58.3421,28.468,3,409.49
20000,664.6224365234375,442.07,4,58.6822,28.3672,4,435.08
25000,439.7489318847656,479.31,5,53.1163,28.5212,5,463.98
30000,463.6928405761719,583.14,6,44.2099,27.9957,6,504.85
35000,363.2789611816406,597.62,7,54.0358,28.9432,7,559.39
40000,164.71408081054688,384.98,8,26.511,27.2943,8,338.9
45000,271.1363830566406,737.1,9,27.5315,27.6408,9,675.89
50000,228.24974060058594,669.21,10,16.495,27.5514,10,625.6
55000,187.2938232421875,775.05,11,31.0177,26.8087,11,854.14
60000,163.51177978515625,730.02,12,29.1151,27.1321,12,791.87
65000,53.91923522949219,840.85,13,31.3348,26.5697,13,879.05
70000,46.75126266479492,766.15,14,24.2838,26.6571,14,843.66
75000,1.0282890796661377,788.04,15,15.7243,26.3569,15,847.07
80000,14.444417953491211,911.45,16,14.3491,26.508,16,864.67
85000,-30.281925201416016,821.67,17,15.247,27.6311,17,843.12
90000,-105.727294921875,891.54,18,17.6376,26.7404,18,1025.55
95000,-130.5718231201172,886.4,19,16.0498,27.0977,19,870.74
100000,-171.1974334716797,864.89,20,16.6513,26.4436,20,858.17
105000,-137.08175659179688,849.46,21,19.2545,26.6308,21,863.76
110000,-276.3896179199219,1142.57,22,26.4901,25.8897,22,1051.7
115000,-238.03857421875,1083.51,23,19.9197,26.2224,23,1048.68
120000,-316.84210205078125,1050.15,24,25.3343,25.7659,24,1076.64
125000,-270.0426330566406,877.27,25,19.7136,26.309,25,884.37
130000,-423.1177062988281,1350.53,26,25.7932,26.2637,26,1030.83
135000,-413.93756103515625,1190.19,27,29.1535,25.9314,27,1017.99
140000,-568.87353515625,830.84,28,29.7198,26.6765,28,875.84
145000,-381.9955749511719,1236.36,29,17.2963,26.2896,29,942.3
150000,-355.87213134765625,1151.26,30,17.3909,25.3601,30,966.94
155000,-418.2962951660156,995.84,31,25.5338,26.2439,31,890.45
160000,-621.1107788085938,996.51,32,21.9713,26.4932,32,923.05
165000,-577.9620971679688,937.05,33,22.3388,26.0095,33,903.94
170000,-595.1734008789062,904.18,34,19.2155,26.95,34,927.14
175000,-710.327880859375,964.36,35,23.559,25.9107,35,955.17
180000,-845.9163818359375,879.25,36,25.2462,26.4444,36,901.15
185000,-686.7315673828125,973.22,37,23.4438,25.8845,37,946.84
190000,-876.4525756835938,892.93,38,32.0686,25.8056,38,905.03
195000,-805.4096069335938,955.94,39,30.2814,26.136,39,937.28
200000,-904.0308227539062,924.9,40,25.8653,26.4406,40,912.67
205000,-978.7144775390625,1037.89,41,30.4851,25.6613,41,1064.66
210000,-809.5433959960938,995.6,42,21.578,25.394,42,1044.19
215000,-1080.558837890625,903.5,43,65.8853,25.916,43,941.69
220000,-976.5821533203125,878.46,44,16.1094,26.6597,44,887.6
225000,-894.5155639648438,896.69,45,14.4603,26.088,45,894.23
230000,-900.8087768554688,895.2,46,15.9507,25.8789,46,907.88
235000,-891.9661254882812,890.58,47,13.5299,26.5213,47,913.98
240000,-994.217041015625,899.3,48,13.9908,25.9688,48,921.69
245000,-1271.68603515625,877.14,49,32.629,26.5997,49,896.69
250000,-1180.5394287109375,899.9,50,14.1576,26.4346,50,924.83
