Reward Loss,Real Sto Return,Running Reverse KL,Real Det Return,Running Env Steps,Running Forward KL,Itration,Running Update Time
-66.37406158447266,456.71,13.9379,454.16,0,49.4249,0,0
-70.75218963623047,191.63,17.6797,293.64,5000,50.4987,1,1
-115.94247436523438,490.25,25.6381,504.56,10000,48.8991,2,2
-136.73545837402344,316.83,14.5898,344.11,15000,49.3817,3,3
-301.3705139160156,381.95,13.4442,350.52,20000,49.3237,4,4
-163.81675720214844,319.55,23.4262,339.04,25000,49.5007,5,5
-111.2359390258789,577.78,20.7183,614.94,30000,48.4278,6,6
-208.74916076660156,710.94,20.1088,644.08,35000,47.6272,7,7
-234.17303466796875,843.17,14.034,1028.33,40000,46.7369,8,8
-217.98158264160156,814.61,15.6835,861.21,45000,47.4854,9,9
-212.3601531982422,962.76,19.4461,733.07,50000,47.5452,10,10
-223.0486297607422,847.3,15.3885,1387.77,55000,46.8417,11,11
-244.8135986328125,1160.86,14.9455,1570.75,60000,46.3964,12,12
-195.70375061035156,851.44,15.605,982.39,65000,47.1895,13,13
-243.90538024902344,1155.26,15.4531,1159.66,70000,46.4986,14,14
-206.6932830810547,1499.25,16.9292,2113.74,75000,46.0417,15,15
-198.1531219482422,1721.5,20.3525,2151.59,80000,46.615,16,16
-226.8667449951172,1413.09,22.5117,1525.31,85000,45.6782,17,17
-204.01943969726562,1793.2,18.2203,1226.98,90000,46.0395,18,18
-183.776611328125,1916.52,23.7955,2329.47,95000,45.8403,19,19
-181.53475952148438,2073.52,23.139,2781.47,100000,45.4871,20,20
-198.01046752929688,1797.02,30.1473,2068.12,105000,45.5247,21,21
-225.17466735839844,2553.8,17.1437,3143.34,110000,45.2332,22,22
-199.03451538085938,1944.28,24.9395,3321.73,115000,44.5281,23,23
-265.4355163574219,1561.09,19.7863,1593.07,120000,44.9991,24,24
-211.24639892578125,2616.67,17.6905,2883.71,125000,44.8522,25,25
-221.6430206298828,2315.5,17.1164,2869.95,130000,44.0297,26,26
-230.08279418945312,3026.84,18.1187,3326.21,135000,45.4742,27,27
-223.94642639160156,3467.16,17.9663,3498.01,140000,44.6005,28,28
-234.15159606933594,3217.55,17.5871,3436.73,145000,45.4789,29,29
-253.08233642578125,3021.78,16.6925,3212.64,150000,44.7672,30,30
-242.3145294189453,3588.66,18.5508,3645.64,155000,45.4551,31,31
-243.89541625976562,3199.32,17.8804,3525.36,160000,45.4011,32,32
-229.38812255859375,3210.71,18.6558,3497.72,165000,44.9994,33,33
-231.3388214111328,2644.58,17.6278,3139.11,170000,45.0214,34,34
-261.5760498046875,3012.95,17.3887,3492.28,175000,45.0637,35,35
-285.0695495605469,2968.85,16.6983,3241.12,180000,44.6952,36,36
-259.70184326171875,3089.93,18.9438,3595.38,185000,44.6424,37,37
-263.6200866699219,3421.07,19.3212,3764.24,190000,44.3199,38,38
-272.0375671386719,3577.02,18.3051,3705.72,195000,44.3004,39,39
-280.73065185546875,3621.09,17.8276,3663.95,200000,44.5338,40,40
-287.8380432128906,3433.68,17.4127,3676.08,205000,44.0393,41,41
-265.7315673828125,3758.1,18.9671,3710.7,210000,43.859,42,42
-312.57049560546875,3578.16,19.9056,3819.22,215000,44.3537,43,43
-291.0743408203125,3770.78,19.3568,3945.12,220000,44.4066,44,44
-278.0262451171875,3870.08,20.6586,3915.61,225000,44.6795,45,45
-309.52264404296875,3753.26,18.3062,3906.27,230000,44.1437,46,46
-315.92041015625,3765.79,18.8856,3723.18,235000,44.4505,47,47
-312.5480041503906,3878.49,18.4959,3978.8,240000,44.1167,48,48
-327.3230895996094,3823.79,19.0516,3986.66,245000,44.4125,49,49
-277.5080261230469,3909.62,19.4742,3936.14,250000,44.0635,50,50
-333.8488464355469,3720.34,18.2852,3958.23,255000,43.7934,51,51
-337.52227783203125,3912.76,19.4222,3974.04,260000,44.2796,52,52
-310.29071044921875,4025.88,20.2387,4067.1,265000,44.0522,53,53
-331.4082336425781,3979.08,20.2337,4020.97,270000,44.4005,54,54
-336.1156921386719,3988.89,19.8041,4011.89,275000,44.4515,55,55
-361.5971984863281,3975.36,18.5732,4025.54,280000,43.7038,56,56
-347.36639404296875,3935.66,18.8998,4011.24,285000,44.0314,57,57
-367.16131591796875,3998.78,19.1102,3959.95,290000,43.8015,58,58
-376.2725524902344,3980.95,19.0467,4015.26,295000,43.7705,59,59
-357.83697509765625,4017.98,18.9743,4084.59,300000,43.9954,60,60
-365.69708251953125,4039.99,18.6615,4088.24,305000,43.827,61,61
-370.8193359375,4030.8,19.188,4105.55,310000,43.5902,62,62
-362.2453308105469,4077.32,19.8643,4056.88,315000,43.8015,63,63
-383.2658386230469,3994.91,19.3348,4050.3,320000,43.5016,64,64
-393.28564453125,4052.34,19.1518,4072.44,325000,43.7587,65,65
-379.7889709472656,4137.54,19.1851,4131.01,330000,43.5753,66,66
-365.2840576171875,4096.54,20.2632,4006.22,335000,43.8751,67,67
-431.7849426269531,4130.4,17.4382,4143.01,340000,43.4482,68,68
-395.7135009765625,4162.07,19.2558,4182.24,345000,43.7124,69,69
-422.0176086425781,3631.58,17.7228,4148.02,350000,43.9176,70,70
-405.6670837402344,4092.76,19.2605,4184.1,355000,43.5865,71,71
-390.4873352050781,4234.43,20.0497,4174.11,360000,43.7659,72,72
-403.15704345703125,4138.79,20.082,4076.81,365000,44.1926,73,73
-403.3263244628906,4169.96,19.5688,4142.44,370000,43.8599,74,74
-543.6075439453125,2571.34,16.6857,4180.35,375000,44.5,75,75
