Running Update Time,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Itration
0,13.1651,412.14,0,428.13,-57.78586959838867,49.1136,0
1,14.0145,142.45,5000,325.01,-8.355915069580078,48.4092,1
2,18.3572,71.75,10000,345.54,-56.43400573730469,49.731,2
3,22.4867,472.04,15000,419.72,73.84754180908203,49.5859,3
4,33.5435,379.97,20000,469.74,89.69123077392578,49.4442,4
5,31.6992,393.5,25000,467.6,-46.11161422729492,49.7916,5
6,23.1178,580.19,30000,624.32,-14.98270034790039,48.0297,6
7,14.912,480.58,35000,573.61,-125.16065216064453,47.5695,7
8,17.5934,713.45,40000,722.08,-61.49306869506836,48.7648,8
9,26.0245,761.95,45000,770.1,-0.7736384868621826,47.7546,9
10,26.9888,786.96,50000,898.36,-18.732994079589844,48.3263,10
11,17.3306,771.23,55000,845.33,-92.87759399414062,48.6504,11
12,18.0294,946.98,60000,861.71,-82.9902572631836,48.1185,12
13,16.7505,724.67,65000,757.02,-109.24913024902344,47.5421,13
14,19.0484,2127.89,70000,1306.53,-102.20393371582031,47.6732,14
15,18.6718,1420.4,75000,1173.65,-155.0819549560547,47.4208,15
16,18.9567,1437.39,80000,1410.57,-158.67974853515625,46.9526,16
17,16.3679,1436.12,85000,1290.91,-197.38827514648438,47.6083,17
18,17.4105,1763.84,90000,1436.41,-254.02935791015625,47.4553,18
19,18.3936,1246.09,95000,1162.06,-159.52099609375,47.1182,19
20,18.1925,1898.57,100000,1708.7,-171.14852905273438,47.2476,20
21,18.0806,1194.32,105000,1133.72,-212.59112548828125,47.7001,21
22,16.0321,1182.73,110000,1124.7,-208.0568084716797,47.1237,22
23,15.3817,1268.53,115000,1227.56,-231.99090576171875,47.1205,23
24,19.2521,1387.2,120000,1434.92,-226.746826171875,47.1753,24
25,15.8394,1365.84,125000,1454.77,-216.99307250976562,47.1659,25
26,15.6164,1427.52,130000,1220.13,-214.4011993408203,47.0487,26
27,20.2872,1947.32,135000,1541.54,-211.2998046875,46.8471,27
28,27.0642,1416.62,140000,1332.19,-168.5146484375,47.5211,28
29,18.7929,1427.99,145000,1203.71,-228.35508728027344,47.6352,29
30,19.6006,1430.44,150000,1358.5,-181.81161499023438,47.6549,30
31,17.6081,1610.65,155000,1379.07,-214.3728790283203,47.5192,31
32,35.2066,1145.4,160000,1300.99,-159.65670776367188,47.7757,32
33,17.7865,1519.06,165000,1375.29,-235.45021057128906,47.1311,33
