Real Det Return,Running Reverse KL,Real Sto Return,Reward Loss,Itration,Running Forward KL,Running Env Steps,Running Update Time
268.17,27.1233,-82.0,56.75541687011719,0,74.1356,0,0
435.27,26.243,-10.01,43.14719772338867,1,71.2389,5000,1
448.79,26.7777,-38.64,32.337039947509766,2,73.149,10000,2
515.22,27.7552,26.68,19.083637237548828,3,72.5021,15000,3
658.39,28.1369,38.96,12.747360229492188,4,70.328,20000,4
561.7,29.5546,33.12,3.9045424461364746,5,73.4316,25000,5
393.51,30.449,81.35,-10.039923667907715,6,72.3722,30000,6
463.04,31.1907,88.39,-17.299007415771484,7,72.2306,35000,7
690.56,30.7446,124.46,-32.41474533081055,8,70.6249,40000,8
689.0,30.9957,93.5,-43.393348693847656,9,71.2086,45000,9
728.59,30.6928,193.38,-57.83608627319336,10,69.8797,50000,10
854.5,30.8863,196.79,-68.60305786132812,11,69.3215,55000,11
784.39,30.811,167.12,-81.03898620605469,12,70.2999,60000,12
893.25,31.5029,159.86,-93.8599853515625,13,72.9529,65000,13
971.13,31.4369,207.03,-107.16664123535156,14,71.6805,70000,14
857.01,30.7542,199.06,-121.00572204589844,15,70.467,75000,15
907.12,30.6331,203.36,-132.83717346191406,16,70.337,80000,16
809.69,31.5771,242.38,-143.48265075683594,17,68.9252,85000,17
904.74,30.9031,179.23,-159.36961364746094,18,71.2426,90000,18
857.58,30.8653,237.63,-167.92617797851562,19,69.1661,95000,19
971.37,31.6218,175.58,-183.98477172851562,20,71.5465,100000,20
