Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Real Det Return
13.8989,49.1859,0,344.42,430.8
13.1118,48.9663,1,444.03,321.26
13.6824,49.5897,2,362.2,323.97
14.2371,50.0853,3,377.25,407.16
13.8169,49.1719,4,422.4,388.34
15.6575,49.6315,5,427.95,520.71
13.4609,48.6342,6,379.7,355.3
11.9682,48.8449,7,405.72,490.28
18.9437,49.3627,8,465.39,513.71
18.1164,49.7553,9,424.5,443.53
13.4869,48.5692,10,441.35,463.95
18.3985,49.0069,11,543.44,518.97
16.213,47.2558,12,587.98,564.25
13.9489,47.4331,13,607.82,731.02
15.2422,47.0642,14,666.61,694.1
13.1494,47.4098,15,678.17,721.47
11.9296,46.3742,16,924.68,737.86
12.4096,47.4456,17,771.9,723.39
14.032,47.6479,18,875.98,828.49
13.3214,47.4964,19,856.81,849.68
13.8031,47.0533,20,866.32,783.15
13.417,46.4592,21,870.96,931.17
12.5952,46.4268,22,1050.97,1344.87
12.3949,45.9121,23,729.51,821.44
12.7652,47.1797,24,742.03,695.37
15.8722,47.0408,25,885.38,953.32
16.0111,46.245,26,1083.18,1223.45
30.2385,46.9807,27,1206.16,1460.72
25.1966,47.0749,28,1036.52,1004.19
27.8293,47.476,29,911.86,1009.73
15.7837,47.1199,30,919.98,883.71
13.8327,47.0168,31,784.73,791.7
13.6548,46.8994,32,895.2,747.15
16.2082,47.1194,33,986.24,1109.3
16.8814,45.1917,34,1396.17,1687.39
17.2174,45.5816,35,1158.0,1091.27
16.2335,45.658,36,1333.73,1324.05
16.0431,45.2918,37,1217.22,1120.07
14.1347,45.7085,38,1249.32,1034.13
15.2447,44.8261,39,2013.04,2019.7
13.8425,44.6298,40,1897.21,2490.6
13.8409,44.8168,41,1210.33,1232.0
17.3708,44.6134,42,1153.43,1175.08
18.553,45.8677,43,1070.08,1212.55
16.0018,44.7414,44,1541.65,1596.56
15.3927,44.3839,45,2076.98,2035.08
16.8118,44.8561,46,3135.56,3380.64
14.8509,45.1525,47,2210.71,2924.81
13.8257,44.0197,48,2606.12,3102.95
16.5292,44.6942,49,2386.67,2839.31
17.7753,44.0173,50,3610.41,3682.55
17.8527,44.0274,51,3070.85,2258.52
17.9631,44.305,52,2606.22,2782.11
18.6741,44.1644,53,3498.65,3534.76
16.1584,43.5962,54,3518.73,3620.37
18.0642,43.4164,55,3471.07,3743.6
17.6576,43.2653,56,3219.74,3603.57
16.3527,43.6562,57,3378.53,3523.17
18.2365,43.7886,58,3370.82,3643.28
16.1839,43.3409,59,3135.39,3713.25
15.1009,43.2424,60,3021.26,3390.71
16.7415,43.5094,61,3610.28,3754.72
16.8315,43.5289,62,3714.43,3662.65
16.427,43.2609,63,3690.87,3776.13
14.5538,43.5732,64,2762.64,3109.26
16.2497,43.7017,65,3595.64,3582.3
15.9495,43.5126,66,3234.35,3680.08
16.7133,43.4006,67,3547.46,3788.04
17.2789,43.4726,68,3293.2,3586.41
19.202,43.6367,69,3725.2,3898.54
19.3461,43.5888,70,3692.51,3765.72
16.9708,42.6985,71,3755.64,3815.54
16.935,43.2274,72,3563.03,3745.4
17.7806,43.1125,73,3346.79,3815.62
16.8788,42.263,74,3776.45,3811.34
18.066,42.8426,75,3759.21,3763.01
16.2487,42.9698,76,3584.2,3793.12
19.721,42.5565,77,3390.7,3782.62
15.9668,42.6238,78,3711.51,3795.13
19.5284,43.3751,79,3673.06,3868.07
17.5792,42.8453,80,3585.83,3774.69
18.5082,43.0655,81,3820.65,3945.39
23.0971,43.5348,82,2650.0,2196.01
18.0426,42.4644,83,3783.68,3827.19
18.1849,43.1049,84,3753.62,3739.27
17.2617,42.8906,85,3596.62,3818.79
16.7824,42.198,86,3802.16,3860.28
16.0941,42.3495,87,3607.22,3885.63
16.1684,42.1177,88,3759.75,3542.79
17.4925,42.6099,89,3334.58,3935.96
16.3256,42.5023,90,3475.44,3873.78
20.1086,42.5855,91,3893.91,3940.97
19.7982,42.9475,92,2801.19,3731.03
23.4233,43.3041,93,3043.46,3844.37
17.2041,43.0107,94,3925.6,3965.5
16.9205,42.1185,95,3844.17,3740.61
16.1754,41.8731,96,3902.22,3902.96
19.2179,42.9127,97,3907.03,3972.39
16.6763,42.6917,98,3845.12,3905.29
16.9369,41.9636,99,3886.66,4018.46
16.0903,42.0772,100,3912.62,3947.19
17.2359,42.6434,101,3861.24,3914.75
21.0418,42.816,102,3900.58,3908.89
17.8955,42.6831,103,3825.46,3974.44
15.7177,41.8075,104,3986.14,4028.13
17.561,42.4756,105,3886.94,3969.65
17.9841,42.1601,106,3792.88,4045.86
17.8838,42.6583,107,3840.03,3980.39
18.1391,42.6028,108,3904.51,3946.97
17.5744,42.3282,109,3951.79,3961.87
18.6987,42.2016,110,3988.72,4087.96
17.4259,42.0442,111,3934.09,4034.68
18.2018,42.3194,112,3928.07,3935.55
17.5246,41.9787,113,3978.69,4020.37
17.8094,42.2562,114,3973.64,4021.85
18.5301,42.2662,115,3782.03,3962.59
19.2555,42.1697,116,3748.42,3989.89
17.398,43.324,117,2816.62,2304.97
18.7313,42.3323,118,3838.73,4045.17
17.5714,41.9083,119,3912.56,4076.5
18.6284,42.6107,120,3882.54,3932.18
18.5547,42.8532,121,3592.04,4075.25
18.3846,42.3478,122,3979.17,4075.08
17.7516,42.4133,123,3756.42,4073.69
18.9661,42.3923,124,3994.94,4063.95
16.7787,42.2689,125,3834.44,3909.2
16.6089,41.865,126,3817.58,4041.73
17.9829,41.9257,127,3623.17,4026.14
16.2161,42.0385,128,3916.63,3971.39
19.0599,42.4072,129,3963.39,3991.01
17.6404,42.079,130,3969.6,4130.55
17.1035,41.578,131,3654.05,4078.85
17.9787,42.366,132,3992.76,4045.29
19.3308,42.9605,133,4067.24,4099.84
17.3334,42.9606,134,3160.28,3503.6
16.721,42.2461,135,3934.96,3938.32
16.8575,42.3235,136,3992.22,4070.59
19.1597,42.5986,137,4007.81,4040.27
17.43,42.6208,138,3259.36,3134.37
18.8998,42.3756,139,4065.78,4102.48
