Itration,Running Update Time,Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Reward Loss
0,0,49.0653,0,13.6786,301.84,278.58,380.9522399902344
1,1,50.322,5000,15.5861,509.18,294.57,250.68402099609375
2,2,49.0629,10000,13.1525,450.46,330.68,429.04693603515625
3,3,49.1136,15000,14.6281,399.14,486.44,459.958740234375
4,4,49.8228,20000,22.0838,493.04,409.18,262.66473388671875
5,5,49.6361,25000,20.4109,511.36,431.85,182.9724884033203
6,6,48.2124,30000,33.1121,550.08,662.52,172.62147521972656
7,7,48.4284,35000,26.8935,500.89,477.2,235.84097290039062
8,8,48.4981,40000,16.1539,558.84,578.78,198.83123779296875
9,9,48.7355,45000,16.8225,556.11,494.01,216.42425537109375
10,10,48.0782,50000,24.5218,709.8,516.6,206.30908203125
11,11,47.0987,55000,36.7489,734.52,628.89,132.80299377441406
12,12,47.0895,60000,25.5469,583.92,785.21,159.26316833496094
13,13,46.8017,65000,29.2957,546.62,583.4,116.32925415039062
14,14,46.1278,70000,36.5205,803.4,680.33,88.54562377929688
15,15,46.3538,75000,15.276,1837.95,2065.95,2.6492178440093994
16,16,44.8682,80000,19.7506,1111.49,1252.36,79.03832244873047
17,17,43.7412,85000,14.9151,1527.17,1777.17,70.2912826538086
18,18,44.6439,90000,14.0765,1670.88,1596.15,89.84142303466797
19,19,43.8358,95000,14.4542,938.89,1025.54,128.687255859375
20,20,43.6088,100000,12.102,1964.11,2157.65,109.93346405029297
21,21,44.0222,105000,13.01,1600.29,1797.87,116.25802612304688
22,22,43.6912,110000,15.802,3031.21,2769.42,-28.750926971435547
23,23,41.6528,115000,13.8574,3370.39,2825.33,-11.201262474060059
24,24,41.7172,120000,14.7529,3237.18,2175.12,124.34458923339844
25,25,42.6799,125000,16.6358,3002.48,2891.57,-32.855777740478516
26,26,41.8681,130000,15.9969,2787.49,3378.9,-15.240728378295898
27,27,41.6665,135000,16.6104,3471.14,3438.6,-33.41245651245117
28,28,41.6292,140000,14.247,2285.26,2476.82,-5.60280704498291
29,29,42.3399,145000,16.0509,3074.95,3289.32,-45.01205825805664
30,30,41.5171,150000,15.3779,3322.21,3352.49,-34.024417877197266
31,31,41.3336,155000,14.6429,3564.46,3351.24,-63.194664001464844
32,32,41.6509,160000,14.9167,3047.74,3355.25,-32.93010711669922
33,33,41.6557,165000,18.041,3724.26,3758.7,-62.66835403442383
34,34,41.143,170000,15.1174,3572.61,3603.34,-70.55696868896484
35,35,41.309,175000,15.8094,3369.28,3510.55,-54.928958892822266
