Real Det Return,Itration,Real Sto Return,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL
196.64,0,195.05,0,0,42.9566,-153.60606384277344,40.5852
331.99,1,307.1,1,5000,32.1015,-152.77040100097656,36.4791
344.07,2,294.36,2,10000,21.8633,-61.8301887512207,35.0178
735.66,3,697.26,3,15000,21.8721,-86.32884216308594,32.998
863.64,4,697.55,4,20000,22.4561,-100.67511749267578,32.2097
1633.18,5,1027.04,5,25000,16.5677,-84.53838348388672,32.0802
3059.96,6,2571.22,6,30000,16.1412,-30.219614028930664,31.6741
3054.73,7,2934.89,7,35000,18.0147,-23.496732711791992,32.4002
3065.35,8,2968.83,8,40000,18.7523,-37.7182731628418,31.0745
3101.15,9,2418.3,9,45000,15.9051,-32.14573669433594,30.8962
2956.07,10,2038.68,10,50000,17.2059,-46.9804573059082,29.8088
3112.21,11,2183.64,11,55000,15.2186,-60.77365493774414,30.1112
1060.23,12,1939.12,12,60000,14.6281,-60.92536544799805,29.7886
950.96,13,1648.22,13,65000,18.6736,-98.58096313476562,30.021
3141.08,14,2289.25,14,70000,14.4842,-58.27520751953125,29.749
3158.71,15,2802.07,15,75000,15.1465,-50.00607681274414,29.5678
3098.23,16,2964.55,16,80000,15.4843,-37.175209045410156,29.8394
3158.01,17,2578.63,17,85000,15.3164,-66.64864349365234,28.8039
3164.64,18,2319.27,18,90000,14.8417,-40.93374252319336,29.2924
1668.97,19,2237.69,19,95000,13.068,-83.54012298583984,28.0572
953.66,20,1793.69,20,100000,14.1949,-99.2767333984375,28.4642
3213.21,21,2813.76,21,105000,15.173,-50.42369842529297,30.0835
3249.8,22,1797.83,22,110000,19.682,-141.3741455078125,30.4201
3205.61,23,2731.62,23,115000,19.7163,-103.91995239257812,30.116
1807.31,24,1959.77,24,120000,16.4141,-105.75005340576172,29.4472
903.97,25,1711.65,25,125000,14.9397,-96.16120147705078,28.9815
3279.62,26,2898.5,26,130000,14.6507,-53.59741973876953,28.8194
3172.25,27,2917.54,27,135000,14.4777,-67.66970825195312,29.4351
3290.28,28,2786.07,28,140000,13.4573,-94.58035278320312,29.0112
3280.96,29,2191.79,29,145000,14.3484,-141.90118408203125,27.9422
2557.95,30,2897.72,30,150000,12.3461,-66.176025390625,26.1766
921.77,31,1996.67,31,155000,17.5258,-150.55787658691406,28.9536
820.97,32,1995.26,32,160000,14.4688,-137.17926025390625,28.2529
3374.23,33,3063.19,33,165000,13.8053,-56.524200439453125,27.6382
959.5,34,2756.13,34,170000,13.9681,-97.86039733886719,27.0501
3396.38,35,3082.88,35,175000,13.855,-87.97392272949219,27.5281
3346.42,36,3088.94,36,180000,12.149,-59.98003387451172,25.3317
3353.69,37,2583.12,37,185000,17.701,-141.25819396972656,28.0857
3339.93,38,3254.83,38,190000,13.0666,-77.5169448852539,25.9485
3365.75,39,3286.42,39,195000,11.6627,-62.13972091674805,24.9316
3336.83,40,3292.66,40,200000,13.1231,-72.5515365600586,26.3655
3311.1,41,3193.73,41,205000,11.9402,-63.396484375,24.7933
3376.95,42,3296.02,42,210000,11.503,-64.31171417236328,24.2026
