Reward Loss,Real Sto Return,Running Update Time,Running Env Steps,Itration,Running Reverse KL,Running Forward KL,Real Det Return
64.28536224365234,190.11,0,0,0,19.5676,39.8332,182.78
20.477176666259766,289.07,1,5000,1,22.1515,38.4572,288.83
21.41102409362793,451.72,2,10000,2,19.2277,37.5589,287.69
125.43693542480469,-1.52,3,15000,3,44.8937,45.3922,-1.59
15.9929838180542,123.11,4,20000,4,54.6107,39.97,125.67
-40.38904571533203,310.61,5,25000,5,111.6198,37.9108,312.63
-48.499427795410156,611.37,6,30000,6,35.4049,37.8633,516.24
-23.199909210205078,13.83,7,35000,7,166.4499,41.7888,12.17
-43.240867614746094,1325.43,8,40000,8,26.3991,39.6784,1326.0
-30.096023559570312,234.55,9,45000,9,81.5189,38.4609,234.53
-79.029052734375,224.99,10,50000,10,59.4414,38.5336,225.53
-61.982601165771484,215.44,11,55000,11,37.2394,36.9526,214.57
-101.57263946533203,1003.37,12,60000,12,32.1473,43.4374,1003.5
-21.443227767944336,340.87,13,65000,13,47.7403,38.7173,342.43
-108.04367065429688,1048.84,14,70000,14,22.7645,41.4774,1011.63
-76.10606384277344,1086.08,15,75000,15,24.46,40.6766,1084.69
-88.4909896850586,348.9,16,80000,16,22.7907,38.8958,351.27
-144.31021118164062,959.43,17,85000,17,44.2039,39.0122,930.34
-70.72460174560547,583.94,18,90000,18,54.5901,38.1276,506.12
-172.2823486328125,993.04,19,95000,19,43.3745,42.9889,993.08
-91.49979400634766,597.58,20,100000,20,28.2151,37.8094,611.17
-166.20111083984375,910.91,21,105000,21,33.8333,39.9962,947.83
-197.46995544433594,978.71,22,110000,22,51.259,43.9467,978.71
-205.87405395507812,971.7,23,115000,23,48.8363,43.3147,971.7
-217.8565216064453,986.12,24,120000,24,55.2425,43.9445,986.55
-97.89398956298828,261.87,25,125000,25,29.4631,37.1117,263.33
-146.30430603027344,270.68,26,130000,26,50.4388,37.1738,340.37
-149.1512451171875,1355.57,27,135000,27,20.6958,38.8275,1354.64
