Running Forward KL,Real Det Return,Reward Loss,Running Reverse KL,Running Update Time,Itration,Running Env Steps,Real Sto Return
457.0408,293.3,-2453.86083984375,251.1154,0,0,0,310.39
433.2714,333.64,-2651.06103515625,286.8338,1,1,5000,346.77
414.2863,342.1,-3653.798583984375,290.1748,2,2,10000,345.36
414.3769,438.15,-2449.61181640625,267.2421,3,3,15000,410.17
409.1894,495.37,-4513.9033203125,279.6174,4,4,20000,386.04
412.5328,362.14,-5215.07275390625,294.9301,5,5,25000,362.85
414.3078,402.84,-5328.27978515625,270.9984,6,6,30000,382.77
400.6104,430.99,-4298.08056640625,296.9859,7,7,35000,455.85
383.4083,542.52,-5964.10791015625,319.332,8,8,40000,474.8
405.9175,446.39,-6584.3310546875,321.1143,9,9,45000,412.8
403.797,458.82,-6733.330078125,320.3149,10,10,50000,443.67
374.6023,577.67,-6809.02197265625,305.1767,11,11,55000,585.19
366.6044,594.22,-7169.0888671875,304.1791,12,12,60000,614.82
353.9757,578.34,-4870.82568359375,266.3337,13,13,65000,604.38
354.9379,522.23,-5517.63330078125,275.1999,14,14,70000,557.63
354.736,696.7,-6631.3525390625,285.6672,15,15,75000,610.13
365.8801,532.39,-7014.16650390625,313.6112,16,16,80000,559.45
341.0597,509.37,-7226.96044921875,281.0971,17,17,85000,701.9
345.981,571.13,-5521.330078125,267.3333,18,18,90000,664.96
361.3312,765.59,-4951.2158203125,252.0858,19,19,95000,660.17
356.7096,767.43,-5811.61865234375,248.6308,20,20,100000,710.28
363.5708,781.14,-5824.8681640625,248.1242,21,21,105000,730.74
355.6194,767.31,-5514.22509765625,246.9703,22,22,110000,694.12
343.2648,832.29,-7964.30322265625,294.3691,23,23,115000,803.21
355.2564,753.18,-4232.3505859375,229.3837,24,24,120000,719.97
353.2136,729.09,-6748.41015625,255.8634,25,25,125000,815.73
372.3599,503.73,-5135.6533203125,242.4282,26,26,130000,588.73
358.8717,647.86,-5421.5439453125,245.5055,27,27,135000,841.37
357.6191,876.76,-6582.83154296875,275.2412,28,28,140000,857.49
343.2911,942.86,-4850.03759765625,236.6158,29,29,145000,1166.41
