Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Real Det Return
38.8382,148,56.3954,4038.41,4448.04
36.5103,149,55.605,3165.11,4633.89
31.1271,150,53.9683,2700.39,3260.81
25.3626,151,53.0156,2723.0,3242.71
36.6406,152,56.0298,3262.36,4183.85
38.2177,153,55.8976,4057.1,4448.98
38.345,154,55.805,3957.92,4535.87
38.491,155,55.8299,3256.97,3322.46
31.2281,156,54.9511,3132.67,3737.13
33.1155,157,55.4013,4172.08,4741.1
36.8129,158,55.283,4102.26,4146.87
37.0995,159,54.0698,3619.31,4155.89
33.591,160,54.8895,4015.59,4501.27
38.553,161,56.5007,3573.87,4692.62
39.4534,162,57.1739,3719.97,4234.55
30.1976,163,54.5439,4081.75,4397.29
33.7763,164,55.9918,4398.92,4698.47
38.4982,165,56.8518,3787.95,4679.02
29.0476,166,53.0555,2769.87,3360.39
36.7319,167,55.3226,4328.52,4660.46
44.1886,168,59.4885,4180.62,4756.64
36.4487,169,55.2645,4484.8,4566.41
35.7595,170,54.6257,3927.75,4542.63
25.6537,171,55.7086,3549.63,4195.39
36.805,172,55.001,3710.33,4561.19
39.0288,173,56.7682,4140.32,4852.75
31.1811,174,54.8441,3688.55,3998.96
36.7931,175,56.0909,3722.64,4515.1
33.2478,176,55.7192,3755.01,4097.52
36.6967,177,56.4151,4217.92,5086.38
39.5282,178,58.1334,3573.21,4497.44
36.1086,179,55.1528,4394.56,5140.3
38.8191,180,58.0335,4022.65,4676.38
34.2397,181,54.6038,4493.68,4622.64
38.6604,182,58.5902,4182.51,4947.19
38.0482,183,57.0864,4274.77,4918.58
37.2951,184,57.1141,4220.68,4655.0
34.9356,185,55.707,4263.83,4906.05
35.73,186,54.7521,4139.13,4850.94
34.2479,187,56.8283,3880.75,4987.52
34.2474,188,55.4127,3760.13,4069.65
31.5261,189,55.8819,3839.41,4455.76
33.1258,190,56.1992,3414.95,4467.23
36.6877,191,55.9114,4136.41,5053.55
38.2521,192,55.1899,4335.06,4762.96
35.8338,193,56.5434,2784.58,4171.53
30.611,194,53.3331,3751.37,4911.36
32.4454,195,54.6316,3226.21,4025.83
40.26,196,58.2228,4381.7,4852.55
37.8537,197,55.6012,3842.43,5102.61
35.7863,198,55.4644,3828.99,4866.3
28.3514,199,53.1898,3502.29,5174.47
34.0201,200,55.5732,2666.04,3321.86
28.4086,201,55.4626,3746.61,3900.35
28.938,202,53.97,2915.22,4163.24
31.9902,203,54.2975,4350.65,4421.1
30.2784,204,56.3805,2082.25,4431.85
27.5625,205,54.2278,3258.75,4308.47
26.5836,206,54.6549,1929.71,3659.22
31.091,207,55.2008,3325.61,3900.68
28.0211,208,55.1598,2840.05,4392.19
33.3043,209,55.9178,3352.24,5100.53
29.0386,210,55.7696,3101.12,4741.2
27.6406,211,56.1811,3880.01,4503.22
31.0563,212,56.1462,4647.98,4720.22
29.713,213,55.183,3015.27,4814.0
35.7203,214,56.5371,2837.38,4880.6
34.178,215,55.9115,3034.11,4041.95
33.6008,216,55.8318,3957.48,4859.0
34.9355,217,56.3321,4288.0,4917.77
31.257,218,56.0113,4272.52,4746.66
32.8027,219,55.2779,3068.58,4861.53
33.8539,220,57.0036,3285.29,4302.92
40.5405,221,58.3068,3420.71,4733.01
37.008,222,57.5673,3730.33,4857.82
30.4179,223,55.6869,3305.36,4493.2
32.2168,224,56.6158,3707.2,4607.34
28.712,225,56.5388,3664.72,5331.73
36.7469,226,57.8217,3488.87,4053.15
36.3235,227,57.3539,4087.8,5271.46
37.5085,228,58.3313,4244.15,4855.86
32.8549,229,56.3982,4248.26,4833.09
33.2522,230,57.2245,3403.15,4445.93
29.2684,231,55.6779,2775.9,4659.13
33.6747,232,57.1109,3752.88,4712.74
36.6531,233,57.5371,3868.42,4879.86
34.6635,234,56.5044,3878.55,5118.69
33.1112,235,56.4837,3688.04,4298.57
39.1835,236,59.0075,3738.08,4448.56
33.648,237,56.6311,3561.46,4746.33
29.4756,238,55.2954,3255.42,4177.05
32.6958,239,56.888,3004.78,4327.35
29.8952,240,57.0302,4278.98,5061.64
37.4181,241,57.2996,4241.16,5138.86
32.6759,242,55.8431,3959.81,4397.44
32.5829,243,57.1456,4017.27,4756.28
30.6841,244,55.8337,3989.6,4856.03
37.1684,245,57.6379,3967.96,4889.35
31.0156,246,55.537,3627.97,4751.05
36.1681,247,57.3291,4302.85,5138.24
33.754,248,57.6797,4539.25,5320.39
35.7873,249,58.0239,3396.65,5150.82
37.8597,250,57.369,3739.08,4435.72
33.0807,251,57.5383,4246.49,5220.76
39.083,252,59.3162,4249.29,5024.89
37.2492,253,57.5713,4252.06,3898.17
38.5735,254,58.2183,3660.52,4924.62
41.47,255,59.6283,4013.68,5105.12
40.4029,256,59.705,4357.48,5385.26
40.4937,257,59.6091,4050.35,4562.32
37.0214,258,57.0881,4098.83,5179.2
36.0788,259,57.0632,4307.62,5319.67
35.8801,260,57.4635,4010.7,5357.12
36.1696,261,56.0578,4192.61,5443.56
34.0856,262,56.3727,3719.36,4458.5
35.8139,263,56.268,4029.52,5225.22
34.9226,264,56.1792,3803.45,4542.44
42.2707,265,59.3254,4565.73,5213.32
