Real Det Return,Itration,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps
222.36,0,0,212.58,32.0366,161.185791015625,28.0248,0
294.85,1,1,293.39,29.9556,288.6344299316406,41.4161,5000
284.34,2,2,270.84,31.4156,275.58251953125,41.6763,10000
284.73,3,3,278.67,30.05,264.05548095703125,39.5992,15000
355.02,4,4,353.23,29.6424,199.23020935058594,38.787,20000
351.67,5,5,342.73,29.0482,153.50949096679688,35.5677,25000
375.42,6,6,367.07,27.4784,216.9778594970703,39.0717,30000
608.62,7,7,504.04,27.6695,167.98658752441406,36.8126,35000
408.96,8,8,398.9,28.3257,162.65902709960938,48.2593,40000
434.19,9,9,418.69,28.4848,116.25277709960938,32.6589,45000
431.92,10,10,416.8,28.3672,75.78002166748047,46.8625,50000
469.93,11,11,460.9,27.1127,23.512056350708008,43.5735,55000
439.95,12,12,440.99,28.2385,-17.00289535522461,42.8403,60000
581.74,13,13,574.93,27.9754,-37.76735305786133,39.4833,65000
594.37,14,14,593.59,27.3446,-78.18822479248047,36.7819,70000
1462.18,15,15,875.86,26.5183,-113.82427978515625,34.9659,75000
850.62,16,16,780.2,26.4065,-148.5882568359375,35.9601,80000
1785.63,17,17,1059.69,26.1279,-166.24769592285156,38.2298,85000
1085.25,18,18,932.43,26.6332,-182.85133361816406,48.2363,90000
1797.85,19,19,987.34,26.2849,-242.01124572753906,32.2562,95000
1477.0,20,20,1585.89,26.6479,-263.6746520996094,20.859,100000
1459.09,21,21,1800.53,26.4867,-228.07827758789062,37.8252,105000
3029.01,22,22,881.16,26.9275,-262.1819763183594,45.7936,110000
2999.54,23,23,1010.68,26.6796,-249.53260803222656,38.468,115000
1697.36,24,24,1035.74,26.786,-422.9768371582031,32.5328,120000
1811.04,25,25,1659.46,25.8325,-244.68234252929688,29.5377,125000
2988.87,26,26,1575.48,26.5322,-267.6380615234375,33.0982,130000
987.69,27,27,879.1,27.1851,-409.40350341796875,59.5884,135000
2932.16,28,28,2059.52,26.4182,-357.3499450683594,58.4302,140000
2945.99,29,29,2056.21,26.5343,-353.65020751953125,57.065,145000
1596.99,30,30,1623.37,26.489,-377.4122009277344,30.7398,150000
1481.11,31,31,1339.43,26.2705,-506.00921630859375,58.0645,155000
2156.81,32,32,1433.44,27.079,-504.6897277832031,52.4074,160000
2556.4,33,33,1709.83,26.6196,-391.735595703125,38.2359,165000
3013.11,34,34,2306.03,26.3506,-299.48638916015625,25.1887,170000
1559.78,35,35,2124.76,26.8043,-547.428955078125,18.7927,175000
2252.17,36,36,1476.25,26.6029,-644.3629760742188,23.9128,180000
997.51,37,37,1241.97,26.8846,-774.3653564453125,21.407,185000
3047.34,38,38,1785.25,26.6982,-507.97344970703125,27.5149,190000
760.22,39,39,1604.91,27.0448,-823.0614013671875,37.6827,195000
965.27,40,40,1470.92,26.7261,-777.864013671875,37.3852,200000
941.99,41,41,2375.91,25.929,-438.2498474121094,18.7575,205000
2630.5,42,42,1920.64,26.6283,-593.7050170898438,23.1348,210000
3041.93,43,43,2811.99,26.1082,-455.9101257324219,20.7559,215000
1629.83,44,44,2395.26,26.4363,-506.72845458984375,19.3158,220000
989.55,45,45,2127.37,26.349,-671.214111328125,35.5463,225000
1124.43,46,46,2701.42,25.9956,-523.7459106445312,18.9117,230000
2609.07,47,47,2520.34,25.7346,-556.9522094726562,18.9841,235000
2111.46,48,48,1917.71,26.2481,-509.6084899902344,28.0507,240000
962.36,49,49,1974.0,26.1206,-782.0986938476562,22.9622,245000
1031.28,50,50,1774.15,26.3787,-692.6467895507812,22.2282,250000
955.13,51,51,1728.25,26.0671,-922.0349731445312,22.8941,255000
3042.94,52,52,2618.73,25.5135,-588.5161743164062,17.4972,260000
962.32,53,53,1287.19,26.5771,-1044.2630615234375,19.1135,265000
2605.61,54,54,2096.8,26.3022,-942.468017578125,18.6857,270000
3039.99,55,55,2774.38,25.7342,-597.6424560546875,18.7445,275000
1604.56,56,56,1749.88,26.2882,-965.3086547851562,15.8954,280000
2559.4,57,57,1718.98,26.4598,-1041.46728515625,18.5625,285000
3040.7,58,58,2113.95,25.3221,-733.1576538085938,17.4782,290000
3072.32,59,59,2308.54,26.0081,-723.4498901367188,17.2511,295000
3073.85,60,60,1667.05,25.7804,-978.1190185546875,16.1397,300000
3089.04,61,61,3033.6,25.3893,-742.0505981445312,16.2665,305000
3104.33,62,62,2531.86,25.5801,-679.0673828125,16.6831,310000
3112.21,63,63,2011.26,26.1123,-1050.6419677734375,16.3066,315000
3076.52,64,64,2535.56,25.8681,-943.6845703125,16.6627,320000
3069.5,65,65,2796.07,25.8531,-745.4169311523438,17.2189,325000
3114.84,66,66,2479.39,26.0213,-1055.787109375,15.7536,330000
3113.77,67,67,2639.58,25.7102,-753.8858642578125,16.664,335000
3052.79,68,68,2817.52,25.6853,-846.9381103515625,16.2585,340000
3046.36,69,69,2971.03,25.6908,-675.4981079101562,17.1463,345000
3027.41,70,70,2771.7,25.4811,-624.7711791992188,16.159,350000
3015.31,71,71,3022.74,25.5961,-651.5474853515625,16.7115,355000
3071.16,72,72,2862.57,25.7879,-708.010498046875,16.7786,360000
3072.14,73,73,2815.77,25.4641,-829.461669921875,16.0069,365000
3149.92,74,74,1528.09,25.6442,-1290.0006103515625,15.6195,370000
3056.52,75,75,2858.33,25.7776,-727.7613525390625,17.0353,375000
3092.62,76,76,3003.64,25.003,-781.8981323242188,16.2731,380000
3079.07,77,77,2993.57,25.2231,-709.6078491210938,16.7332,385000
3082.71,78,78,2570.85,25.3119,-779.5490112304688,16.4923,390000
3083.27,79,79,2240.95,25.0383,-1077.0355224609375,15.2756,395000
3107.03,80,80,3106.44,25.0699,-810.1544799804688,16.469,400000
3086.25,81,81,2956.82,25.0785,-800.9494018554688,16.7114,405000
3092.95,82,82,2454.23,25.4221,-983.1101684570312,22.0952,410000
3092.54,83,83,2996.98,25.1614,-820.5785522460938,16.7647,415000
3097.73,84,84,2723.42,25.3406,-868.8526000976562,16.3974,420000
3143.27,85,85,2143.13,25.5372,-1260.1571044921875,14.7613,425000
3128.41,86,86,1602.25,25.7356,-1338.1556396484375,14.8825,430000
3104.69,87,87,2378.45,25.2227,-934.1971435546875,15.9319,435000
3064.04,88,88,2742.92,25.3573,-999.3897705078125,16.7818,440000
