Reward Loss,Itration,Running Env Steps,Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL
-1451.1927490234375,0,0,-194.61,-56.76,0,158.4363,11.5819
-1936.718017578125,1,5000,-35.75,796.96,1,158.43,12.0369
-2588.987060546875,2,10000,238.29,711.2,2,158.4212,13.4467
-3191.452880859375,3,15000,400.95,819.21,3,158.2656,13.9034
-3378.08251953125,4,20000,548.04,910.39,4,158.0507,14.4268
-3494.864990234375,5,25000,612.39,1027.11,5,158.0692,14.3529
-3762.912353515625,6,30000,668.07,927.06,6,157.9313,14.5258
-3772.823974609375,7,35000,722.9,850.95,7,157.5131,14.3427
-3871.9892578125,8,40000,784.19,681.75,8,157.8109,14.3379
-4131.56201171875,9,45000,945.79,1331.68,9,157.7862,15.1157
-4246.41845703125,10,50000,966.81,1392.31,10,157.7345,15.2958
-4646.212890625,11,55000,1133.41,1525.29,11,157.9078,16.3946
-4774.7265625,12,60000,1131.01,1464.37,12,157.7336,16.4441
-4853.0078125,13,65000,1161.36,1572.01,13,157.8334,15.9576
-5067.5625,14,70000,1202.64,1668.24,14,157.9021,16.0298
-5366.01904296875,15,75000,1261.2,1717.11,15,157.888,16.2779
-5537.99658203125,16,80000,1288.23,1754.83,16,157.7122,16.0641
-5622.35888671875,17,85000,1288.55,1730.39,17,157.7431,16.1166
-5977.5849609375,18,90000,1331.77,1793.6,18,157.5869,15.9592
-6096.0830078125,19,95000,1392.48,1835.12,19,157.5973,15.9879
-6317.990234375,20,100000,1418.48,1828.19,20,157.5925,16.3211
-6322.630859375,21,105000,1442.58,1808.8,21,157.5012,16.0162
-6587.521484375,22,110000,1468.09,1813.78,22,157.5892,16.3633
-6752.7021484375,23,115000,1495.04,1884.57,23,157.3096,15.8592
-6864.56884765625,24,120000,1497.65,1858.91,24,157.8689,16.6119
-7119.7998046875,25,125000,1564.97,1858.11,25,157.6088,16.1977
-7178.61865234375,26,130000,1517.66,1848.78,26,157.765,16.2745
-7464.072265625,27,135000,1553.85,1823.99,27,157.5609,16.3009
-7567.2998046875,28,140000,1589.5,1929.21,28,157.4545,16.3937
-7831.013671875,29,145000,1578.44,1897.17,29,157.7008,16.2493
-8026.837890625,30,150000,1557.69,1907.86,30,157.4534,15.9209
-8201.7412109375,31,155000,1610.69,1986.1,31,157.4339,16.3693
-8400.373046875,32,160000,1595.26,1899.64,32,157.3169,15.9142
-8673.78125,33,165000,1586.13,1928.94,33,157.6165,16.0496
-8833.1064453125,34,170000,1613.47,1937.88,34,157.4137,16.4853
-9057.6376953125,35,175000,1662.35,2008.89,35,157.3904,16.3857
-9169.8603515625,36,180000,1661.24,1991.76,36,157.5116,16.5753
-9308.26171875,37,185000,1618.24,1909.23,37,157.4434,16.3381
-9471.89453125,38,190000,1655.46,1996.77,38,157.4584,16.3388
-9757.53515625,39,195000,1614.63,1964.09,39,157.492,16.2097
-9951.2099609375,40,200000,1675.83,2060.85,40,157.3301,16.2926
-10130.3017578125,41,205000,1709.03,2079.08,41,157.4286,16.2245
-10322.2587890625,42,210000,1655.38,2014.47,42,157.6958,16.4646
-10564.2607421875,43,215000,1645.87,2000.54,43,157.1986,15.9323
-10765.1328125,44,220000,1698.53,2045.57,44,157.2679,16.1128
-10926.8837890625,45,225000,1689.72,2047.44,45,157.4582,16.6833
-11170.8369140625,46,230000,1704.36,2042.13,46,157.2345,16.1433
-11329.2744140625,47,235000,1673.73,2009.72,47,157.3287,15.9205
-11433.658203125,48,240000,1702.87,2044.93,48,157.2863,15.9044
-11605.5244140625,49,245000,1720.19,2053.3,49,157.2224,16.4095
-11850.271484375,50,250000,1685.19,2037.58,50,157.1523,15.994
-12024.5458984375,51,255000,1725.5,2059.86,51,157.3286,16.3871
-12361.73046875,52,260000,1705.26,2036.19,52,157.2939,16.1472
-12619.8291015625,53,265000,1711.51,2051.02,53,157.2027,15.9844
-12610.7138671875,54,270000,1699.34,1990.21,54,156.9926,15.7163
-12925.2392578125,55,275000,1700.77,2032.53,55,157.0486,15.7655
-13122.4462890625,56,280000,1663.4,1988.6,56,157.1928,15.6572
-13322.869140625,57,285000,1721.54,2077.75,57,157.2796,15.9458
-13534.115234375,58,290000,1746.19,2095.45,58,157.0463,16.1604
-13808.9423828125,59,295000,1748.81,2105.45,59,157.0772,15.97
-13880.26171875,60,300000,1741.86,2063.51,60,157.105,15.9593
-14291.490234375,61,305000,1748.76,2074.26,61,157.127,16.0471
-14416.408203125,62,310000,1697.25,2006.31,62,157.109,15.681
-14637.1689453125,63,315000,1762.7,2097.35,63,157.0248,16.0134
-14834.7236328125,64,320000,1749.83,2076.87,64,157.2464,16.1995
-14973.66796875,65,325000,1710.35,1929.48,65,157.1043,15.7799
-15210.1357421875,66,330000,1755.66,2094.27,66,156.9728,15.9521
-15357.568359375,67,335000,1743.33,2094.5,67,156.9643,15.3768
-15635.6484375,68,340000,1727.89,2039.35,68,156.9336,15.7446
-15777.765625,69,345000,1745.81,2076.52,69,157.1822,15.8283
-16066.1865234375,70,350000,1753.19,2070.68,70,157.0714,15.8194
-16100.9365234375,71,355000,1758.07,2079.1,71,157.0181,15.863
-16698.87890625,72,360000,1774.26,2113.66,72,156.9119,15.5477
-16718.41015625,73,365000,1729.78,2080.97,73,156.9906,15.7796
-16963.865234375,74,370000,1755.34,2131.25,74,156.9685,15.981
-17167.32421875,75,375000,1742.34,2105.41,75,156.7937,15.5754
-17303.02734375,76,380000,1806.02,2127.55,76,156.8086,15.7584
-17674.57421875,77,385000,1803.4,2130.12,77,156.8714,15.8785
-17809.740234375,78,390000,1723.31,2057.99,78,156.9414,15.4477
