Running Reverse KL,Itration,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return
15.0494,0,0,0,279.11,49.3105,-251.2570343017578,269.19
18.9083,1,5000,1,390.89,49.0183,-204.88565063476562,359.45
14.0711,2,10000,2,422.63,49.024,-279.41253662109375,484.38
13.3947,3,15000,3,351.26,48.7773,-249.4541778564453,374.6
22.2889,4,20000,4,358.11,48.9043,-176.46029663085938,419.62
12.2821,5,25000,5,385.33,48.9387,-232.16954040527344,453.52
12.2595,6,30000,6,625.49,46.8898,-212.6194610595703,696.96
12.2927,7,35000,7,600.24,46.9158,-249.30715942382812,645.5
19.0208,8,40000,8,737.1,47.7525,-129.02874755859375,798.82
23.5812,9,45000,9,966.74,47.3508,-113.45814514160156,1260.77
21.3318,10,50000,10,997.47,46.5324,-157.18746948242188,1266.5
18.5824,11,55000,11,751.63,47.0693,-236.67396545410156,829.81
31.7131,12,60000,12,775.34,47.4806,-193.54786682128906,695.88
18.784,13,65000,13,923.79,46.3938,-344.2262878417969,905.0
18.3087,14,70000,14,846.09,47.2087,-281.2978210449219,1024.13
16.7678,15,75000,15,746.17,46.8626,-511.24371337890625,659.92
28.4546,16,80000,16,776.57,47.0771,-314.3515319824219,828.89
28.9667,17,85000,17,928.23,47.0185,-331.3013000488281,949.19
26.5946,18,90000,18,916.68,46.6277,-243.00726318359375,1052.68
23.7458,19,95000,19,894.18,46.4689,-263.31878662109375,879.11
35.2115,20,100000,20,957.64,46.297,-132.49668884277344,1023.91
32.5555,21,105000,21,976.22,46.5639,-203.29888916015625,851.13
34.1459,22,110000,22,984.89,46.3796,-140.60841369628906,1143.41
38.1151,23,115000,23,929.19,46.6424,-152.247802734375,791.71
31.6677,24,120000,24,988.95,46.6646,-195.78306579589844,1013.56
47.1437,25,125000,25,1026.65,46.1065,-193.45497131347656,1118.75
18.5947,26,130000,26,1251.66,45.7041,-276.0747985839844,1512.45
15.7105,27,135000,27,1107.25,45.8909,-409.670654296875,1158.21
18.3828,28,140000,28,1353.43,45.9029,-258.8286437988281,2017.08
16.9241,29,145000,29,1205.1,45.4314,-341.9415283203125,1081.84
18.1936,30,150000,30,1151.7,44.9906,-324.0809020996094,1036.55
17.6211,31,155000,31,1355.38,45.1394,-304.5795593261719,1408.94
28.4792,32,160000,32,1183.46,45.7662,-165.850830078125,1112.95
23.1409,33,165000,33,1144.73,45.8586,-292.77044677734375,1186.95
29.8268,34,170000,34,1172.23,45.4791,-169.10301208496094,1160.27
22.05,35,175000,35,1287.8,44.6867,-231.29396057128906,1139.38
25.7045,36,180000,36,1504.41,44.5511,-191.17196655273438,1427.87
18.0939,37,185000,37,1563.26,44.2015,-207.31776428222656,1728.02
14.9093,38,190000,38,1159.42,45.3632,-362.87432861328125,1106.39
13.4355,39,195000,39,2094.42,42.5824,-254.37957763671875,2160.2
15.3278,40,200000,40,2285.54,42.6724,-216.403076171875,2324.79
15.7995,41,205000,41,2269.77,43.9569,-270.6419677734375,2610.87
16.1445,42,210000,42,2962.64,43.5124,-214.94432067871094,3376.04
15.9727,43,215000,43,2039.82,43.8372,-301.0977478027344,2167.59
16.659,44,220000,44,2062.15,43.2403,-246.41693115234375,2603.76
13.6669,45,225000,45,2845.74,43.5286,-279.3456115722656,3455.42
15.7847,46,230000,46,3200.44,43.0409,-225.53550720214844,3468.85
14.2165,47,235000,47,3403.69,43.1216,-242.42559814453125,3577.31
14.8896,48,240000,48,3040.08,42.8237,-262.48687744140625,3591.84
17.0067,49,245000,49,3539.74,43.1032,-228.18252563476562,3699.54
16.2555,50,250000,50,3617.36,43.2711,-229.51539611816406,3734.47
16.4908,51,255000,51,3536.7,42.7202,-239.29519653320312,3781.91
15.573,52,260000,52,3601.35,42.6875,-235.71360778808594,3712.84
14.9892,53,265000,53,3695.98,42.5022,-266.3523254394531,3646.4
15.6894,54,270000,54,3677.66,42.4531,-231.9410400390625,3723.84
15.9592,55,275000,55,3792.92,41.9045,-228.9203338623047,3541.78
15.6678,56,280000,56,3755.21,42.7332,-233.25559997558594,3732.12
14.6374,57,285000,57,3687.88,41.7026,-252.21481323242188,3757.55
16.3655,58,290000,58,3795.33,42.5526,-241.40060424804688,3765.37
15.5827,59,295000,59,3791.92,42.0272,-244.52099609375,3826.22
16.3365,60,300000,60,3791.66,42.4194,-260.08294677734375,3801.98
15.4137,61,305000,61,3678.21,42.3612,-260.0023193359375,3751.47
15.9793,62,310000,62,3788.03,42.3132,-260.1070251464844,3817.05
16.266,63,315000,63,3882.83,42.1735,-264.73712158203125,3808.88
15.5125,64,320000,64,3821.84,41.9596,-254.9403076171875,3853.35
14.8879,65,325000,65,3617.49,41.9884,-277.49920654296875,3869.24
15.9513,66,330000,66,3842.66,42.3542,-269.50457763671875,3841.23
15.6362,67,335000,67,3808.9,42.0659,-267.0084228515625,3869.4
15.6916,68,340000,68,3827.84,42.6595,-291.00323486328125,3766.45
16.2626,69,345000,69,3843.17,41.9837,-278.5752868652344,3966.19
