Running Env Steps,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss,Running Update Time,Running Reverse KL
0,129.05,240.63,0,435.1589,-752.643798828125,0,264.7195
5000,271.29,289.46,1,424.2406,-1846.1539306640625,1,376.274
10000,276.97,320.56,2,453.3768,629.1650390625,2,387.9798
15000,427.22,341.86,3,426.0652,-988.17822265625,3,258.9008
20000,366.84,421.88,4,412.4098,-1457.630859375,4,250.2749
25000,411.54,389.81,5,397.7002,-676.5343017578125,5,333.4404
30000,423.72,403.87,6,388.9559,-2151.218994140625,6,272.8595
35000,565.14,423.62,7,403.6921,-1799.0565185546875,7,253.0533
40000,579.9,487.03,8,392.5441,-1878.925537109375,8,270.2589
45000,511.41,507.26,9,387.3725,-1333.478271484375,9,305.6574
50000,546.72,506.41,10,388.0252,-1639.0115966796875,10,299.4566
55000,603.47,569.2,11,393.1672,-2248.026611328125,11,257.4546
60000,466.58,544.19,12,384.5186,-2594.269775390625,12,247.0533
65000,595.98,585.91,13,401.3476,-2901.387451171875,13,247.5591
70000,563.14,555.82,14,376.8957,-2853.7236328125,14,235.0518
75000,491.68,543.75,15,374.7217,-2985.83740234375,15,237.8276
80000,584.35,601.17,16,374.2064,-3357.127197265625,16,265.2256
85000,474.84,511.43,17,387.3567,-3691.77099609375,17,320.2107
90000,670.73,565.77,18,373.0974,-3428.4111328125,18,273.0822
95000,594.89,589.89,19,386.1679,-4404.6708984375,19,250.9247
100000,584.12,607.79,20,382.2019,-4301.76953125,20,227.764
105000,496.45,630.39,21,375.4617,-3994.028076171875,21,270.5284
110000,455.75,570.08,22,384.5099,-4405.03759765625,22,261.4618
115000,531.28,638.54,23,376.1111,-4679.1904296875,23,298.9487
120000,506.05,733.98,24,377.8033,-4966.36767578125,24,264.6139
125000,671.81,697.23,25,389.3462,-4901.27783203125,25,266.9719
130000,678.31,774.47,26,379.1838,-5140.39013671875,26,272.5404
135000,624.56,817.41,27,374.6423,-5473.6484375,27,279.3074
140000,665.38,908.44,28,382.9733,-5155.01171875,28,269.5388
145000,895.34,794.45,29,363.9258,-5545.40478515625,29,260.1508
150000,739.38,1117.0,30,360.52,-5466.20947265625,30,245.1419
155000,700.31,1298.24,31,345.0413,-5103.63037109375,31,233.363
160000,898.44,1378.81,32,371.9975,-5877.751953125,32,264.3504
165000,850.2,1392.37,33,365.8165,-5798.951171875,33,284.6641
170000,936.85,1770.89,34,385.4817,-6415.9345703125,34,256.8026
175000,1077.92,2039.54,35,326.639,-4746.40283203125,35,197.3892
180000,773.84,1302.81,36,337.902,-5541.7578125,36,226.0934
185000,2293.05,1670.85,37,338.4995,-6193.31005859375,37,213.115
190000,753.86,1375.81,38,333.3516,-5797.7451171875,38,255.4891
195000,1512.32,2153.27,39,323.9334,-5295.70751953125,39,165.9407
200000,3746.13,2084.48,40,331.4172,-5417.5234375,40,202.3734
205000,1510.87,2326.51,41,319.5125,-4965.7080078125,41,184.4922
210000,867.18,2222.31,42,327.8351,-5569.865234375,42,226.1549
215000,1172.23,3326.88,43,308.3665,-3818.311279296875,43,126.9416
220000,1233.55,3354.81,44,321.4078,-5648.99072265625,44,173.2491
225000,1849.33,2808.14,45,311.9381,-3846.51806640625,45,147.9071
230000,1773.2,3690.76,46,306.211,-3791.7265625,46,146.6589
235000,602.1,1900.93,47,323.0855,-5274.603515625,47,208.4527
240000,953.34,3299.6,48,301.9045,-2807.2119140625,48,115.0463
245000,606.75,2329.42,49,315.7912,-5014.71142578125,49,180.5402
250000,599.27,2876.14,50,319.4829,-5986.62548828125,50,234.7133
255000,660.01,2436.98,51,318.6506,-5620.5703125,51,193.4443
260000,591.83,1668.39,52,321.7799,-7069.7919921875,52,244.4607
265000,692.28,2775.96,53,326.2691,-7123.34375,53,228.5502
270000,1168.02,2449.68,54,323.0552,-6667.658203125,54,208.5794
275000,670.44,1768.11,55,351.0793,-8299.609375,55,304.9894
280000,666.6,2487.06,56,317.513,-6229.38525390625,56,189.7042
285000,999.21,3941.56,57,317.7948,-4665.99169921875,57,152.2825
290000,1111.24,4688.43,58,302.8808,-3592.73974609375,58,125.5372
295000,1132.62,4616.82,59,299.1515,-3785.173095703125,59,127.089
300000,753.26,3573.39,60,304.9554,-4535.0439453125,60,132.7872
305000,1363.36,4511.0,61,306.2301,-5083.2822265625,61,154.9981
310000,2317.0,4843.83,62,303.3948,-4626.0966796875,62,125.5874
315000,683.2,4532.21,63,323.3327,-6435.7744140625,63,185.5334
320000,783.06,4157.35,64,297.1888,-3718.343017578125,64,114.4924
325000,737.22,1885.39,65,306.5562,-6203.6083984375,65,188.9377
330000,1053.61,3190.68,66,307.4207,-6509.7216796875,66,167.6358
335000,3537.54,4861.78,67,300.2898,-3805.878662109375,67,122.9173
340000,1088.42,3621.29,68,309.0244,-5111.27197265625,68,129.1525
345000,1213.72,5001.56,69,296.8289,-3841.35986328125,69,110.4045
350000,3056.71,4745.7,70,298.0091,-3995.849853515625,70,107.4335
355000,4615.14,4706.55,71,305.1475,-4352.25830078125,71,112.8696
360000,1209.79,4563.2,72,306.5418,-4922.0849609375,72,123.2755
365000,1852.54,4354.67,73,304.2848,-6341.56787109375,73,148.7825
370000,1305.18,4213.74,74,304.2983,-5381.1025390625,74,131.9774
375000,5038.92,4997.4,75,304.9969,-4224.8427734375,75,105.3116
380000,4112.94,5135.97,76,299.438,-4755.88525390625,76,101.8228
385000,2368.43,4775.03,77,305.9168,-4963.72509765625,77,110.3374
390000,1524.26,3863.47,78,306.0174,-5868.560546875,78,128.5324
395000,1462.49,3791.77,79,315.7348,-7272.34912109375,79,174.4402
400000,4335.23,5123.39,80,304.962,-4860.29638671875,80,108.0453
405000,5274.66,4965.1,81,308.0487,-5206.45751953125,81,103.0734
410000,2918.23,4996.78,82,313.4327,-5636.021484375,82,112.5274
415000,5273.38,4827.04,83,313.0299,-6359.59228515625,83,128.1648
420000,3277.33,4884.04,84,302.0918,-5971.81591796875,84,117.4924
425000,3685.04,4811.03,85,298.6522,-5433.37060546875,85,96.9962
