Running Forward KL,Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Itration
32.0546,-313.2650146484375,0,391.93,0,365.28,34.8738,0
31.7535,-506.4185485839844,1,311.48,5000,315.72,61.7811,1
31.5572,-381.7691345214844,2,357.05,10000,341.2,35.9063,2
31.6538,-564.509521484375,3,230.66,15000,264.61,48.4296,3
30.0025,-356.558349609375,4,323.88,20000,353.16,29.14,4
30.1777,-700.3123779296875,5,341.75,25000,344.47,79.5288,5
29.3096,-639.7015991210938,6,630.22,30000,570.12,51.2888,6
30.102,-549.197998046875,7,418.92,35000,436.95,26.8378,7
29.5933,-532.6276245117188,8,450.56,40000,377.72,19.8398,8
27.5981,-429.409912109375,9,2176.1,45000,852.79,14.3405,9
26.5643,-408.62335205078125,10,253.62,50000,827.07,12.8318,10
28.5005,-407.87060546875,11,271.91,55000,887.38,14.2739,11
26.3942,-399.5572509765625,12,2921.66,60000,2226.26,14.9387,12
26.4248,-703.277587890625,13,1850.02,65000,1857.4,28.5537,13
25.2067,-348.46807861328125,14,2980.58,70000,2709.72,14.4164,14
25.1251,-539.07275390625,15,2883.9,75000,2136.39,19.819,15
24.9538,-531.7035522460938,16,2051.25,80000,1738.83,18.2315,16
24.3515,-523.3960571289062,17,2882.48,85000,2528.7,16.5942,17
24.7372,-475.96630859375,18,2824.87,90000,2773.99,16.456,18
24.9849,-562.574951171875,19,2322.9,95000,2000.4,16.9311,19
25.5168,-810.2109985351562,20,1859.75,100000,1870.09,22.826,20
24.399,-553.0839233398438,21,2399.42,105000,2545.71,18.1342,21
25.1475,-706.9688720703125,22,2441.56,110000,1775.93,15.0428,22
25.1299,-843.9839477539062,23,2262.17,115000,1578.53,22.5568,23
24.5409,-739.2184448242188,24,2171.24,120000,2063.89,19.3602,24
24.374,-648.3156127929688,25,2533.98,125000,2543.28,15.6528,25
24.2782,-738.5888671875,26,2402.89,130000,2358.93,22.7168,26
24.0957,-658.658203125,27,2885.6,135000,2705.43,17.1931,27
23.5178,-508.1538391113281,28,3117.69,140000,2776.39,14.4123,28
23.6153,-697.6093139648438,29,2948.97,145000,2474.81,19.0304,29
24.2937,-590.400390625,30,3090.17,150000,2897.38,14.9887,30
23.1291,-727.799560546875,31,2918.21,155000,2131.97,17.6579,31
23.7697,-612.5675659179688,32,3158.39,160000,2707.24,17.2814,32
23.0661,-677.4277954101562,33,3176.3,165000,2772.07,14.7499,33
23.0941,-658.2802734375,34,3135.6,170000,2809.26,15.6117,34
23.4661,-617.5521850585938,35,3071.62,175000,3039.96,15.2408,35
23.2645,-694.950927734375,36,3095.7,180000,3058.42,13.9735,36
23.4416,-710.3435668945312,37,3155.93,185000,3003.43,15.4398,37
23.6204,-663.7949829101562,38,3144.07,190000,2863.64,14.828,38
23.1937,-631.9039306640625,39,3198.51,195000,3019.11,15.1386,39
22.8947,-725.7156372070312,40,3123.4,200000,3017.24,14.1734,40
23.59,-751.3626708984375,41,3177.0,205000,2964.42,15.1627,41
23.7434,-1219.133056640625,42,2289.24,210000,1826.88,20.5508,42
24.0572,-741.5692138671875,43,3087.97,215000,2852.53,15.4285,43
23.7369,-872.4085693359375,44,2766.19,220000,2616.46,14.429,44
23.5992,-743.0870971679688,45,3154.06,225000,3122.48,15.2879,45
23.2749,-1018.311279296875,46,2130.4,230000,2000.03,15.4252,46
22.5182,-819.523681640625,47,3220.3,235000,3036.04,17.9268,47
23.0278,-790.0454711914062,48,3197.63,240000,2885.48,15.0075,48
23.3749,-840.5696411132812,49,3044.18,245000,3074.32,14.8883,49
23.4642,-811.1223754882812,50,3166.45,250000,3008.01,15.0971,50
23.309,-813.1146850585938,51,3137.88,255000,3159.65,15.6901,51
22.8877,-846.045654296875,52,3188.92,260000,3192.56,15.8159,52
23.2148,-893.1624145507812,53,3200.29,265000,2927.91,15.4102,53
22.9717,-876.3621215820312,54,3108.42,270000,3117.31,14.7615,54
22.1378,-800.8462524414062,55,3271.36,275000,3084.41,14.6892,55
21.7317,-845.500244140625,56,3184.89,280000,3183.95,14.1693,56
21.9043,-840.4148559570312,57,3259.86,285000,3201.66,14.8658,57
21.602,-874.1764526367188,58,3127.93,290000,3216.8,13.9752,58
21.8012,-892.2648315429688,59,3269.35,295000,3027.08,13.8192,59
20.9527,-769.00048828125,60,3181.93,300000,3239.37,13.3668,60
21.4167,-853.6840209960938,61,3302.41,305000,3195.97,14.3131,61
21.2446,-875.0335083007812,62,3077.19,310000,3121.71,14.1217,62
21.4854,-883.4443359375,63,3297.52,315000,3240.57,13.9922,63
21.1218,-781.3645629882812,64,3329.0,320000,3062.87,14.1499,64
21.2291,-973.4354858398438,65,2449.4,325000,2556.18,12.9183,65
20.3143,-767.9569702148438,66,3291.53,330000,3259.87,13.577,66
21.2072,-943.5802612304688,67,3282.96,335000,3165.9,13.4934,67
19.5184,-826.33935546875,68,3344.7,340000,3340.76,13.4879,68
20.672,-939.6541137695312,69,3239.71,345000,3290.25,13.138,69
20.7444,-854.2266235351562,70,3366.94,350000,2904.83,14.7168,70
20.401,-891.5863647460938,71,3355.65,355000,2964.25,13.3768,71
20.5086,-930.334716796875,72,3290.2,360000,3273.81,14.1455,72
20.3115,-822.66748046875,73,3414.5,365000,3384.5,14.3632,73
20.2257,-919.1229248046875,74,3399.94,370000,3316.91,14.0693,74
20.3061,-799.4514770507812,75,3386.15,375000,3363.09,14.6118,75
20.0305,-803.87158203125,76,3401.52,380000,3380.43,14.3854,76
19.8198,-848.7633666992188,77,3391.81,385000,3369.28,13.7449,77
19.9323,-811.3038940429688,78,3419.55,390000,3255.83,14.272,78
20.2045,-849.451904296875,79,3383.18,395000,3337.93,14.1452,79
19.4515,-841.9354858398438,80,3425.09,400000,3370.33,13.7342,80
19.7334,-864.6781005859375,81,3407.34,405000,3151.49,14.2435,81
19.9872,-826.1312255859375,82,3344.98,410000,3408.04,13.0468,82
19.803,-965.38818359375,83,3441.85,415000,3381.34,13.0727,83
19.3352,-882.73388671875,84,3467.77,420000,3409.58,13.2919,84
19.6012,-1072.8126220703125,85,3441.4,425000,3156.93,11.6098,85
19.4046,-917.896240234375,86,3448.71,430000,3379.49,12.7207,86
19.8104,-922.4561767578125,87,3474.13,435000,3436.54,14.1594,87
20.6959,-880.7192993164062,88,3465.68,440000,3299.68,15.0105,88
19.8148,-826.0565185546875,89,3443.09,445000,3418.89,13.9646,89
19.6543,-846.8934326171875,90,3485.26,450000,3362.92,12.5113,90
19.5923,-857.847900390625,91,3471.46,455000,3432.56,12.8386,91
19.6983,-882.2145385742188,92,3505.31,460000,3380.49,13.3399,92
19.51,-963.0799560546875,93,3444.81,465000,3308.99,12.2941,93
20.1739,-892.6573486328125,94,3431.56,470000,3418.79,13.8893,94
19.2864,-1002.9960327148438,95,3463.28,475000,3409.73,13.3029,95
19.527,-918.384521484375,96,3476.22,480000,3455.75,12.9473,96
19.033,-972.9014282226562,97,3487.97,485000,3230.24,11.8198,97
18.9675,-751.5589599609375,98,3519.5,490000,3493.33,13.0056,98
18.518,-776.8673706054688,99,3481.41,495000,3403.49,12.7915,99
18.4849,-899.669189453125,100,3525.02,500000,3455.91,12.5031,100
19.0323,-952.186279296875,101,3470.0,505000,3315.1,13.3763,101
18.4236,-873.224853515625,102,3527.64,510000,3458.52,12.4637,102
19.1021,-822.2022705078125,103,3447.97,515000,3436.3,13.1004,103
19.3433,-967.4659423828125,104,3549.74,520000,3317.91,11.5974,104
18.8665,-1048.40576171875,105,3515.46,525000,3385.77,13.1258,105
18.8558,-875.5927734375,106,3540.44,530000,3405.76,12.9364,106
18.8878,-990.3179931640625,107,3501.89,535000,3458.75,13.0453,107
18.319,-911.8253173828125,108,3525.15,540000,3388.41,12.3065,108
18.3617,-854.5734252929688,109,3562.21,545000,3488.02,12.4891,109
18.6554,-837.3330078125,110,3547.9,550000,3485.2,12.9074,110
17.9592,-918.3404541015625,111,3565.97,555000,3398.51,12.111,111
18.5055,-962.1222534179688,112,3524.97,560000,3310.46,12.3716,112
18.8457,-1104.3948974609375,113,3491.84,565000,3282.58,12.098,113
18.9569,-933.7847290039062,114,3559.18,570000,3488.4,11.5988,114
18.8491,-1013.3812866210938,115,3535.26,575000,3486.95,13.3469,115
18.6823,-976.2164916992188,116,3544.64,580000,3416.39,12.1777,116
18.6963,-991.4354858398438,117,3491.44,585000,3479.07,13.2516,117
18.5862,-1131.2921142578125,118,3494.58,590000,3283.72,12.4737,118
18.8718,-1108.0438232421875,119,3469.79,595000,3457.48,13.0982,119
18.588,-1019.70849609375,120,3580.19,600000,3394.15,12.7125,120
18.1925,-1119.2652587890625,121,3490.83,605000,3405.21,12.1493,121
18.2724,-1067.013671875,122,3475.38,610000,3389.32,11.9653,122
18.6091,-1001.0596313476562,123,3548.28,615000,3356.22,12.1334,123
18.46,-1032.8594970703125,124,3520.34,620000,3457.72,11.8446,124
18.3357,-1089.8914794921875,125,3563.35,625000,3525.32,12.6043,125
18.6199,-1160.2249755859375,126,3444.27,630000,3455.15,12.9285,126
18.1168,-1150.6064453125,127,3507.72,635000,3450.49,12.7157,127
17.9593,-996.3629150390625,128,3483.1,640000,3471.39,12.1864,128
18.1913,-1089.054443359375,129,3512.03,645000,3411.87,12.7581,129
18.0729,-1075.6656494140625,130,3535.9,650000,3496.49,12.4941,130
17.6332,-1080.1243896484375,131,3479.98,655000,3468.76,12.2224,131
18.1207,-1079.628662109375,132,3506.65,660000,3465.9,12.7706,132
18.3686,-1121.0989990234375,133,3531.92,665000,3489.5,12.8425,133
18.5581,-1236.79638671875,134,3515.1,670000,3475.28,12.8713,134
18.0718,-984.984130859375,135,3543.74,675000,3488.81,12.2111,135
17.1406,-1013.9898071289062,136,3512.88,680000,3426.91,11.8677,136
17.9956,-1161.5743408203125,137,3527.23,685000,3461.88,12.3366,137
18.2132,-1070.0966796875,138,3531.79,690000,2943.04,12.3475,138
18.462,-1180.181640625,139,3510.69,695000,3472.12,13.1382,139
18.1327,-1113.2120361328125,140,3551.15,700000,3505.16,12.6724,140
17.7051,-1267.00537109375,141,3475.38,705000,3443.69,12.381,141
17.472,-1080.7274169921875,142,3505.96,710000,3408.43,12.384,142
18.6153,-1121.8538818359375,143,3497.05,715000,3496.31,13.1197,143
18.6397,-1135.9610595703125,144,3561.35,720000,3331.95,12.6199,144
17.5669,-1294.7012939453125,145,3506.92,725000,3465.02,12.4667,145
17.7203,-1169.5693359375,146,3522.6,730000,3477.1,12.9003,146
17.9759,-1248.873779296875,147,3541.72,735000,3512.7,13.3009,147
18.3872,-1315.352294921875,148,3512.29,740000,3487.54,13.2543,148
18.0462,-1379.512939453125,149,3477.95,745000,3432.32,12.2488,149
18.1673,-1181.1304931640625,150,3561.8,750000,3455.53,12.279,150
17.56,-1355.43115234375,151,3462.07,755000,3448.44,11.777,151
17.9278,-1151.0101318359375,152,3500.2,760000,3488.48,13.057,152
17.859,-1407.7529296875,153,3487.66,765000,3441.44,12.2852,153
