Real Sto Return,Itration,Running Env Steps,Running Forward KL,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time
213.78,0,0,455.7763,256.4033,-25769.87109375,127.78,0
303.75,1,5000,459.9581,257.9763,-24720.447265625,295.07,1
404.46,2,10000,403.0788,265.8364,-27978.802734375,464.98,2
396.28,3,15000,407.3511,260.6206,-27141.283203125,357.94,3
419.24,4,20000,398.9459,260.1838,-28405.3359375,464.85,4
345.16,5,25000,400.8343,244.6611,-29534.0703125,428.59,5
410.95,6,30000,419.6258,253.2088,-28660.8984375,506.15,6
464.9,7,35000,405.8078,297.9762,-30477.099609375,387.74,7
428.66,8,40000,389.0961,249.5723,-30169.275390625,495.25,8
462.84,9,45000,414.2416,253.8032,-32931.92578125,592.14,9
468.1,10,50000,403.9395,264.4568,-34199.69140625,486.08,10
533.09,11,55000,376.1772,270.7525,-33804.09765625,573.81,11
541.54,12,60000,373.2343,257.0098,-36779.73828125,642.72,12
554.24,13,65000,379.4507,289.0676,-37832.2734375,593.92,13
609.54,14,70000,368.1049,266.3722,-37255.09375,573.46,14
553.7,15,75000,374.7349,286.0019,-37760.9453125,626.16,15
515.89,16,80000,378.9905,267.1799,-41353.76171875,611.17,16
596.07,17,85000,362.3917,270.4559,-42031.18359375,711.96,17
672.03,18,90000,377.8708,269.6623,-42096.71875,739.76,18
564.02,19,95000,384.1851,288.9205,-45343.734375,616.41,19
620.12,20,100000,380.3663,260.1605,-44420.94140625,587.86,20
602.69,21,105000,375.0672,253.2774,-44751.84375,614.09,21
626.05,22,110000,390.7848,267.988,-47856.6953125,672.48,22
790.37,23,115000,374.8613,267.436,-48202.77734375,615.81,23
658.39,24,120000,371.4901,271.8859,-48882.51953125,696.35,24
679.22,25,125000,370.1011,266.943,-50878.75390625,613.76,25
774.03,26,130000,361.5247,230.837,-48089.82421875,669.07,26
849.2,27,135000,359.4607,228.0078,-49284.796875,655.03,27
912.13,28,140000,365.5579,245.0006,-50815.3828125,714.34,28
826.88,29,145000,351.8207,267.2002,-51149.05078125,681.37,29
755.95,30,150000,360.3676,226.1815,-49807.7421875,768.73,30
940.23,31,155000,369.08,258.9521,-53653.61328125,738.26,31
861.25,32,160000,360.948,262.0365,-52292.328125,746.93,32
1099.32,33,165000,347.6841,226.0681,-50253.4296875,1062.69,33
998.78,34,170000,347.0986,231.9614,-49802.53125,756.88,34
826.83,35,175000,364.0983,228.44,-51396.29296875,526.69,35
1187.71,36,180000,345.4008,231.2445,-51840.07421875,686.22,36
1265.12,37,185000,341.3036,208.2856,-48989.19921875,1014.13,37
1254.77,38,190000,342.2215,212.1253,-47106.12109375,879.9,38
1264.45,39,195000,340.4171,242.3899,-54009.28125,1469.72,39
990.82,40,200000,354.4478,256.0675,-55296.296875,795.7,40
1591.24,41,205000,326.5996,200.5704,-46442.61328125,1219.01,41
1775.28,42,210000,333.7554,231.3994,-54697.79296875,1287.87,42
1192.46,43,215000,343.6773,225.7762,-54495.51171875,852.0,43
1756.86,44,220000,320.7611,180.6336,-44924.3984375,1611.79,44
1398.64,45,225000,334.1352,216.9161,-52305.3515625,2381.42,45
2074.95,46,230000,311.1261,161.0067,-41171.140625,2062.18,46
2933.12,47,235000,315.7436,173.1665,-43621.4765625,3684.52,47
2421.09,48,240000,303.4824,159.9247,-37453.87890625,3169.24,48
2856.43,49,245000,300.6599,118.7598,-26367.033203125,2170.86,49
3791.68,50,250000,301.2183,136.3273,-34258.69140625,2539.29,50
2909.08,51,255000,298.6854,154.0682,-37892.35546875,1474.48,51
3922.61,52,260000,304.9436,151.3023,-37607.20703125,2002.79,52
2917.36,53,265000,302.7263,160.9286,-37318.0078125,1443.42,53
3255.79,54,270000,312.5502,153.483,-37837.76171875,2170.17,54
4635.26,55,275000,311.7097,191.6377,-42348.9140625,1384.02,55
3179.27,56,280000,318.3448,181.3494,-41423.828125,2076.08,56
4195.58,57,285000,295.8389,121.4138,-25016.8515625,2297.12,57
3234.12,58,290000,304.5429,151.148,-32345.72265625,3329.88,58
3716.57,59,295000,308.9545,137.8494,-25514.521484375,3693.41,59
3314.63,60,300000,302.5565,142.8478,-28561.515625,2512.21,60
