Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Itration,Running Env Steps,Running Update Time,Reward Loss
33.5487,200.06,196.17,27.4384,0,0,0,76.16126251220703
32.969,235.04,229.75,34.3244,1,5000,1,63.196258544921875
32.6403,227.09,226.66,26.2231,2,10000,2,48.695884704589844
32.2188,247.74,241.94,25.3227,3,15000,3,31.27875518798828
31.9659,285.89,280.38,29.5212,4,20000,4,21.20146942138672
30.1725,356.31,354.29,26.2455,5,25000,5,5.516409873962402
29.1723,399.72,414.27,24.5874,6,30000,6,-2.6240200996398926
29.6872,357.8,347.85,33.322,7,35000,7,-18.015689849853516
29.2617,397.16,388.12,24.1741,8,40000,8,-28.837703704833984
29.1478,391.07,386.57,20.7266,9,45000,9,-28.50411033630371
27.6837,592.68,525.28,20.6098,10,50000,10,-35.13727951049805
26.4397,698.25,677.5,20.8147,11,55000,11,-39.79804229736328
27.2486,590.5,627.98,20.585,12,60000,12,-41.3361930847168
26.8591,711.45,644.81,17.2837,13,65000,13,-26.82880973815918
27.9048,719.03,696.22,20.9892,14,70000,14,-69.32672119140625
26.8644,886.86,971.82,20.1661,15,75000,15,-67.119140625
26.1911,870.7,1005.13,26.4907,16,80000,16,-82.01593780517578
25.5049,2844.87,2202.7,16.84,17,85000,17,-61.29337692260742
25.2257,2134.61,2753.3,15.9262,18,90000,18,-30.403688430786133
25.6099,2460.01,2726.3,16.821,19,95000,19,-48.85423278808594
25.3191,2637.06,2550.85,15.9595,20,100000,20,-55.34499740600586
25.5092,2745.02,2523.53,14.6919,21,105000,21,-54.731117248535156
25.1328,3020.05,2886.95,15.5224,22,110000,22,-55.864990234375
25.7479,2384.66,2369.61,18.4353,23,115000,23,-88.62806701660156
25.6095,2028.72,1626.98,29.8221,24,120000,24,-87.2347183227539
24.8502,1008.93,2225.61,17.0184,25,125000,25,-91.93167114257812
24.8118,3024.81,2451.73,17.975,26,130000,26,-89.73033905029297
24.8185,2819.31,1879.09,18.6116,27,135000,27,-130.0023651123047
24.8899,2996.59,1923.6,24.002,28,140000,28,-158.92178344726562
24.658,3191.6,3090.68,16.8739,29,145000,29,-72.70317077636719
24.463,1119.64,1744.42,18.9927,30,150000,30,-134.7563018798828
24.0112,3070.47,1988.6,16.1198,31,155000,31,-89.61549377441406
24.4931,2833.76,2789.93,21.9841,32,160000,32,-115.07098388671875
24.1729,2888.03,2695.1,15.3104,33,165000,33,-77.454345703125
24.0407,3258.69,3169.13,16.1295,34,170000,34,-95.81293487548828
23.7833,3050.71,2360.36,15.6491,35,175000,35,-108.30970001220703
23.4229,3230.11,3129.97,15.3617,36,180000,36,-73.751953125
23.61,3244.02,2484.22,16.4286,37,185000,37,-144.92361450195312
24.1907,3273.0,3031.0,20.4311,38,190000,38,-85.81211853027344
23.265,3322.74,2375.6,18.6004,39,195000,39,-119.32577514648438
23.2737,3300.82,2278.62,16.135,40,200000,40,-134.20811462402344
23.5589,3333.69,3095.51,16.0662,41,205000,41,-83.34952545166016
22.8669,3326.33,3209.86,15.9676,42,210000,42,-69.6466293334961
22.682,3340.42,2947.11,15.0824,43,215000,43,-121.45181274414062
22.6149,3296.68,3186.35,14.8742,44,220000,44,-104.84278106689453
22.6742,3280.52,3279.58,15.6645,45,225000,45,-73.8699722290039
23.125,3302.34,2886.62,15.5184,46,230000,46,-103.28337860107422
23.3784,3339.32,3342.94,15.185,47,235000,47,-117.38917541503906
23.3438,3317.9,2456.85,16.1796,48,240000,48,-183.2180633544922
22.4573,3379.27,3122.05,14.831,49,245000,49,-125.25159454345703
22.9516,3339.64,3121.96,14.969,50,250000,50,-97.84090423583984
23.3248,3342.35,3214.54,15.7286,51,255000,51,-91.39576721191406
21.7086,3352.75,3343.86,14.5123,52,260000,52,-89.32173156738281
22.7268,3376.63,3361.52,16.6075,53,265000,53,-76.73078918457031
23.5303,3367.16,3208.69,16.2071,54,270000,54,-101.93708801269531
22.3419,3439.21,3236.55,15.2225,55,275000,55,-123.67603302001953
22.7128,2153.56,1302.93,14.1413,56,280000,56,-156.11082458496094
22.307,3414.33,3409.69,15.7044,57,285000,57,-104.52506256103516
22.3895,3414.92,3404.28,16.6477,58,290000,58,-86.44342041015625
