Real Det Return,Reward Loss,Itration,Running Env Steps,Running Update Time,Real Sto Return,Running Reverse KL,Running Forward KL
184.9,384.9833984375,0,0,0,255.73,19.0677,30.4722
271.37,429.16058349609375,1,5000,1,270.8,19.6361,31.1923
194.78,511.3982849121094,2,10000,2,304.2,27.9516,30.4762
156.45,420.33843994140625,3,15000,3,254.42,28.8019,29.9749
309.33,273.2211608886719,4,20000,4,308.63,23.7658,30.5998
11.59,-10.964948654174805,5,25000,5,135.4,164.3363,31.52
336.5,57.44156265258789,6,30000,6,334.59,26.1229,31.4057
395.51,2.742319345474243,7,35000,7,388.18,30.7404,29.5092
292.83,199.07752990722656,8,40000,8,471.54,39.262,26.5611
639.08,-18.134719848632812,9,45000,9,658.07,27.7258,27.9942
960.58,-95.01936340332031,10,50000,10,900.89,27.7431,35.1933
989.86,-193.76885986328125,11,55000,11,989.65,44.366,38.0588
1030.24,-247.5566864013672,12,60000,12,1031.42,32.2787,34.6392
510.3,-46.02975082397461,13,65000,13,514.45,16.2909,28.8676
1048.09,-299.88543701171875,14,70000,14,990.28,21.1555,30.7139
476.03,64.88690185546875,15,75000,15,463.52,16.269,29.2686
1697.52,-217.16575622558594,16,80000,16,1035.22,15.3501,25.3985
1045.89,-309.7714538574219,17,85000,17,1078.86,19.7439,30.474
553.2,39.317623138427734,18,90000,18,649.06,13.1524,27.2809
1043.75,-386.4491271972656,19,95000,19,1098.96,20.0891,28.1725
1050.31,-555.3848266601562,20,100000,20,1042.75,20.2801,29.4998
1056.31,-640.6854248046875,21,105000,21,1073.27,21.5303,33.1423
357.53,-682.3245239257812,22,110000,22,624.32,23.6256,32.2597
232.75,-623.9249267578125,23,115000,23,230.7,18.1105,34.9744
584.11,-777.8491821289062,24,120000,24,632.27,24.6655,33.5584
1138.91,-705.7326049804688,25,125000,25,805.33,18.6346,27.7872
824.72,-103.9794692993164,26,130000,26,815.38,14.2927,28.248
1498.89,-589.670654296875,27,135000,27,1436.22,15.6934,30.4875
614.9,-778.2681884765625,28,140000,28,741.21,19.796,28.1658
1409.58,-742.7672119140625,29,145000,29,1206.54,21.1342,27.8858
1628.71,-658.4183349609375,30,150000,30,1422.61,17.362,27.7321
1103.78,-417.001708984375,31,155000,31,1114.14,14.6114,26.1246
1006.35,-937.3607788085938,32,160000,32,879.67,23.9209,26.7391
854.11,-974.821533203125,33,165000,33,890.55,24.691,27.2724
879.81,-977.2117309570312,34,170000,34,1016.32,25.7202,27.3998
787.77,-834.9805908203125,35,175000,35,904.88,21.9834,27.4347
2011.27,-864.585205078125,36,180000,36,1388.77,21.0627,26.0745
2214.75,-636.3814697265625,37,185000,37,1785.64,15.1972,26.3796
1771.04,-832.4269409179688,38,190000,38,1821.48,14.9627,28.7586
973.83,-1432.864501953125,39,195000,39,972.18,48.4634,37.3624
1013.47,-1409.4755859375,40,200000,40,1015.98,27.445,36.2142
1025.83,-1415.8173828125,41,205000,41,1027.96,25.5353,35.9592
1034.51,-1435.7322998046875,42,210000,42,1038.67,28.662,35.9632
202.97,-1355.6124267578125,43,215000,43,253.57,19.4872,31.6251
991.16,-1661.4439697265625,44,220000,44,989.86,35.7072,38.3138
1032.01,-1629.364013671875,45,225000,45,1036.79,23.0791,38.2056
1039.75,-1697.070068359375,46,230000,46,1043.81,23.5944,36.8604
289.07,-890.1416625976562,47,235000,47,661.94,28.8631,29.9442
799.34,-1187.527099609375,48,240000,48,1046.07,18.0696,27.6529
1003.68,-1436.754150390625,49,245000,49,1425.85,18.2726,29.4079
1829.85,-1074.7877197265625,50,250000,50,1635.93,16.8909,29.1889
595.22,-1729.5888671875,51,255000,51,797.1,28.5117,28.8387
614.35,-1983.33203125,52,260000,52,660.49,27.2504,30.1979
1050.68,-2074.13720703125,53,265000,53,944.06,25.0524,31.7961
1138.68,-1407.216796875,54,270000,54,1006.89,45.3937,26.8738
675.02,-1801.5787353515625,55,275000,55,672.46,24.0282,28.4913
963.52,-1682.3572998046875,56,280000,56,903.97,19.6149,28.3062
1034.15,-2295.97412109375,57,285000,57,1031.15,23.4415,36.1954
995.94,-2385.22607421875,58,290000,58,990.58,38.7417,37.5261
993.14,-2426.123046875,59,295000,59,992.72,36.0173,37.892
185.62,-2391.3125,60,300000,60,196.74,92.1437,31.9476
707.13,-1512.9683837890625,61,305000,61,1513.89,16.0729,30.28
1742.52,-1202.6763916015625,62,310000,62,1616.36,16.305,30.7662
1017.09,-2710.284912109375,63,315000,63,1016.24,46.2868,38.9412
1960.16,-838.561279296875,64,320000,64,1566.15,17.517,29.5229
1064.28,-2630.014892578125,65,325000,65,741.32,30.2593,32.0877
1013.08,-2783.3193359375,66,330000,66,1012.54,27.1059,38.0002
1057.41,-2806.58984375,67,335000,67,1063.52,21.7718,35.7608
2243.31,-1315.571533203125,68,340000,68,1411.11,15.864,26.2242
777.22,-2254.79833984375,69,345000,69,914.3,24.6401,27.6264
1050.37,-2921.06005859375,70,350000,70,1054.08,20.9203,34.4098
1015.07,-1903.511474609375,71,355000,71,1598.53,17.5459,25.9564
1976.15,-1563.2957763671875,72,360000,72,1343.92,24.2505,27.2468
827.53,-2004.2908935546875,73,365000,73,879.41,16.2732,26.156
853.52,-2269.27001953125,74,370000,74,854.02,20.0058,25.3546
1214.58,-1908.3758544921875,75,375000,75,829.16,16.3508,28.381
1780.99,-1349.338623046875,76,380000,76,1908.28,14.7278,28.2323
319.15,-3283.22119140625,77,385000,77,303.84,34.5577,33.969
528.6,-1664.95361328125,78,390000,78,1006.52,19.5207,27.4881
700.84,-2500.2744140625,79,395000,79,669.99,33.875,27.4975
2097.37,-1207.304931640625,80,400000,80,1854.68,13.2035,24.7178
2266.24,-793.7734375,81,405000,81,2280.07,15.2767,27.526
2404.27,-858.44775390625,82,410000,82,2394.23,15.7804,26.0411
2253.89,-617.5459594726562,83,415000,83,2320.04,15.9328,27.2165
2506.48,-879.1874389648438,84,420000,84,2437.65,15.0611,26.9697
2524.77,-923.1583862304688,85,425000,85,2425.22,11.7574,23.9797
2572.81,-779.922607421875,86,430000,86,2135.11,14.898,25.5071
2206.47,-1219.06640625,87,435000,87,2271.81,13.1044,27.0295
2150.6,-1447.5726318359375,88,440000,88,2126.78,12.7322,26.3615
2271.84,-1195.662841796875,89,445000,89,2213.48,15.2779,25.4773
2137.55,-1153.85400390625,90,450000,90,2049.71,13.307,26.7298
2468.09,-455.7093200683594,91,455000,91,2464.43,14.2356,26.0973
2432.41,-882.5520629882812,92,460000,92,2440.85,14.8386,26.4093
1966.02,-1784.9337158203125,93,465000,93,2034.07,13.8423,28.6486
2334.19,-1169.35400390625,94,470000,94,2311.92,16.273,25.7644
2498.3,-1323.6456298828125,95,475000,95,2285.85,11.2119,24.9666
1069.65,-1618.4080810546875,96,480000,96,1596.34,12.5922,25.2887
2300.25,-1078.8271484375,97,485000,97,2269.07,13.8945,26.718
2397.2,-912.7779541015625,98,490000,98,2439.82,13.6437,25.83
2430.1,-867.5117797851562,99,495000,99,2444.35,14.1691,26.8629
2540.25,-971.0819091796875,100,500000,100,2545.84,14.5876,26.1374
2518.2,-1033.9429931640625,101,505000,101,2538.09,14.5149,24.9285
2916.98,-939.0344848632812,102,510000,102,2737.98,13.6235,23.4852
