Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Reward Loss,Real Det Return
0,0,13.4981,310.14,0,49.5401,-355.2361755371094,338.83
1,5000,13.8036,358.41,1,50.1393,-710.7691040039062,403.83
2,10000,15.7427,322.82,2,49.8698,-442.59100341796875,347.45
3,15000,13.71,309.1,3,49.338,-581.965576171875,375.95
4,20000,13.8431,395.28,4,48.8516,-646.6358642578125,416.79
5,25000,15.2183,482.58,5,49.6465,-1290.082275390625,372.99
6,30000,12.3685,357.55,6,49.4662,-1099.5845947265625,335.96
7,35000,13.4077,404.07,7,49.0539,-1236.5474853515625,426.21
8,40000,13.3827,411.25,8,48.8555,-1307.572509765625,454.45
9,45000,13.1496,452.01,9,48.4274,-1444.6219482421875,479.06
10,50000,12.7398,470.22,10,48.4519,-1520.1346435546875,555.95
11,55000,15.0539,411.94,11,48.9034,-1589.2208251953125,435.31
12,60000,13.1033,452.61,12,47.829,-1660.8536376953125,494.76
13,65000,15.8766,420.93,13,49.188,-1672.602783203125,435.85
14,70000,13.0344,440.23,14,48.5802,-1833.8760986328125,467.09
15,75000,14.2781,412.88,15,48.3949,-2007.5478515625,409.68
16,80000,14.4688,420.13,16,48.559,-2040.9755859375,386.16
17,85000,12.9326,471.49,17,48.5079,-1827.3017578125,660.45
18,90000,13.0797,464.41,18,48.0675,-1833.021240234375,440.35
19,95000,14.0937,483.61,19,48.2062,-2149.424560546875,508.81
20,100000,11.8412,1037.43,20,46.6303,-1855.2340087890625,1809.2
21,105000,12.9717,1347.78,21,46.7622,-1788.9688720703125,2286.14
22,110000,16.537,798.96,22,46.9404,-2277.7880859375,1737.24
23,115000,21.2108,585.06,23,47.0362,-1996.8427734375,807.48
24,120000,14.6794,2229.46,24,46.1766,-1388.018798828125,2519.23
25,125000,14.7575,2617.68,25,44.4837,-1124.2705078125,2833.0
26,130000,16.4433,2764.63,26,44.1806,-1067.5242919921875,2669.05
27,135000,15.8284,2607.84,27,45.3364,-899.0853271484375,2872.81
28,140000,15.5257,2986.75,28,44.6433,-944.415771484375,3125.17
29,145000,15.8864,2577.92,29,43.6657,-1422.51611328125,2928.45
30,150000,16.8111,2236.66,30,44.4295,-1754.45166015625,795.28
31,155000,17.1556,2783.6,31,44.3794,-961.8199462890625,3368.86
32,160000,16.561,3321.97,32,43.5232,-1174.840087890625,3500.87
33,165000,16.4916,3303.25,33,43.7927,-1244.6422119140625,3300.97
34,170000,19.2108,3790.46,34,42.8072,-909.269287109375,3797.19
35,175000,19.5606,3661.73,35,44.0309,-958.82080078125,3528.12
36,180000,20.6139,3803.51,36,43.3469,-988.3026733398438,3800.0
37,185000,18.5533,3782.33,37,43.3614,-1039.7159423828125,3776.71
38,190000,20.2487,3426.79,38,42.8752,-1050.2230224609375,4070.02
39,195000,22.9981,4038.4,39,43.4593,-1052.8565673828125,3993.5
40,200000,19.4596,3991.96,40,42.763,-1166.857177734375,4015.14
41,205000,16.9557,2911.86,41,43.324,-1745.708251953125,3781.15
42,210000,18.8232,3791.84,42,43.1226,-1590.593505859375,3178.19
43,215000,19.5384,3841.22,43,42.8395,-1339.6236572265625,3261.55
44,220000,21.2131,4055.52,44,42.8558,-1268.7442626953125,3880.94
45,225000,22.0009,4106.71,45,43.1061,-1334.2889404296875,3662.45
46,230000,21.9951,4015.19,46,42.87,-1370.901611328125,4317.98
47,235000,20.082,4227.87,47,43.1104,-1448.9569091796875,4329.1
48,240000,21.0401,3904.7,48,42.8511,-1424.1561279296875,4225.7
49,245000,19.0134,4237.17,49,42.2603,-1690.9466552734375,4297.89
50,250000,21.4824,4014.71,50,43.2031,-1458.78515625,4056.28
51,255000,21.8898,4073.81,51,43.3093,-1578.3795166015625,3823.51
52,260000,19.1522,4162.01,52,41.8893,-1799.449951171875,4344.48
53,265000,19.5986,3890.25,53,43.2952,-1855.2259521484375,4270.39
54,270000,18.9415,3497.32,54,43.4757,-1935.6002197265625,4290.02
55,275000,19.0995,4114.4,55,42.6918,-1851.0189208984375,4326.58
56,280000,20.9517,4332.93,56,42.4177,-1601.2886962890625,4555.77
57,285000,19.6593,4118.91,57,41.7975,-1804.7486572265625,4260.78
58,290000,19.7141,3963.19,58,42.2075,-1802.822265625,4310.3
59,295000,20.6748,4324.2,59,41.3434,-1710.3741455078125,4461.79
60,300000,19.2771,4268.49,60,42.2632,-1932.2030029296875,4348.65
61,305000,20.6825,4266.93,61,42.6431,-1879.2919921875,4368.39
62,310000,21.8225,4374.73,62,41.6442,-1781.5836181640625,4618.14
63,315000,20.2193,4341.59,63,41.3066,-1821.473876953125,4506.43
64,320000,21.0733,4375.63,64,41.8658,-1939.3741455078125,4465.12
65,325000,19.589,4382.61,65,40.9453,-2051.409912109375,4385.5
66,330000,19.7014,4438.62,66,40.9033,-1863.1368408203125,4537.62
67,335000,18.8206,4316.62,67,39.8027,-1812.874267578125,4545.41
68,340000,21.156,4305.88,68,42.1059,-2051.062744140625,4400.09
69,345000,20.0072,4431.06,69,40.7892,-1892.1944580078125,4548.66
70,350000,18.045,4148.76,70,40.6662,-2021.7877197265625,4526.24
71,355000,18.9356,4457.18,71,41.258,-1997.4033203125,4559.12
72,360000,21.5085,4463.82,72,41.3074,-2157.751220703125,4494.39
73,365000,20.2985,4385.38,73,41.6815,-2307.389404296875,4407.67
74,370000,21.0232,4389.23,74,41.5217,-2056.109130859375,4474.31
75,375000,20.2841,4259.62,75,42.3184,-2200.51123046875,4333.25
76,380000,19.023,4392.2,76,40.6693,-2182.361328125,4528.88
77,385000,20.1391,4372.55,77,41.3177,-2238.021728515625,4460.35
78,390000,17.8854,4390.08,78,40.6397,-2233.318115234375,4451.13
79,395000,20.2237,4428.08,79,41.127,-2321.731689453125,4477.32
80,400000,19.811,4382.68,80,42.5296,-2433.496337890625,4380.21
81,405000,18.199,4433.83,81,40.5343,-2309.5283203125,4502.13
82,410000,18.7312,4519.69,82,40.9001,-2271.614501953125,4503.11
83,415000,20.6782,4348.98,83,42.694,-2545.990478515625,4343.55
84,420000,18.4344,4016.49,84,41.6491,-2520.03076171875,4401.94
85,425000,19.7537,4466.49,85,41.512,-2537.110595703125,4450.91
86,430000,19.4112,4430.58,86,40.2558,-2361.15869140625,4414.27
87,435000,17.8204,4489.76,87,40.3114,-2471.0703125,4628.84
88,440000,19.9215,4363.17,88,42.2409,-2565.77734375,4432.66
89,445000,18.1481,4519.92,89,40.8004,-2472.83642578125,4589.0
90,450000,18.5972,4353.68,90,41.1822,-2723.884765625,4349.29
91,455000,18.0361,4598.98,91,40.5463,-2533.00537109375,4678.07
92,460000,18.5245,4558.19,92,40.9025,-2710.811767578125,4564.25
93,465000,17.9319,4513.0,93,40.4261,-2685.193115234375,4612.64
94,470000,16.8437,4559.59,94,39.6788,-2602.388916015625,4622.08
95,475000,17.6854,4558.97,95,39.2293,-2617.78369140625,4647.87
96,480000,17.8303,4527.76,96,39.0447,-2661.935791015625,4612.76
97,485000,17.5448,4505.18,97,40.6695,-2898.6787109375,4642.57
98,490000,18.6288,4650.56,98,40.0679,-2800.2822265625,4807.83
99,495000,16.7086,4511.54,99,40.0447,-2924.291259765625,4729.1
100,500000,17.7573,4580.79,100,39.4772,-2750.097412109375,4691.08
101,505000,18.232,4527.44,101,39.9239,-2905.62548828125,4625.95
102,510000,17.8898,4690.73,102,39.6783,-2819.287109375,4815.74
103,515000,19.0774,4569.84,103,39.9855,-2924.59326171875,4627.94
104,520000,17.5782,4447.02,104,40.643,-2864.722900390625,4554.01
105,525000,17.0522,4625.3,105,39.5516,-2975.81005859375,4782.08
106,530000,16.5852,4378.22,106,40.0648,-3038.5537109375,4641.2
107,535000,17.6519,4563.54,107,40.2396,-3203.052490234375,4791.79
108,540000,18.432,4524.59,108,41.4134,-3401.24951171875,4718.77
109,545000,16.092,4581.03,109,39.1986,-3036.071044921875,4675.08
110,550000,16.0407,4532.77,110,39.0307,-2977.12890625,4640.37
