Running Forward KL,Running Update Time,Running Env Steps,Real Det Return,Reward Loss,Running Reverse KL,Itration,Real Sto Return
49.8697,0,0,286.94,-141.14889526367188,13.3353,0,359.52
49.0376,1,5000,355.0,-158.13348388671875,26.6485,1,292.13
50.0179,2,10000,511.54,-225.15017700195312,18.7261,2,389.53
49.4014,3,15000,788.81,-214.44622802734375,11.9206,3,493.19
49.5708,4,20000,328.79,-264.6494140625,12.5616,4,289.09
49.1948,5,25000,366.11,-111.68557739257812,30.072,5,349.4
49.6947,6,30000,478.94,-88.27670288085938,39.2197,6,400.71
48.5245,7,35000,465.71,-178.199462890625,17.9151,7,484.3
50.0383,8,40000,432.44,-97.89612579345703,26.4304,8,409.16
48.0045,9,45000,517.69,-136.77076721191406,21.0057,9,522.2
48.9433,10,50000,746.62,-93.3866958618164,27.0977,10,499.53
48.5158,11,55000,539.21,-196.73768615722656,19.1928,11,527.78
47.0918,12,60000,642.68,-225.64816284179688,21.5709,12,567.3
48.4072,13,65000,1908.39,-270.813720703125,13.2352,13,697.75
49.8999,14,70000,419.04,-408.57958984375,17.0215,14,411.88
49.624,15,75000,401.71,-194.54190063476562,19.0593,15,385.12
49.129,16,80000,635.6,-264.74237060546875,16.2882,16,575.44
50.6645,17,85000,1008.39,-243.88833618164062,16.4972,17,872.58
53.0528,18,90000,1000.92,-126.37883758544922,24.0939,18,996.13
53.6317,19,95000,-46.72,-289.19134521484375,26.9228,19,-33.99
52.9849,20,100000,1016.58,-178.93887329101562,19.4848,20,1020.1
52.4289,21,105000,1027.03,-103.65476989746094,23.1007,21,1018.52
49.4105,22,110000,430.91,-197.71099853515625,18.7652,22,437.28
52.7906,23,115000,1020.8,-111.31084442138672,22.9975,23,1039.93
52.9911,24,120000,1028.12,-128.2130126953125,22.2112,24,1063.08
49.3367,25,125000,1039.27,-125.8034439086914,20.8444,25,896.08
53.8994,26,130000,999.61,-157.45396423339844,27.0461,26,915.01
51.994,27,135000,986.47,-308.25982666015625,29.8096,27,484.83
50.1056,28,140000,321.15,-304.3600769042969,30.4284,28,235.34
55.2045,29,145000,919.46,-153.8218536376953,45.1175,29,928.86
50.1157,30,150000,1166.22,-298.50469970703125,22.8554,30,695.49
55.1843,31,155000,455.13,-211.19821166992188,47.0531,31,537.97
51.7967,32,160000,1016.85,-187.81100463867188,23.826,32,1040.3
53.0709,33,165000,1005.67,-202.65367126464844,22.537,33,1003.63
52.6893,34,170000,1026.94,-245.5516815185547,19.558,34,1078.55
52.335,35,175000,1137.91,-279.7875061035156,17.753,35,1088.32
52.5623,36,180000,1026.59,-317.22589111328125,18.3009,36,1027.85
