Itration,Running Forward KL,Running Reverse KL,Real Det Return,Real Sto Return,Reward Loss,Running Env Steps,Running Update Time
0,158.5259,11.4936,-81.34,-186.42,26.83356475830078,0,0
1,158.515,11.6067,14.95,-85.75,-10.13210391998291,5000,1
2,158.4676,12.0691,688.14,75.07,-22.792621612548828,10000,2
3,158.205,12.3313,770.49,191.34,-48.3966178894043,15000,3
4,158.4624,13.178,794.96,359.87,-124.6023941040039,20000,4
5,158.1884,14.4632,1046.74,629.37,-150.35557556152344,25000,5
6,158.014,14.2183,1061.3,691.52,-178.10858154296875,30000,6
7,157.8022,14.9605,1172.31,761.37,-210.03475952148438,35000,7
8,158.0166,14.981,1074.34,786.4,-217.5643310546875,40000,8
9,157.7393,14.9063,1250.05,870.27,-236.6107635498047,45000,9
10,157.6403,15.1256,880.77,859.8,-256.5448303222656,50000,10
11,157.9276,16.025,1546.52,1107.69,-288.34710693359375,55000,11
12,157.9262,16.2123,1393.2,1149.37,-312.6452331542969,60000,12
13,157.9743,16.4088,1581.73,1176.72,-343.3250732421875,65000,13
14,157.9746,16.6095,1640.77,1235.8,-382.77978515625,70000,14
15,157.7572,16.616,1697.42,1249.22,-432.4557189941406,75000,15
16,157.8644,16.2741,1713.5,1303.87,-446.3225402832031,80000,16
17,157.8136,16.3447,1721.33,1289.23,-493.3405456542969,85000,17
18,157.9549,16.6802,1784.1,1376.48,-535.06298828125,90000,18
19,157.5743,16.5795,1793.54,1366.12,-557.8787231445312,95000,19
20,157.6798,16.4634,1774.82,1392.24,-577.035888671875,100000,20
21,157.7342,16.7991,1832.95,1451.42,-609.0386962890625,105000,21
22,157.8584,16.564,1863.25,1451.45,-646.3418579101562,110000,22
23,157.6723,16.8047,1922.27,1520.84,-674.701904296875,115000,23
