Itration,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Running Reverse KL,Real Sto Return,Running Env Steps
0,391.1,419.4096,19339.724609375,0,254.5623,336.58,0
1,349.48,436.0506,19795.84765625,1,289.2252,320.45,5000
2,317.9,440.1407,19251.43359375,2,291.1433,320.52,10000
3,298.21,426.291,18756.97265625,3,257.6435,338.12,15000
4,257.91,417.3663,15596.7646484375,4,264.0196,364.16,20000
5,333.6,417.3905,13998.5732421875,5,288.9096,340.12,25000
6,326.08,420.9558,12211.4482421875,6,340.081,347.91,30000
7,372.06,424.3268,12119.060546875,7,329.1748,387.63,35000
8,687.68,404.7201,10598.87890625,8,296.0253,420.24,40000
9,419.3,413.4245,9118.9482421875,9,323.723,423.11,45000
10,558.94,400.081,6664.7275390625,10,305.0961,528.59,50000
11,446.5,387.7479,7203.4873046875,11,312.6046,478.73,55000
12,496.34,391.6229,6515.39501953125,12,352.6748,554.53,60000
13,518.53,398.9234,4519.70361328125,13,352.9671,532.72,65000
14,516.38,387.5753,1712.4639892578125,14,290.5892,570.42,70000
15,614.57,381.5825,1147.706298828125,15,323.8665,517.69,75000
16,595.98,379.3645,1980.610595703125,16,271.9887,538.08,80000
17,549.44,371.9235,-643.8212890625,17,334.9956,621.42,85000
18,506.4,386.6741,-3250.850341796875,18,335.2401,660.08,90000
19,533.31,348.6075,-1092.3486328125,19,277.7211,652.4,95000
20,474.87,349.7315,-2823.54931640625,20,298.6428,621.92,100000
21,697.27,342.4698,-1581.0897216796875,21,257.2496,838.66,105000
22,628.54,345.4256,-2175.994384765625,22,264.1095,826.0,110000
23,594.32,354.7388,-4599.43603515625,23,309.228,777.8,115000
24,711.97,361.2447,-4455.34130859375,24,274.1497,627.42,120000
25,678.79,361.0308,-6176.8525390625,25,281.9731,732.98,125000
26,709.22,371.6306,-9269.533203125,26,314.9364,782.02,130000
27,787.27,363.821,-10763.26953125,27,280.0765,808.89,135000
28,597.27,393.856,-11886.6689453125,28,333.0533,602.82,140000
29,592.62,355.3188,-12850.2060546875,29,293.2541,863.65,145000
30,497.82,381.6912,-15002.015625,30,328.4883,591.46,150000
31,609.88,343.0929,-16043.560546875,31,313.3849,734.47,155000
32,733.27,341.598,-15170.267578125,32,291.9201,742.49,160000
33,615.7,366.8503,-16476.244140625,33,301.9401,746.35,165000
34,549.78,346.8894,-18609.345703125,34,309.0518,905.76,170000
35,690.72,341.8369,-19346.53515625,35,300.6353,941.18,175000
36,575.52,368.9551,-21666.419921875,36,307.784,703.65,180000
37,643.31,343.3897,-20256.921875,37,291.1166,941.28,185000
38,696.88,353.0824,-21838.8671875,38,290.7634,903.82,190000
39,652.14,332.3178,-20007.01953125,39,239.7739,1099.29,195000
40,784.92,335.8178,-23318.166015625,40,253.5049,1029.78,200000
41,626.11,333.068,-22709.634765625,41,256.6547,780.2,205000
42,699.38,326.3862,-22217.6875,42,231.3038,995.82,210000
43,657.85,338.1005,-27147.068359375,43,256.1309,1323.54,215000
44,627.17,324.0808,-26631.76953125,44,257.8683,1110.27,220000
45,718.21,349.9879,-27373.07421875,45,259.2574,1168.11,225000
46,661.41,341.6124,-27644.74609375,46,245.8232,919.86,230000
47,684.72,367.6997,-32448.044921875,47,281.451,887.26,235000
48,855.15,323.2444,-27918.556640625,48,220.9257,1481.03,240000
49,2028.44,305.3626,-22522.9140625,49,184.2674,1284.25,245000
50,1597.33,308.7869,-24891.083984375,50,178.591,1217.73,250000
51,1264.31,315.9659,-27191.01171875,51,203.7482,1937.05,255000
52,1249.27,286.1207,-16602.13671875,52,127.1269,1969.67,260000
53,1781.6,300.4183,-23624.58203125,53,170.3373,2108.5,265000
54,3052.75,289.3601,-23874.1796875,54,162.4605,1464.59,270000
55,1763.74,311.729,-24927.740234375,55,162.0031,1334.6,275000
56,2543.63,328.6429,-33187.54296875,56,230.0825,1366.8,280000
57,988.84,315.691,-27940.6796875,57,181.7506,2657.23,285000
58,1452.51,302.0405,-25091.09375,58,170.1681,1785.23,290000
59,3251.6,282.3781,-19841.017578125,59,124.7087,2730.35,295000
60,2413.06,273.9101,-20633.3828125,60,119.2974,1960.63,300000
61,2105.96,279.5025,-23624.197265625,61,141.1851,2613.37,305000
62,2014.57,269.2052,-19805.39453125,62,115.01,2496.65,310000
63,2634.52,270.9086,-21774.169921875,63,121.4078,2741.69,315000
64,1343.77,284.5342,-27349.1015625,64,161.1716,1872.54,320000
65,4047.96,270.132,-20121.51953125,65,112.6719,2191.68,325000
66,4150.97,288.2261,-31555.1875,66,179.1711,3141.82,330000
67,2214.56,285.8002,-31883.03125,67,175.2801,1935.23,335000
68,2775.55,264.2349,-17052.44140625,68,102.2485,2536.72,340000
69,1363.31,291.7574,-34714.59375,69,172.0018,2230.76,345000
70,4235.76,270.3645,-26978.982421875,70,139.9048,2984.14,350000
71,941.64,286.9729,-33529.54296875,71,175.1764,1672.96,355000
72,4554.74,270.317,-20537.669921875,72,105.9725,3110.4,360000
73,2242.29,293.7375,-39708.85546875,73,207.5842,1679.27,365000
74,1852.84,299.6065,-34714.23046875,74,178.9566,2028.22,370000
75,4244.31,291.6994,-26838.33984375,75,154.9381,2719.56,375000
76,1744.53,280.5204,-27066.71875,76,144.2345,3158.76,380000
77,1365.43,306.9036,-37083.78515625,77,196.4491,1942.18,385000
78,950.08,258.4875,-25042.4375,78,112.9723,2156.28,390000
79,3573.74,271.0908,-37873.52734375,79,182.9789,2508.64,395000
80,1866.89,310.5769,-41945.85546875,80,203.5722,1297.01,400000
81,2738.24,332.6969,-39000.60546875,81,194.6316,1300.8,405000
82,3751.05,294.856,-25639.5546875,82,126.3337,3138.64,410000
83,4577.14,272.1715,-16054.4228515625,83,79.5462,3711.02,415000
84,3713.46,281.0148,-20674.404296875,84,106.6491,3860.54,420000
85,3771.59,263.8642,-9043.8173828125,85,75.7961,4111.78,425000
86,3011.6,274.7179,-19049.583984375,86,103.3063,4721.71,430000
87,3875.03,268.9508,-18326.681640625,87,97.0559,3306.3,435000
88,1330.79,288.9926,-28703.482421875,88,145.2557,4165.5,440000
89,4445.25,270.1994,-22970.318359375,89,106.1252,4413.34,445000
90,4636.3,257.4641,-17704.162109375,90,89.3216,4263.81,450000
91,2041.29,260.4543,-12386.900390625,91,79.4414,4393.46,455000
92,3475.13,263.8861,-17521.75390625,92,86.8399,4306.65,460000
93,5049.54,261.5162,-14660.328125,93,83.0966,4484.0,465000
94,5003.97,248.1504,-13394.51953125,94,71.7148,4966.12,470000
95,4625.43,252.7419,-12991.4853515625,95,80.7196,4771.54,475000
96,4469.35,254.496,-11852.1201171875,96,75.6526,5013.43,480000
97,4728.98,250.1627,-11226.7509765625,97,75.4842,5007.08,485000
98,647.6,238.566,-11635.37890625,98,55.572,4932.94,490000
99,2651.81,235.6351,-11992.3056640625,99,57.7746,4972.91,495000
100,3371.12,244.4856,-12136.7509765625,100,60.1034,4900.23,500000
101,5115.72,240.3735,-12610.662109375,101,57.0062,4889.53,505000
102,3184.39,246.8028,-15255.736328125,102,61.8522,4967.67,510000
103,5136.13,240.4091,-12442.9833984375,103,55.4646,4655.78,515000
104,3449.14,232.3075,-12015.984375,104,47.4769,5082.47,520000
105,4855.03,235.5234,-12581.7197265625,105,56.106,4949.24,525000
106,5003.52,244.8591,-16084.759765625,106,69.1704,5018.21,530000
107,5140.19,242.0146,-13610.4423828125,107,63.6364,5020.01,535000
108,5110.08,244.5746,-19181.5703125,108,72.4359,5056.09,540000
109,3571.91,258.0121,-23918.2734375,109,83.8009,4409.93,545000
110,4889.47,250.3711,-16552.703125,110,68.8138,5048.6,550000
111,5053.86,250.4466,-19210.7109375,111,67.6542,4657.04,555000
112,5080.58,257.2927,-18950.2890625,112,78.871,5037.85,560000
113,4773.37,270.5569,-19950.5,113,93.9226,4580.34,565000
114,5104.92,252.6097,-17837.1484375,114,73.3781,4756.95,570000
115,5113.98,255.2774,-18216.662109375,115,76.8324,5056.14,575000
116,5097.29,268.3621,-19609.2265625,116,96.4035,4850.1,580000
117,5173.28,240.7744,-18012.8125,117,64.2881,5067.22,585000
