Running Forward KL,Real Sto Return,Running Env Steps,Reward Loss,Running Reverse KL,Running Update Time,Itration,Real Det Return
37.5347,228.1,0,-225.96832275390625,17.7488,0,0,224.24
35.7305,305.62,5000,-211.10659790039062,17.0712,1,1,306.98
35.2507,318.89,10000,-185.7309112548828,17.18,2,2,321.64
37.6665,41.82,15000,-344.5531311035156,19.5745,3,3,23.34
34.552,361.55,20000,-292.7911376953125,20.7661,4,4,374.56
33.8067,393.42,25000,-301.3668518066406,22.3455,5,5,418.62
35.4782,457.38,30000,-282.74224853515625,20.7837,6,6,420.97
33.1931,444.37,35000,-299.97027587890625,23.5631,7,7,494.66
33.3573,447.67,40000,-319.98724365234375,31.7639,8,8,441.2
34.0446,422.36,45000,-332.8251953125,35.3883,9,9,422.4
34.1082,592.26,50000,-330.197265625,27.8889,10,10,563.93
34.3551,567.39,55000,-336.7780456542969,36.6941,11,11,605.27
33.2174,590.36,60000,-332.44403076171875,32.5344,12,12,618.4
33.1372,597.07,65000,-341.03326416015625,27.2254,13,13,601.23
33.3247,588.16,70000,-368.5879821777344,41.0998,14,14,595.67
34.3555,572.85,75000,-379.9530944824219,46.9627,15,15,588.45
32.8727,543.81,80000,-402.57012939453125,58.7329,16,16,681.41
31.7046,673.22,85000,-381.7766418457031,36.8585,17,17,664.37
32.6416,646.69,90000,-404.4597473144531,43.4104,18,18,636.0
32.4293,706.64,95000,-407.15155029296875,43.4274,19,19,661.3
31.0973,727.22,100000,-414.7436218261719,40.8824,20,20,717.28
29.5442,1792.2,105000,-286.2012939453125,26.0177,21,21,1159.94
31.8877,1003.04,110000,-367.94085693359375,32.3975,22,22,969.15
30.5702,1571.43,115000,-254.6570281982422,24.2334,23,23,1017.96
29.9915,1855.51,120000,-260.33355712890625,18.4397,24,24,2007.71
30.5137,1106.55,125000,-368.41046142578125,29.5163,25,25,1042.71
28.6996,1557.72,130000,-237.55291748046875,18.4559,26,26,1711.16
30.5808,1388.87,135000,-350.00042724609375,25.8993,27,27,1634.0
30.2491,2659.42,140000,-161.6207733154297,17.7395,28,28,3090.95
28.5873,3043.8,145000,-121.11463928222656,14.8102,29,29,3006.79
30.3768,2943.31,150000,-96.23980712890625,15.9747,30,30,3032.08
29.4345,2586.04,155000,-263.544189453125,26.5524,31,31,3154.87
29.3786,2959.25,160000,-163.31788635253906,16.7797,32,32,3021.16
28.8461,2049.16,165000,-326.47393798828125,18.7216,33,33,2203.18
28.5767,1226.8,170000,-287.7007751464844,20.7023,34,34,1161.11
29.0205,1370.43,175000,-275.04498291015625,18.7834,35,35,1599.56
29.3449,2271.65,180000,-245.5076904296875,17.6029,36,36,3296.37
28.0214,1578.88,185000,-250.91525268554688,15.2681,37,37,3217.2
27.8013,3114.61,190000,-95.38131713867188,13.4519,38,38,3269.41
27.7797,3058.74,195000,-77.9401626586914,13.4881,39,39,3132.29
27.4681,3228.62,200000,-34.99424362182617,14.0016,40,40,3241.22
28.3565,3220.28,205000,-37.694393157958984,15.1039,41,41,3266.06
27.1268,3233.81,210000,-50.671993255615234,14.162,42,42,3250.71
29.0298,3140.74,215000,-61.76728057861328,14.5675,43,43,3187.47
27.6678,3240.56,220000,-93.79130554199219,13.9996,44,44,3263.62
29.136,3225.93,225000,-63.72380065917969,16.4063,45,45,3258.3
29.394,3246.16,230000,-59.00114822387695,15.2952,46,46,3240.39
27.8985,2858.89,235000,-102.54466247558594,13.8099,47,47,3305.47
28.0792,3311.69,240000,-42.91170883178711,15.8639,48,48,3349.56
27.8429,3195.92,245000,-63.88425827026367,14.3931,49,49,3289.0
28.97,1224.4,250000,-447.61309814453125,14.2009,50,50,1230.81
28.1446,3156.22,255000,-55.67896270751953,15.2291,51,51,3313.76
28.9092,1627.29,260000,-304.5091247558594,23.2889,52,52,3372.25
28.2069,1580.48,265000,-399.614013671875,25.0055,53,53,3070.17
27.9827,2173.39,270000,-320.6123046875,13.7132,54,54,3245.21
27.2149,3045.06,275000,-137.00198364257812,14.3533,55,55,3368.92
28.042,2073.94,280000,-211.60232543945312,27.036,56,56,3371.38
27.7764,2074.76,285000,-167.6229248046875,22.0752,57,57,3350.46
27.677,3111.12,290000,-181.3574981689453,24.4291,58,58,3306.91
27.6259,2833.36,295000,-144.11557006835938,21.3528,59,59,3302.22
27.1118,2636.74,300000,-233.58958435058594,18.7059,60,60,3316.7
27.5573,1667.06,305000,-466.19256591796875,21.9734,61,61,1797.93
27.9541,2107.85,310000,-363.3896484375,22.5496,62,62,3338.09
25.8269,3017.14,315000,-117.05297088623047,14.1165,63,63,3376.25
26.2368,3381.71,320000,-47.86205291748047,14.4324,64,64,3403.91
