Running Update Time,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration,Running Reverse KL,Running Forward KL
77,385000,1737.11,2059.49,-3547.97705078125,77,15.8925,157.2214
78,390000,1765.39,2102.85,-3610.96826171875,78,16.1977,157.2596
79,395000,1707.5,2043.0,-3626.51513671875,79,15.6231,157.1201
80,400000,1760.84,2109.41,-3678.6220703125,80,15.8771,156.8645
81,405000,1791.75,2155.09,-3731.578125,81,15.8164,156.9246
82,410000,1758.38,2061.83,-3773.36865234375,82,15.7135,157.0462
83,415000,1717.3,2089.07,-3819.390869140625,83,15.893,157.1154
84,420000,1763.42,2111.77,-3894.5419921875,84,16.0148,156.8491
85,425000,1737.12,2051.67,-3887.584228515625,85,15.6777,156.962
86,430000,1759.9,2128.6,-3942.434814453125,86,16.0066,157.109
87,435000,1757.84,2151.98,-4022.8876953125,87,15.8486,156.9104
88,440000,1772.82,2118.31,-4044.154052734375,88,16.0297,156.9452
89,445000,1764.99,2115.89,-4111.27685546875,89,16.0243,156.9525
90,450000,1842.3,2175.46,-4178.72705078125,90,16.4219,156.8775
91,455000,1774.56,2129.21,-4197.3203125,91,15.8415,156.8587
92,460000,1820.55,2161.67,-4245.41943359375,92,15.9175,156.8721
93,465000,1766.6,2080.56,-4286.419921875,93,15.7556,156.8683
94,470000,1792.56,2149.04,-4336.7373046875,94,16.3037,157.1164
95,475000,1783.94,2174.86,-4395.9208984375,95,15.8806,156.8544
96,480000,1765.32,2133.99,-4427.408203125,96,15.847,156.8664
97,485000,1807.01,2171.02,-4519.337890625,97,15.9628,156.8339
98,490000,1790.17,2139.96,-4571.9140625,98,15.7227,156.8144
99,495000,1801.9,2137.7,-4563.94921875,99,15.7591,156.9014
100,500000,1758.63,2126.01,-4637.34326171875,100,15.6223,156.9342
101,505000,1781.53,2113.01,-4650.6728515625,101,15.646,156.833
102,510000,1815.16,2144.01,-4731.6748046875,102,15.9379,157.0115
103,515000,1761.18,2165.22,-4782.3154296875,103,15.719,156.8724
104,520000,1786.01,2128.27,-4825.4248046875,104,15.6909,157.0318
105,525000,1788.87,2112.48,-4877.16162109375,105,15.5535,156.878
106,530000,1790.77,2171.65,-4945.1376953125,106,15.8076,156.9666
107,535000,1816.73,2131.26,-4963.1279296875,107,15.772,156.9402
108,540000,1781.72,2122.16,-5013.7958984375,108,15.4615,157.0096
109,545000,1820.93,2118.06,-5062.54052734375,109,15.8194,156.8905
110,550000,1811.08,2140.57,-5120.7919921875,110,15.8849,156.9224
111,555000,1814.87,2150.15,-5189.5908203125,111,15.6718,156.8218
112,560000,1806.97,2142.61,-5226.43994140625,112,15.692,156.7998
113,565000,1809.62,2159.13,-5275.95263671875,113,15.5477,156.8489
114,570000,1833.55,2172.31,-5335.19287109375,114,15.799,156.8866
115,575000,1787.92,2112.37,-5398.74658203125,115,15.5498,156.9224
116,580000,1821.12,2184.81,-5426.39599609375,116,15.6964,156.8297
117,585000,1767.35,2067.26,-5488.48681640625,117,15.5124,156.8449
118,590000,1777.79,2058.71,-5554.9150390625,118,15.7131,156.9619
119,595000,1825.22,2198.8,-5590.84716796875,119,15.9719,156.986
120,600000,1810.65,2204.96,-5691.34814453125,120,15.7828,156.8374
121,605000,1808.03,2171.16,-5725.70751953125,121,15.8775,156.8535
122,610000,1805.66,2118.86,-5747.44677734375,122,15.6192,156.8764
123,615000,1810.86,2128.55,-5828.18115234375,123,15.7173,156.9208
124,620000,1832.54,2149.59,-5865.1435546875,124,15.8616,156.8561
125,625000,1800.41,2123.94,-5915.51806640625,125,15.4962,156.919
126,630000,1825.82,2183.24,-5983.10205078125,126,15.8416,156.9071
127,635000,1793.83,2124.25,-6029.79052734375,127,15.6543,156.7966
128,640000,1850.92,2189.51,-6062.50390625,128,15.5555,156.7402
129,645000,1865.1,2218.2,-6142.5869140625,129,15.7887,157.007
130,650000,1814.7,2121.29,-6215.55712890625,130,15.8165,157.0005
131,655000,1854.39,2194.73,-6260.8564453125,131,15.8358,156.7138
132,660000,1847.11,2173.72,-6319.83447265625,132,15.8346,156.7836
133,665000,1814.25,2153.47,-6360.798828125,133,15.7992,156.829
134,670000,1857.98,2201.71,-6432.751953125,134,15.5378,156.9023
135,675000,1867.6,2195.19,-6506.13037109375,135,15.7733,156.8669
136,680000,1872.73,2242.4,-6602.20068359375,136,16.2336,156.8863
