Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Itration,Real Det Return,Running Forward KL,Running Reverse KL
-134.96,11.173993110656738,0,0,0,-18.68,158.1319,11.0441
-23.09,14.076858520507812,1,5000,1,306.2,157.7656,10.9833
260.14,68.28623962402344,2,10000,2,751.15,157.5705,11.6189
300.36,1.7262697219848633,3,15000,3,429.08,157.4922,11.633
-44.35,-105.04120635986328,4,20000,4,-410.13,157.766,11.9522
446.85,-114.61922454833984,5,25000,5,182.69,157.3575,11.8226
365.68,-175.093505859375,6,30000,6,445.5,157.5405,12.2826
357.7,-211.90476989746094,7,35000,7,1070.98,157.5486,12.5228
360.78,-231.94960021972656,8,40000,8,735.76,157.4043,13.108
740.57,-253.3233184814453,9,45000,9,1192.78,157.7955,14.0948
901.36,-277.6987609863281,10,50000,10,1256.38,157.6284,14.5364
1043.2,-286.93389892578125,11,55000,11,1205.23,157.6565,15.4346
1084.52,-320.8228454589844,12,60000,12,1427.46,157.7685,15.3489
1186.11,-354.6719055175781,13,65000,13,1584.92,157.763,15.5397
1169.13,-384.714599609375,14,70000,14,1248.53,157.6443,15.8891
1047.37,-446.25592041015625,15,75000,15,1409.96,157.6265,15.6594
994.26,-458.30841064453125,16,80000,16,1213.03,157.8882,16.5398
-288.54,-705.281982421875,17,85000,17,-290.04,158.8351,16.4161
59.19,-436.9056091308594,18,90000,18,110.65,158.0679,17.0128
-350.23,-818.3157348632812,19,95000,19,-431.48,159.2694,15.7071
-106.66,-850.1029663085938,20,100000,20,-72.22,158.9498,14.59
199.35,-809.8728637695312,21,105000,21,684.26,158.5773,14.3442
139.07,-843.3568725585938,22,110000,22,1084.33,158.2202,13.8411
411.21,-797.8302001953125,23,115000,23,1536.86,157.8919,13.512
1080.29,-714.2662353515625,24,120000,24,1400.3,157.2483,13.9799
1221.27,-763.9140014648438,25,125000,25,1474.6,157.5382,14.9968
398.77,-1019.042236328125,26,130000,26,-132.97,159.3102,15.0192
1333.0,-843.05712890625,27,135000,27,2095.15,157.0484,13.7401
1368.14,-882.2819213867188,28,140000,28,1651.02,157.4476,14.5133
1422.19,-891.0818481445312,29,145000,29,1868.87,157.1023,14.9604
1454.12,-929.7857666015625,30,150000,30,1885.59,157.2441,14.9238
1517.32,-935.2274169921875,31,155000,31,1913.09,156.968,14.9059
1500.61,-984.5253295898438,32,160000,32,1853.67,157.0018,14.8205
1538.97,-1031.649658203125,33,165000,33,1943.4,156.585,13.8433
1552.78,-1059.182861328125,34,170000,34,1951.65,156.6737,14.4155
1555.43,-1101.552001953125,35,175000,35,1916.55,156.9194,14.7062
1687.12,-1142.31201171875,36,180000,36,2047.95,155.9639,12.9347
1648.45,-1169.9022216796875,37,185000,37,2084.11,156.2876,13.4631
1676.77,-1200.9652099609375,38,190000,38,1992.89,156.3258,13.9216
1686.22,-1266.967529296875,39,195000,39,2107.57,156.4719,12.7156
1786.99,-1264.566162109375,40,200000,40,2244.08,155.7291,12.7975
2067.6,-1348.7984619140625,41,205000,41,2225.76,155.548,10.9909
2028.14,-1341.7913818359375,42,210000,42,2414.71,155.0473,11.8415
1897.2,-1341.46142578125,43,215000,43,2294.04,155.1629,13.55
1953.44,-1395.21044921875,44,220000,44,2099.37,155.1465,13.4278
