Reward Loss,Running Update Time,Itration,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL
278.1524353027344,0,0,34.023,200.19,0,197.54,28.0083
123.48860931396484,1,1,32.8533,284.82,5000,287.76,35.3241
303.53564453125,2,2,32.2423,271.78,10000,291.38,35.0234
90.9801254272461,3,3,31.0567,289.11,15000,288.4,34.0051
14.777816772460938,4,4,30.823,314.58,20000,311.0,33.1235
-14.155527114868164,5,5,30.7675,316.46,25000,327.21,35.01
-48.521095275878906,6,6,30.769,311.07,30000,325.77,32.5985
6.904566287994385,7,7,31.2858,380.68,35000,367.69,41.9691
-54.259681701660156,8,8,31.4306,401.88,40000,389.87,38.5364
-103.00582122802734,9,9,31.8752,382.04,45000,377.06,36.7766
-154.8431396484375,10,10,31.4217,390.09,50000,382.16,38.042
-175.3399658203125,11,11,31.5801,401.35,55000,388.53,40.568
-234.6844940185547,12,12,29.8411,404.62,60000,404.84,44.9854
-279.64715576171875,13,13,30.0082,419.04,65000,417.99,40.2453
-340.3771667480469,14,14,31.2686,399.75,70000,398.2,42.4156
-359.33477783203125,15,15,28.4613,538.91,75000,487.92,39.093
-148.3982696533203,16,16,28.4424,566.79,80000,551.2,43.3637
-220.1053924560547,17,17,25.846,182.64,85000,249.62,31.5418
-404.495361328125,18,18,27.0546,688.94,90000,730.86,34.6279
-482.49005126953125,19,19,29.8085,595.04,95000,578.22,42.2906
-463.9547119140625,20,20,28.6193,412.93,100000,498.72,37.763
-587.07470703125,21,21,28.3779,595.47,105000,571.9,41.2916
-528.5850830078125,22,22,28.5736,706.5,110000,651.2,35.2984
-567.4548950195312,23,23,26.8746,761.71,115000,673.8,35.3404
-656.8211059570312,24,24,26.6974,691.69,120000,699.6,34.2178
-675.9844360351562,25,25,26.3617,751.92,125000,710.31,30.9263
-708.6790161132812,26,26,26.8663,667.07,130000,712.26,32.936
-745.7232666015625,27,27,28.0318,659.47,135000,640.85,28.381
-603.7021484375,28,28,26.8705,776.45,140000,772.07,20.7057
-540.8001098632812,29,29,27.4178,880.35,145000,800.96,22.1338
-474.5138854980469,30,30,27.9391,711.26,150000,699.99,31.4851
-368.4277038574219,31,31,27.9538,648.34,155000,709.29,33.9484
-509.3940734863281,32,32,26.0278,1192.54,160000,1124.91,24.7056
-610.7890014648438,33,33,26.6161,932.28,165000,935.13,32.8067
-479.40240478515625,34,34,26.0663,426.36,170000,1125.61,32.7358
-623.159423828125,35,35,26.8785,950.68,175000,906.11,40.159
-763.0662841796875,36,36,25.9102,942.07,180000,1031.84,32.695
-715.8970336914062,37,37,27.0302,884.58,185000,849.66,21.9331
-819.8521728515625,38,38,27.5521,913.01,190000,886.53,35.3387
-810.6569213867188,39,39,26.8261,822.47,195000,748.64,40.6455
-882.2797241210938,40,40,27.9933,940.08,200000,899.45,56.764
-930.280517578125,41,41,26.9322,891.44,205000,875.18,32.745
-980.7452392578125,42,42,26.7284,837.84,210000,780.41,44.0361
-992.1630249023438,43,43,26.5298,941.07,215000,874.42,49.6024
-1103.103759765625,44,44,26.1893,865.59,220000,799.1,75.5297
-1064.9764404296875,45,45,26.3136,906.24,225000,937.52,27.7329
-1124.8983154296875,46,46,26.5717,1022.75,230000,947.51,51.1002
-1129.30322265625,47,47,27.2073,934.3,235000,888.07,26.954
-1151.8358154296875,48,48,26.5246,947.07,240000,939.7,46.9122
-1261.2987060546875,49,49,26.4569,2132.92,245000,1002.28,55.273
-1281.77685546875,50,50,25.9864,3006.63,250000,1629.01,38.0578
-1298.66552734375,51,51,26.5536,1073.25,255000,984.79,31.7089
-1410.72265625,52,52,26.5214,1148.73,260000,1421.74,65.8017
-1322.419921875,53,53,25.2684,1888.76,265000,1507.26,60.0955
-1182.3616943359375,54,54,25.7445,2374.28,270000,1239.47,31.6387
-1142.443359375,55,55,25.2568,3102.75,275000,1676.59,60.1145
-1529.989990234375,56,56,26.1695,977.89,280000,941.02,73.6995
-1674.934326171875,57,57,26.4464,940.96,285000,987.87,76.4722
-1627.861572265625,58,58,25.4472,1009.02,290000,1001.27,45.3773
-1732.170654296875,59,59,26.0215,1158.48,295000,1103.77,55.0952
-1554.966796875,60,60,25.5117,980.3,300000,1068.09,48.7712
-1491.1285400390625,61,61,25.4346,3094.02,305000,2082.48,58.5766
-2077.76318359375,62,62,26.0572,1161.16,310000,1198.97,105.3567
-2187.378173828125,63,63,26.5107,963.76,315000,969.7,120.7488
-2163.71337890625,64,64,26.4243,1010.3,320000,931.13,83.7019
-1845.7513427734375,65,65,24.9937,969.98,325000,1387.08,65.6808
-1960.029541015625,66,66,25.6883,1628.17,330000,1196.09,58.3017
-2320.66455078125,67,67,26.3904,956.87,335000,951.46,64.2654
-1379.3607177734375,68,68,26.9308,3139.93,340000,2321.01,40.2121
-820.2171630859375,69,69,26.1687,3096.32,345000,2641.06,22.8879
-2556.70361328125,70,70,25.8022,1200.45,350000,1039.69,77.0883
-979.6806030273438,71,71,26.3378,3204.42,355000,2575.48,28.8865
-2311.371826171875,72,72,26.3892,2790.65,360000,1439.93,64.7124
-2492.33447265625,73,73,25.7291,1137.77,365000,1672.34,56.6676
-2326.01806640625,74,74,25.6796,2484.23,370000,1491.9,79.9154
-1838.035400390625,75,75,25.6643,3099.21,375000,2177.24,47.9415
-1679.3106689453125,76,76,25.8133,3226.49,380000,1912.2,56.4275
-1428.619873046875,77,77,24.8223,3151.18,385000,2727.32,31.4085
-872.302490234375,78,78,26.3336,3233.94,390000,2605.55,21.9915
-1074.5240478515625,79,79,25.9706,3158.27,395000,2626.06,29.9348
-1198.0782470703125,80,80,25.5732,3153.7,400000,2430.98,21.2354
-725.9295043945312,81,81,26.8007,3120.84,405000,3090.42,19.5584
-1232.13037109375,82,82,25.3145,3176.01,410000,1992.32,27.983
-733.2337646484375,83,83,26.5062,3146.12,415000,3141.95,18.9505
-1337.519775390625,84,84,25.8506,3194.08,420000,2893.7,24.045
-771.8858642578125,85,85,26.4304,3113.41,425000,3099.34,19.4677
-799.6182861328125,86,86,26.4137,3175.45,430000,3152.59,19.3416
-796.8435668945312,87,87,26.2191,3192.08,435000,3153.93,18.001
-996.7129516601562,88,88,26.8265,3202.78,440000,2912.08,19.8229
-809.6279296875,89,89,25.6192,3154.85,445000,3036.38,17.3746
-1791.9130859375,90,90,25.6342,3172.7,450000,2037.59,27.2597
-844.8068237304688,91,91,26.5878,3135.71,455000,3135.05,18.7826
-1390.71337890625,92,92,26.8351,3174.22,460000,2861.07,31.9414
-821.9144287109375,93,93,26.1772,3136.44,465000,3128.7,18.095
-1185.30712890625,94,94,26.7921,3180.54,470000,3046.72,19.649
-841.0346069335938,95,95,25.4613,3129.6,475000,3115.91,17.7047
-907.3226318359375,96,96,26.5464,3155.98,480000,2874.59,18.6986
-1156.701904296875,97,97,25.5038,3166.24,485000,3162.17,22.7285
-935.3951416015625,98,98,25.8961,3152.58,490000,2668.71,18.5814
-1158.8994140625,99,99,25.6285,3118.36,495000,2781.53,17.5092
-1095.3089599609375,100,100,26.0097,3134.26,500000,3136.7,18.7546
-998.060546875,101,101,26.5895,3170.05,505000,3051.31,19.0678
-1215.2857666015625,102,102,25.916,3159.9,510000,3084.9,20.644
-1045.58837890625,103,103,26.9543,3164.81,515000,3164.56,19.3945
-1736.413818359375,104,104,27.2312,3166.46,520000,2977.15,19.4752
-1532.908447265625,105,105,25.8263,3169.12,525000,2713.55,22.6868
-1046.548583984375,106,106,26.4781,3122.77,530000,3009.45,18.5451
-1084.9141845703125,107,107,26.7359,3159.49,535000,3162.67,19.1798
-1199.485595703125,108,108,27.7132,3146.92,540000,3157.87,20.075
-1164.9395751953125,109,109,26.458,3178.06,545000,3176.54,19.3532
-1101.1885986328125,110,110,26.1507,3195.8,550000,3200.3,18.7095
