Real Sto Return,Running Forward KL,Itration,Real Det Return,Running Reverse KL
367.87,438.497,0,426.01,296.733
294.99,461.4469,1,265.71,282.3645
312.94,431.1173,2,225.34,267.7055
368.09,427.0455,3,231.22,270.9125
329.23,431.322,4,324.44,275.5582
400.92,441.1179,5,341.46,269.5892
468.48,412.0585,6,450.12,255.4992
435.11,429.9507,7,321.66,310.0214
484.37,426.3093,8,417.79,307.4813
454.22,432.7498,9,484.08,324.3512
502.27,420.6607,10,545.31,264.7377
529.48,418.4374,11,565.47,263.6924
547.49,408.5105,12,611.69,250.0169
506.56,419.8475,13,496.92,264.1799
549.95,411.4457,14,695.02,243.7486
596.67,407.1251,15,497.16,244.6761
527.7,405.4545,16,537.44,241.9401
555.45,417.4083,17,491.68,242.4903
551.16,417.2891,18,678.72,236.949
575.14,417.94,19,626.77,242.0044
564.35,411.0398,20,583.9,238.1818
575.44,408.2546,21,539.92,237.6046
570.61,410.2626,22,461.43,238.4863
564.99,405.7884,23,532.51,249.6837
574.54,419.0888,24,499.75,237.1133
586.56,406.5918,25,483.38,247.5024
586.87,421.7508,26,530.01,264.5184
519.45,420.0142,27,620.59,239.9221
603.72,417.3976,28,663.01,253.1913
645.87,399.8608,29,573.34,243.9517
575.94,420.24,30,565.23,247.0867
536.81,422.9884,31,501.14,255.4016
639.82,426.8942,32,496.63,274.6296
687.23,412.7216,33,565.05,240.8583
735.6,411.0303,34,707.54,233.564
798.57,397.5253,35,906.26,224.4704
713.79,399.5788,36,585.82,232.7034
705.75,402.6051,37,650.63,232.5056
731.7,397.9167,38,655.74,220.2846
798.29,409.4429,39,908.43,227.6563
794.92,406.1478,40,554.77,236.3692
719.38,390.82,41,631.63,222.9191
762.03,380.3799,42,655.56,223.1954
1138.3,383.5327,43,1046.95,223.8666
1181.78,372.8546,44,1116.78,210.1252
1711.47,367.8081,45,1606.02,214.4505
1135.77,384.9213,46,1617.57,209.6241
1714.15,356.9122,47,922.82,186.8422
1064.31,359.3901,48,812.99,235.0218
1680.28,374.5919,49,752.97,210.814
1459.53,365.9399,50,1149.46,212.8533
1358.25,373.1723,51,751.57,220.7648
1990.59,348.1399,52,1092.08,201.4831
1356.8,378.9757,53,616.52,228.9674
1426.24,386.7126,54,1071.6,250.313
1458.65,367.2361,55,844.83,229.7847
1704.42,382.4737,56,759.63,236.6953
1483.94,385.501,57,658.88,233.2209
2089.51,365.5894,58,782.55,226.7053
2215.01,361.2962,59,884.19,212.4874
2531.05,336.5623,60,1143.56,168.932
3440.85,332.4346,61,1659.38,160.5264
2161.78,369.0089,62,820.84,222.42
1522.25,368.0188,63,679.68,185.53
1801.78,340.1335,64,2112.99,161.0906
3272.79,328.8536,65,783.11,139.428
3161.13,346.1387,66,1636.16,165.0676
3083.18,352.8156,67,578.37,191.039
2674.72,359.8031,68,1008.51,179.7063
3245.03,335.9688,69,1170.0,140.4651
1039.83,389.2952,70,640.6,282.6149
3483.83,345.7849,71,1162.45,171.6431
3505.88,337.8762,72,2549.8,140.5634
2439.72,340.7263,73,1059.66,192.7769
2996.35,348.0996,74,960.11,169.0427
3503.06,336.158,75,1525.8,149.5572
3357.45,336.441,76,2097.77,151.8041
4216.37,332.5683,77,2284.4,141.9768
3534.28,322.8511,78,1162.09,139.3349
4387.09,323.2863,79,2504.4,138.8543
4404.38,326.6616,80,3373.68,129.2774
5002.97,321.9927,81,4617.8,137.3234
4328.13,331.1572,82,4354.6,144.5036
4022.28,330.1739,83,772.71,134.2078
4553.22,323.2734,84,3496.28,138.5924
4463.03,327.5649,85,3299.91,161.4035
4139.33,337.3142,86,669.35,137.3733
4172.58,321.8806,87,3784.59,144.5225
3484.58,340.2252,88,455.83,150.1926
4060.21,332.832,89,3743.5,149.7007
4553.79,336.0657,90,1649.9,156.3846
4503.53,322.2917,91,1947.69,133.2689
4508.33,334.2196,92,3571.82,142.8869
4169.59,331.3059,93,3063.08,138.0064
2943.04,336.7878,94,750.83,173.1812
4977.88,335.2085,95,1377.15,149.6098
4600.08,331.0346,96,1787.88,144.8906
4195.48,329.7822,97,4270.55,149.1964
4506.09,326.1643,98,5122.77,137.7778
3161.22,326.042,99,1017.55,140.6259
4491.56,333.2229,100,4231.45,161.1944
3758.67,341.5454,101,2176.82,189.6667
4192.34,325.0381,102,1967.01,134.6508
3673.02,332.9456,103,4956.68,150.4745
4591.69,331.228,104,5068.36,135.6037
2942.71,342.2111,105,4079.31,158.2758
4045.75,330.9356,106,4817.87,145.1024
2695.12,344.011,107,3306.28,173.7914
2952.47,340.6456,108,4937.76,175.4601
3989.01,333.1499,109,2084.69,156.2626
3960.59,326.3186,110,5292.77,158.5134
4485.27,323.6526,111,1286.26,140.1018
4581.36,323.6044,112,3880.64,133.0026
4960.47,317.1652,113,5241.17,136.884
4593.16,316.133,114,5230.24,131.4536
4626.84,328.362,115,4517.28,147.2553
3804.2,333.1688,116,4345.44,165.201
3884.73,318.9307,117,5087.88,135.4398
4014.3,326.5203,118,5084.84,140.2554
4845.75,328.4971,119,5200.41,154.8473
2651.79,333.9808,120,5059.1,186.3462
3795.77,322.8824,121,5150.17,170.1057
4452.0,316.5341,122,5121.07,129.6916
4980.57,308.9422,123,5089.71,124.5107
3419.74,325.5278,124,5007.77,147.2216
4741.22,315.4482,125,5009.97,117.5569
4728.71,317.3147,126,5142.59,131.9177
5007.0,316.1289,127,5050.1,122.5274
5041.04,311.3414,128,5154.43,128.6902
4813.19,298.4651,129,4116.49,102.2705
5095.92,308.6714,130,3612.47,120.2996
4246.59,325.1514,131,4111.29,141.003
4696.68,319.9886,132,4468.93,138.486
4974.99,312.9099,133,5101.73,117.8349
5033.33,308.9461,134,4816.72,120.6681
4958.23,314.395,135,5098.73,121.1897
4815.5,311.0611,136,5070.95,129.7398
4929.45,317.7174,137,5036.73,116.9127
4662.76,317.6629,138,5019.46,126.0691
4932.48,317.529,139,5012.1,123.4089
5028.27,320.7551,140,5130.04,129.4261
4262.08,317.0159,141,4021.21,120.6682
4558.86,320.6136,142,4816.51,130.3332
4538.45,321.4702,143,5060.84,123.572
5028.39,323.0603,144,5093.45,123.1108
4864.22,326.3733,145,5051.96,132.0798
4896.49,323.368,146,5147.63,127.7416
4782.51,324.4241,147,4575.77,120.5717
5013.06,316.4363,148,5119.45,125.8404
4871.05,329.8981,149,5176.38,140.5558
4176.76,329.3647,150,3997.52,126.7081
5123.45,311.0004,151,5273.56,118.7991
4970.86,329.7243,152,4996.98,141.7268
4465.49,317.7143,153,4348.55,108.594
4697.99,316.3845,154,5137.99,117.1466
4842.09,311.1955,155,5037.36,120.7168
