Running Forward KL,Itration,Real Sto Return,Real Det Return,Running Reverse KL
39.2556,0,195.98,192.49,22.2761
37.4452,1,231.46,201.29,48.4467
37.5055,2,261.22,251.62,33.3194
36.2756,3,319.34,320.06,40.3896
45.6982,4,79.8,86.87,93.5402
37.3267,5,375.58,390.89,18.7048
36.4118,6,490.23,849.07,19.8147
36.2725,7,399.18,406.12,21.6208
37.9537,8,478.36,1004.78,29.0519
40.9147,9,998.71,999.99,32.5893
36.3263,10,573.72,588.01,23.0498
42.4323,11,1032.42,522.83,23.9396
39.4994,12,175.46,175.62,20.4745
38.8175,13,287.35,290.98,23.8822
36.8611,14,538.32,415.41,23.6892
45.8801,15,995.9,997.09,44.4661
37.2107,16,1043.6,1025.13,41.2723
37.7449,17,325.96,211.99,21.6601
42.5389,18,1007.57,1048.68,23.0681
44.0903,19,561.15,984.03,35.4367
38.2726,20,371.39,380.07,40.5539
37.9271,21,346.03,344.49,59.9676
33.2439,22,807.46,926.48,23.114
36.7697,23,378.16,351.87,57.5034
32.6944,24,724.66,767.57,21.3138
34.6678,25,613.07,517.6,23.9481
33.9962,26,778.84,742.81,16.5927
32.9031,27,857.11,909.28,15.2156
33.8538,28,710.78,694.84,17.3702
32.9205,29,807.02,820.95,18.6225
32.749,30,772.11,773.48,22.6975
33.7826,31,794.87,762.49,58.8697
33.2565,32,692.5,675.45,26.0967
32.9216,33,849.7,825.6,26.5819
32.2783,34,1058.82,993.99,25.532
32.2275,35,895.31,871.25,17.0135
31.9879,36,819.82,819.61,15.4295
33.3541,37,815.06,804.49,19.3422
32.8949,38,840.0,832.38,24.7935
32.4974,39,1004.34,939.14,25.5033
32.0321,40,1271.3,1419.23,20.2282
32.1457,41,946.37,1102.87,24.2401
32.2716,42,1077.96,1189.02,39.7746
32.9989,43,1093.24,1052.24,46.3971
32.1767,44,992.33,1058.9,25.6084
32.2434,45,1247.9,1278.06,64.579
29.8302,46,1652.75,2134.56,24.3433
32.0296,47,1444.17,1444.63,38.8702
31.9127,48,1729.72,1596.03,61.8434
31.4406,49,1416.15,1556.24,48.2403
31.6063,50,1424.39,1308.67,57.027
32.151,51,1053.72,1069.48,42.525
32.5134,52,1101.46,1027.14,39.2768
32.8743,53,1067.15,1227.56,37.2737
31.8314,54,1654.85,1808.8,34.6455
33.1818,55,1104.25,1290.02,29.0196
33.0266,56,1088.32,1260.94,34.355
33.0473,57,1076.17,1097.13,37.6888
32.217,58,1759.14,3179.97,22.6235
33.0314,59,1244.75,1560.92,41.8044
33.3422,60,1045.58,1120.27,31.6885
32.0663,61,1176.58,1287.97,35.9013
31.4624,62,1907.34,3094.0,23.3341
31.0498,63,2031.91,3046.75,30.5663
31.5196,64,1865.47,2211.44,25.0281
33.2332,65,1201.84,1466.99,29.4189
31.5284,66,1608.87,1595.45,37.9691
31.4867,67,1236.99,1338.73,29.3547
30.9121,68,1302.39,1295.98,57.6101
30.4869,69,1432.38,1477.38,55.3534
31.4057,70,1498.07,1536.74,33.0779
31.1,71,1432.92,1387.71,32.2385
30.6754,72,1666.51,1721.76,24.3068
30.986,73,1404.03,1497.29,21.5259
30.8841,74,1893.57,1752.92,25.6147
30.0792,75,1853.69,1903.17,24.2423
29.9782,76,1920.48,3067.03,22.0656
30.0641,77,2075.96,2240.19,19.8595
30.7918,78,1589.14,1613.6,29.3378
31.1809,79,1359.92,1534.89,34.3276
30.2686,80,1540.69,1793.37,26.2969
30.6866,81,1445.68,1552.77,25.3321
31.2916,82,1407.04,1354.96,25.9625
30.0006,83,1538.12,1805.93,20.9317
29.7432,84,1544.23,1798.8,23.1988
30.3273,85,1450.19,1552.26,27.1857
30.0603,86,1563.7,2011.72,20.0003
29.5542,87,1706.96,2632.58,20.9218
28.8422,88,2280.4,3361.93,21.4623
30.3492,89,2637.81,3198.92,18.1487
29.477,90,2120.03,3082.85,19.2227
28.8827,91,2769.19,3222.02,15.8614
30.1538,92,1610.27,2080.2,22.9259
30.7439,93,1937.4,3184.95,17.3637
31.5929,94,371.68,195.49,17.8313
30.9277,95,761.98,729.53,18.7948
30.9934,96,3023.99,3047.12,17.4648
31.9323,97,3108.21,3129.0,18.9306
30.9163,98,3243.5,3244.33,22.0602
29.9973,99,2563.22,3266.57,29.4391
31.2379,100,886.56,932.21,45.4621
31.5584,101,1696.2,1799.87,29.2806
31.2557,102,2813.62,3299.82,23.7817
31.0933,103,2009.24,3300.61,29.6958
30.0745,104,2945.05,3299.2,20.4077
29.7718,105,1594.41,1823.89,28.9222
29.4159,106,1674.52,2262.57,21.718
29.0698,107,2298.22,2405.76,15.269
29.3229,108,1990.06,2480.01,17.6715
30.0368,109,1409.0,1483.75,35.4034
28.6717,110,2302.37,3281.63,28.112
30.9992,111,1574.44,2072.96,54.3836
30.385,112,1443.35,2286.69,39.2409
29.4988,113,1694.44,3315.95,44.5259
29.3098,114,2253.96,3366.73,31.6794
30.156,115,2036.84,3360.72,29.9814
30.0524,116,1363.29,1460.08,48.9242
29.5566,117,1496.41,1954.22,39.3746
30.5118,118,1914.02,2729.23,36.4761
29.5858,119,1342.28,1305.79,31.3074
32.1129,120,710.62,472.51,39.3153
30.8175,121,1342.38,1408.85,67.6571
29.757,122,2392.68,3009.2,18.6401
29.8843,123,1527.83,2486.91,25.646
30.0874,124,2580.1,3332.36,27.3478
30.1506,125,2942.32,3271.08,20.6004
29.0529,126,1217.67,1200.16,18.6087
30.3956,127,1639.99,1826.81,22.8674
29.6712,128,1700.6,3099.15,18.0159
30.7843,129,1734.24,3222.06,33.0482
30.7072,130,1362.82,1493.29,45.1974
29.7333,131,2422.57,3347.87,27.702
31.653,132,1575.0,2302.11,37.5843
30.4225,133,2964.94,3311.84,19.0224
31.3297,134,1900.91,3307.62,29.1408
31.0818,135,1791.33,3213.14,52.0206
31.8992,136,1664.9,1899.76,31.3996
30.5206,137,1575.45,1292.82,46.4811
29.6573,138,2360.73,3367.29,19.8577
29.8801,139,3026.1,3329.54,17.9515
30.3815,140,1481.58,1573.31,33.162
30.8887,141,1519.78,1761.65,43.4274
30.7146,142,1420.49,1509.75,57.261
30.9553,143,1914.45,2701.54,44.129
30.6281,144,3119.87,3265.42,19.2941
30.9877,145,1556.3,2276.27,32.6787
31.7811,146,1303.82,1673.31,40.9075
31.0905,147,2948.14,3251.53,20.0469
30.3371,148,1721.65,3327.43,24.7049
30.9103,149,2281.05,3301.47,46.3857
28.8286,150,972.33,294.51,14.2544
32.2663,151,1385.13,3404.85,26.6255
30.6047,152,2341.41,3291.7,46.4492
29.4926,153,3092.52,3344.76,43.1703
31.7755,154,2974.1,3323.98,19.7076
32.1565,155,3249.76,3303.65,21.0434
30.7634,156,2977.98,3357.02,20.35
31.5696,157,1802.05,2490.24,20.6698
31.4024,158,1725.83,2602.46,23.7799
31.4478,159,3288.23,3282.98,20.662
31.3428,160,1728.5,2149.8,21.0755
30.5563,161,2190.11,3359.28,32.4709
31.156,162,3179.98,3278.57,18.2837
31.4011,163,2354.78,3357.5,22.0307
30.6125,164,2574.29,3294.8,39.164
29.5791,165,2343.89,3174.78,16.6542
30.1019,166,2086.63,3369.14,24.644
31.0123,167,1667.21,3399.0,36.3593
32.702,168,400.38,241.82,39.29
30.0685,169,1969.43,3141.43,35.5163
30.9696,170,1428.04,3412.44,45.6279
30.2885,171,3009.36,3351.95,21.0851
29.4685,172,2514.06,3389.46,31.446
31.5861,173,2280.4,3325.95,29.3031
32.0249,174,3173.4,3339.4,21.8228
28.3576,175,3303.95,3340.52,18.3799
30.6992,176,2494.72,3387.88,42.6643
31.8845,177,3091.17,3346.0,24.0359
31.6568,178,3264.13,3364.56,20.4769
32.6831,179,3296.19,3317.46,20.6141
31.9297,180,2951.93,3373.51,19.254
31.3783,181,2985.66,3380.39,23.8124
29.7618,182,2546.87,3400.45,27.7412
30.2093,183,2984.16,3365.5,17.7905
31.1441,184,2054.16,3394.9,27.2852
29.6986,185,1649.85,3356.18,29.9779
28.4036,186,3080.08,3361.12,20.4783
28.0322,187,3250.88,3362.43,15.8364
30.2602,188,3266.16,3276.27,19.286
31.6343,189,3236.13,3304.97,20.6745
29.9929,190,3108.43,3363.27,17.6849
29.9416,191,2409.4,3311.75,22.2571
31.201,192,2239.03,3373.85,23.0454
30.7352,193,3309.69,3336.43,19.4637
31.5264,194,3349.05,3302.39,20.2652
31.3096,195,3332.71,3279.45,19.6897
31.3238,196,3308.07,3287.39,19.7982
31.2779,197,3238.22,3268.22,18.0666
29.4694,198,3287.46,3328.15,17.1676
32.7384,199,3280.93,3272.91,20.1209
