Real Sto Return,Running Forward KL,Reward Loss,Itration,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL
-108.71,158.5666,3.234386444091797,0,0,-117.42,0,11.8733
-156.74,158.3809,34.940330505371094,1,1,-50.6,5000,12.5379
43.3,158.3946,-69.87940979003906,2,2,-115.69,10000,13.341
198.75,158.3038,-14.464437484741211,3,3,86.1,15000,12.6897
606.4,158.0871,-57.59751892089844,4,4,1025.61,20000,14.3693
693.25,157.9188,-65.06771087646484,5,5,858.82,25000,14.5607
648.89,158.0594,-108.23065185546875,6,6,1158.01,30000,14.7264
757.92,157.8295,-115.11713409423828,7,7,1193.98,35000,15.281
815.24,157.7873,-172.1929931640625,8,8,839.57,40000,14.9427
862.36,157.8526,-222.92483520507812,9,9,1227.3,45000,15.3257
948.15,157.6979,-231.56875610351562,10,10,1273.2,50000,15.2045
969.64,158.0157,-292.4948425292969,11,11,1356.53,55000,15.1875
991.66,158.2528,-353.66778564453125,12,12,1355.72,60000,15.488
986.3,158.0736,-366.16766357421875,13,13,1335.31,65000,15.6079
1055.82,158.1256,-405.0566101074219,14,14,1378.27,70000,15.7058
1085.36,158.0768,-448.719970703125,15,15,1507.05,75000,15.4492
1095.08,158.0595,-487.0205383300781,16,16,1547.63,80000,16.0872
1120.11,157.8009,-511.573486328125,17,17,1521.95,85000,15.6154
1104.56,157.6539,-540.6315307617188,18,18,1514.03,90000,15.6604
194.74,157.6049,-459.9375,19,19,223.67,95000,17.5443
7.14,157.7087,-459.1138916015625,20,20,-12.64,100000,15.1949
752.41,157.8044,-634.18701171875,21,21,1212.22,105000,14.8723
1025.0,157.9809,-669.2904663085938,22,22,308.41,110000,15.6952
1191.59,158.1399,-707.8009033203125,23,23,1437.48,115000,16.2933
1236.61,158.1639,-744.022705078125,24,24,1613.86,120000,16.3473
1250.04,157.7448,-776.13818359375,25,25,1738.4,125000,16.14
1339.09,157.9452,-806.5664672851562,26,26,1747.68,130000,16.3315
1360.37,157.9756,-856.7536010742188,27,27,1725.24,135000,16.1785
1394.01,158.0622,-884.1367797851562,28,28,1737.14,140000,16.3861
1414.11,157.7788,-925.1385498046875,29,29,1820.15,145000,16.213
1456.77,157.8168,-937.434326171875,30,30,1823.39,150000,16.6606
1446.35,157.3874,-973.8701171875,31,31,1858.33,155000,16.0124
1465.75,157.9762,-1025.066162109375,32,32,1823.87,160000,16.3207
1508.76,157.5238,-1050.6859130859375,33,33,1862.12,165000,16.3405
1493.02,157.5455,-1081.030517578125,34,34,1870.02,170000,16.2998
1493.72,157.3923,-1106.8924560546875,35,35,1890.02,175000,15.9055
1458.57,157.5663,-1152.123291015625,36,36,1842.61,180000,15.6822
1513.55,157.4518,-1168.15576171875,37,37,1915.63,185000,16.2466
1555.81,157.5796,-1236.47900390625,38,38,1904.08,190000,15.9822
1545.39,157.4847,-1257.667236328125,39,39,1851.7,195000,15.8865
1570.07,157.1115,-1280.843017578125,40,40,1955.77,200000,15.9972
1545.19,157.1885,-1330.4395751953125,41,41,1905.83,205000,15.7916
1568.75,157.3948,-1361.2596435546875,42,42,1931.84,210000,15.9412
1548.27,157.3232,-1403.5299072265625,43,43,1871.76,215000,15.6566
1574.31,157.034,-1412.2310791015625,44,44,1930.89,220000,15.5347
1593.92,157.2348,-1468.4515380859375,45,45,1890.13,225000,16.0415
1554.22,157.285,-1479.5947265625,46,46,1922.12,230000,15.5289
1622.23,157.3324,-1501.5716552734375,47,47,1957.98,235000,16.0013
1648.32,157.0715,-1554.1917724609375,48,48,1999.41,240000,16.3558
1596.8,157.1939,-1570.986328125,49,49,1920.62,245000,15.7987
1594.62,157.211,-1628.256591796875,50,50,2001.08,250000,16.247
1655.21,157.2238,-1639.14404296875,51,51,2035.97,255000,16.0063
1620.78,157.2277,-1705.5079345703125,52,52,1938.49,260000,15.5086
1604.6,157.1279,-1711.48779296875,53,53,1942.6,265000,16.1079
1613.9,156.944,-1736.866455078125,54,54,2016.19,270000,15.7535
1648.31,157.1094,-1799.916015625,55,55,2030.8,275000,16.1803
1637.85,156.8757,-1844.2899169921875,56,56,1940.0,280000,15.4795
1652.54,157.2811,-1851.27734375,57,57,1974.1,285000,15.9767
1663.57,157.198,-1902.7967529296875,58,58,2060.06,290000,15.8821
1689.07,156.9202,-1912.9915771484375,59,59,2052.86,295000,15.8037
1642.92,157.1307,-1951.6527099609375,60,60,1966.84,300000,15.5518
1670.63,157.2424,-1995.990234375,61,61,2027.78,305000,16.0521
1679.73,156.9486,-2015.8040771484375,62,62,2024.39,310000,15.5616
1703.36,156.936,-2036.4552001953125,63,63,2081.6,315000,15.8097
1695.13,156.8371,-2076.7587890625,64,64,2044.57,320000,15.9212
1708.57,157.1082,-2144.765869140625,65,65,2064.46,325000,15.8891
1681.34,157.02,-2178.72607421875,66,66,2033.74,330000,15.9296
1666.91,156.8761,-2215.265380859375,67,67,1954.62,335000,15.4256
1631.5,156.9767,-2274.94921875,68,68,1980.62,340000,15.4268
1704.14,156.9531,-2263.26611328125,69,69,2044.52,345000,15.5184
1691.54,156.9872,-2315.77001953125,70,70,1996.98,350000,15.4858
1660.25,156.9564,-2337.29541015625,71,71,1988.18,355000,15.5474
1718.94,156.9694,-2357.203125,72,72,2088.41,360000,15.9175
1765.19,156.9138,-2387.43798828125,73,73,2117.91,365000,16.2651
1764.98,156.7806,-2408.177978515625,74,74,2078.57,370000,15.8388
1716.22,156.8049,-2442.94287109375,75,75,2041.94,375000,15.7799
1652.45,156.9817,-2506.640380859375,76,76,2009.62,380000,15.5084
1702.35,156.8044,-2552.587890625,77,77,2019.09,385000,15.4426
1733.43,156.9866,-2615.33642578125,78,78,2104.97,390000,15.859
1735.52,156.9633,-2641.763427734375,79,79,2101.25,395000,15.8187
1692.46,157.0548,-2693.5986328125,80,80,2081.84,400000,15.5803
1733.62,156.9026,-2724.4287109375,81,81,2067.79,405000,15.7012
1726.51,156.9394,-2745.782470703125,82,82,2083.78,410000,15.8373
1718.86,156.9144,-2788.9365234375,83,83,2065.99,415000,15.5643
1705.24,156.8292,-2808.756103515625,84,84,2098.8,420000,15.3944
1700.24,156.9735,-2869.897216796875,85,85,2099.4,425000,15.588
1689.55,156.8136,-2894.2861328125,86,86,2009.4,430000,15.2189
1751.41,156.9304,-2942.59765625,87,87,2103.07,435000,15.6065
1733.73,156.8313,-2967.308349609375,88,88,2082.56,440000,15.6833
1727.63,156.8666,-3025.0078125,89,89,2065.37,445000,15.3223
1739.71,156.74,-3039.771484375,90,90,2076.2,450000,15.2699
1758.9,156.7188,-3066.7080078125,91,91,2100.89,455000,15.6595
1787.52,156.657,-3133.663818359375,92,92,2139.75,460000,15.6342
1730.25,156.7914,-3160.963134765625,93,93,2023.62,465000,15.3963
1787.68,156.9546,-3186.893798828125,94,94,2109.97,470000,15.593
1790.77,156.7366,-3220.010986328125,95,95,2139.09,475000,15.6236
1776.01,156.8644,-3267.609619140625,96,96,2120.15,480000,15.5074
1758.69,156.7564,-3343.531982421875,97,97,2128.68,485000,15.4213
1770.17,156.9165,-3368.64453125,98,98,2070.78,490000,15.5715
1764.17,156.8597,-3399.3720703125,99,99,2127.98,495000,15.4328
1753.25,156.9857,-3483.72314453125,100,100,2112.32,500000,15.6546
1789.59,156.6971,-3491.65771484375,101,101,2145.18,505000,15.4147
1732.46,156.6497,-3541.819091796875,102,102,2067.0,510000,15.0572
1818.5,156.941,-3592.212158203125,103,103,2141.94,515000,15.8486
1795.71,156.815,-3632.3505859375,104,104,2142.98,520000,15.5207
1766.68,156.6939,-3619.3603515625,105,105,2093.66,525000,15.3326
1781.82,156.7206,-3734.337890625,106,106,2119.41,530000,15.5161
1778.74,156.7079,-3743.40673828125,107,107,2179.18,535000,15.4595
1763.79,156.632,-3818.712646484375,108,108,2114.28,540000,15.2459
