Running Env Steps,Reward Loss,Real Det Return,Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Running Update Time
0,20.945213317871094,210.17,0,75.7339,24.9215,-62.37,0
5000,-2.6132612228393555,210.0,1,74.6569,25.7103,-72.33,1
10000,-14.383331298828125,355.35,2,74.0397,24.6947,-62.37,2
15000,-27.050674438476562,584.4,3,73.089,24.9249,-66.54,3
20000,-48.02274703979492,572.28,4,73.7493,26.0858,14.65,4
25000,-56.357078552246094,555.16,5,73.1559,26.1959,-3.84,5
30000,-72.93267059326172,833.03,6,71.4556,26.804,92.9,6
35000,-86.75048065185547,635.8,7,71.114,28.0466,76.36,7
40000,-103.04631805419922,548.26,8,71.2891,28.9283,72.12,8
45000,-117.09131622314453,713.88,9,70.7186,28.123,106.55,9
50000,-125.58281707763672,879.21,10,71.4836,29.2861,133.08,10
55000,-138.27914428710938,853.88,11,68.2587,29.0514,193.89,11
60000,-154.978271484375,880.35,12,66.7747,29.1681,234.92,12
65000,-162.6912384033203,595.93,13,67.9251,28.3084,175.52,13
70000,-174.38723754882812,737.86,14,68.2092,29.1571,205.66,14
75000,-189.9444122314453,563.65,15,66.1981,27.9592,98.27,15
80000,-197.99810791015625,552.59,16,65.2371,28.6285,128.52,16
85000,-215.7666473388672,647.47,17,67.5485,29.1713,177.67,17
90000,-234.04940795898438,587.71,18,69.6146,30.4787,191.09,18
95000,-245.24562072753906,694.04,19,69.4741,29.4674,288.01,19
100000,-255.42465209960938,723.9,20,68.4423,29.2731,210.82,20
105000,-271.54083251953125,532.58,21,69.9217,30.4425,147.15,21
110000,-287.76806640625,474.22,22,72.6591,30.4658,153.67,22
115000,-276.41827392578125,1079.29,23,62.6169,27.6431,475.86,23
120000,-281.91314697265625,1334.37,24,61.4131,26.4967,460.1,24
125000,-325.91558837890625,815.73,25,67.9454,29.9411,237.68,25
130000,-312.4088134765625,943.75,26,61.4038,26.3749,432.25,26
135000,-321.0849304199219,917.7,27,61.0208,26.5788,347.93,27
140000,-337.1927795410156,1020.63,28,63.7538,27.8034,483.28,28
145000,-352.29278564453125,1426.99,29,62.5051,27.4576,432.68,29
150000,-382.06658935546875,780.45,30,66.6577,28.8246,315.06,30
155000,-385.4263610839844,930.38,31,65.2757,27.6115,359.94,31
160000,-372.38739013671875,1427.56,32,59.1861,25.4819,731.48,32
