Real Det Return,Real Sto Return,Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Itration,Running Forward KL
-8.54,-212.46,0,11.7125,0,478.7178649902344,0,158.6851
-167.45,-90.63,1,12.9607,5000,332.7945556640625,1,158.8363
42.4,5.35,2,11.9479,10000,360.7471008300781,2,158.3673
745.06,242.68,3,12.9159,15000,360.50628662109375,3,158.4271
888.18,502.1,4,14.3925,20000,368.6676025390625,4,158.3335
985.19,558.04,5,14.5793,25000,398.7032470703125,5,158.2128
1050.4,731.58,6,15.2537,30000,360.736572265625,6,158.071
1048.72,811.04,7,14.6702,35000,281.0158996582031,7,157.9932
1215.35,873.67,8,15.0578,40000,189.6497039794922,8,157.7489
1447.48,1057.52,9,16.0393,45000,184.8542938232422,9,157.936
1550.86,1098.65,10,15.999,50000,128.10403442382812,10,157.5075
1538.95,1144.73,11,16.6016,55000,56.183189392089844,11,157.5983
1542.32,1133.66,12,15.8059,60000,-7.975399494171143,12,157.6248
1652.36,1250.77,13,16.3677,65000,15.136421203613281,13,157.539
1717.39,1281.43,14,16.365,70000,-14.829217910766602,14,157.3844
1722.57,1269.11,15,16.2694,75000,-56.461273193359375,15,157.5106
1789.06,1344.21,16,16.2578,80000,-103.48796844482422,16,157.3958
1750.77,1358.34,17,16.5234,85000,-172.2740478515625,17,157.4376
1788.36,1372.79,18,16.1342,90000,-203.9256134033203,18,157.6245
1802.54,1399.81,19,15.9356,95000,-250.0820770263672,19,157.6334
1856.59,1463.41,20,16.0429,100000,-307.3712463378906,20,157.5179
1845.82,1475.02,21,16.1417,105000,-336.50750732421875,21,157.5363
1848.28,1510.22,22,16.0809,110000,-390.82110595703125,22,157.6751
1900.57,1541.78,23,16.1043,115000,-425.1322021484375,23,157.5463
1837.47,1533.93,24,16.1358,120000,-467.98431396484375,24,157.5179
1914.44,1573.0,25,16.4142,125000,-518.2543334960938,25,157.5873
1886.71,1577.43,26,15.9295,130000,-551.7200927734375,26,157.3247
1875.05,1577.9,27,15.7642,135000,-605.4111938476562,27,157.4264
1837.43,1551.5,28,15.9813,140000,-638.6565551757812,28,157.4003
2023.92,1624.99,29,16.1952,145000,-655.6812133789062,29,157.3555
1862.38,1565.76,30,15.9512,150000,-733.3123779296875,30,157.1856
1979.33,1637.67,31,16.0954,155000,-757.22802734375,31,157.3594
1905.36,1585.21,32,15.4997,160000,-794.8358154296875,32,157.2922
1939.59,1613.11,33,16.1847,165000,-844.5222778320312,33,157.5149
1981.29,1625.24,34,15.8533,170000,-869.6705322265625,34,157.1445
2001.24,1675.38,35,16.0614,175000,-916.7800903320312,35,157.141
2026.03,1685.93,36,15.858,180000,-965.200927734375,36,157.134
1986.13,1704.22,37,16.0595,185000,-992.93798828125,37,156.9828
2051.58,1697.93,38,15.9375,190000,-1027.885498046875,38,157.1318
2016.19,1681.59,39,15.7579,195000,-1093.6121826171875,39,157.0618
1969.15,1665.0,40,15.8432,200000,-1128.5125732421875,40,157.158
2079.89,1713.27,41,15.7563,205000,-1154.5430908203125,41,156.7899
1970.12,1654.86,42,15.4934,210000,-1205.9173583984375,42,156.8937
2039.23,1703.57,43,16.1408,215000,-1247.4700927734375,43,157.1911
2017.04,1702.37,44,15.7656,220000,-1282.107177734375,44,156.9005
2066.26,1722.85,45,15.91,225000,-1310.736328125,45,157.2022
2096.06,1753.75,46,15.8022,230000,-1338.3145751953125,46,156.8874
2064.77,1729.84,47,16.0484,235000,-1403.991455078125,47,157.053
2000.65,1679.96,48,15.4701,240000,-1437.8787841796875,48,156.8294
2085.63,1732.35,49,15.8435,245000,-1475.01611328125,49,156.9214
1996.59,1709.93,50,15.6789,250000,-1527.9595947265625,50,156.8028
2063.0,1725.29,51,15.7984,255000,-1552.6270751953125,51,156.9787
2132.92,1761.61,52,15.7144,260000,-1590.8759765625,52,156.9071
2098.59,1727.39,53,15.7032,265000,-1628.6024169921875,53,156.7397
2086.02,1754.95,54,15.8099,270000,-1682.9349365234375,54,156.8926
2109.74,1740.29,55,15.7681,275000,-1688.52978515625,55,156.7358
2083.87,1791.33,56,15.8003,280000,-1755.738037109375,56,156.8564
2065.81,1738.0,57,15.6756,285000,-1801.488037109375,57,156.9629
