Running Reverse KL,Real Sto Return,Itration,Real Det Return,Running Forward KL
310.1278,300.18,0,262.01,462.1735
307.0134,286.84,1,285.29,464.3274
262.6339,344.24,2,409.56,450.886
238.893,427.46,3,490.66,413.2752
253.2964,409.62,4,424.38,425.6862
264.1566,333.82,5,337.14,419.6329
233.3185,428.14,6,445.42,411.9658
249.6739,439.37,7,473.11,422.6513
246.0808,430.45,8,410.06,410.01
229.8002,484.2,9,572.29,411.0253
243.1695,444.45,10,483.61,402.6049
231.5818,494.14,11,551.15,388.7206
240.6957,523.75,12,535.62,398.6318
224.9095,591.66,13,580.14,389.7796
273.3142,579.14,14,519.4,400.9163
257.4966,539.81,15,567.32,390.7564
239.746,452.75,16,437.96,397.6441
246.4141,489.83,17,509.7,405.8829
230.9717,588.41,18,578.92,388.1788
230.3463,589.68,19,565.01,381.9562
235.7845,550.86,20,474.78,391.4201
239.4697,735.15,21,575.25,377.7981
235.7798,702.02,22,625.37,370.9478
234.6623,628.44,23,652.31,374.5219
239.0338,669.54,24,658.92,349.0925
233.5282,652.18,25,529.52,368.9426
219.3632,907.79,26,664.04,368.7034
223.9422,849.28,27,503.18,358.6337
222.2571,884.22,28,500.38,356.4852
226.9668,946.61,29,528.35,359.0605
220.4182,964.12,30,481.94,337.7811
243.8662,784.18,31,482.37,354.8989
232.3412,926.95,32,490.7,370.019
232.0045,960.19,33,447.66,360.7612
208.4678,1146.8,34,919.94,345.314
229.1054,809.9,35,615.56,360.6468
207.347,1084.38,36,660.25,350.643
199.2436,1164.28,37,472.3,352.432
201.0252,1041.59,38,450.5,341.1075
198.6946,1170.49,39,657.41,334.3162
178.6051,1429.06,40,953.72,322.4656
205.3778,1099.78,41,524.58,337.4616
208.045,887.43,42,710.01,361.0292
200.0129,1691.58,43,704.31,346.0807
201.2879,1370.99,44,703.13,347.9194
185.0033,1768.94,45,688.06,332.2205
205.2914,1513.97,46,494.06,338.4242
139.2156,2218.83,47,659.69,304.8287
159.5772,1915.98,48,533.65,320.428
143.6887,1881.22,49,549.27,305.9663
185.0715,2297.39,50,705.17,322.7649
221.9993,1357.86,51,637.93,342.8625
156.2341,1888.9,52,2041.54,309.1599
189.9842,1752.38,53,3822.68,319.0341
154.4334,2158.11,54,1119.21,302.5293
177.761,1367.41,55,1384.0,316.5844
151.045,2086.67,56,1467.97,301.8874
145.6786,2484.7,57,1321.85,293.5515
156.9904,1815.09,58,1928.38,305.8565
115.7236,3127.06,59,670.36,287.3206
173.3725,2175.69,60,1156.75,320.3648
152.2365,2238.85,61,2343.49,309.7695
179.6905,1681.08,62,1453.24,316.0191
122.2859,2878.57,63,935.07,284.93
108.5885,3445.92,64,3522.84,295.8011
227.6043,2180.24,65,2062.77,334.2551
199.8402,2961.9,66,1017.52,334.221
125.8963,2779.93,67,1629.13,292.9406
123.7759,3190.15,68,1900.07,279.635
189.1773,2841.47,69,1349.58,331.244
186.8818,2571.51,70,1298.36,330.2387
148.6086,4014.28,71,3301.25,303.8829
127.0389,3434.39,72,3621.7,308.6662
93.496,4464.75,73,3003.76,287.68
74.9347,3790.0,74,3379.19,271.8556
123.2829,3631.37,75,3770.97,315.8716
145.9369,3379.59,76,2190.01,324.1518
108.9166,4294.77,77,3032.04,301.6551
94.6997,3882.92,78,2755.9,291.0413
82.8974,4481.78,79,2620.63,272.3202
110.0723,4232.76,80,3824.23,304.1168
141.3045,4616.1,81,3699.73,304.1762
101.9041,5023.67,82,4476.75,299.8382
117.7226,4349.77,83,4248.36,297.8581
98.9676,4598.77,84,3877.97,307.553
117.4423,4563.79,85,4925.67,309.2535
103.8427,4023.15,86,3487.96,297.9855
97.0365,4030.55,87,2242.67,299.2045
103.7794,4703.6,88,3413.81,294.5403
107.0515,3751.59,89,4678.5,309.5561
110.7979,4038.39,90,4374.4,310.1965
108.8084,4504.56,91,3246.33,304.5641
130.7251,3879.5,92,1883.63,311.8039
125.8829,3127.93,93,3866.58,318.4243
119.6549,3809.39,94,4714.3,302.8207
110.5425,3714.09,95,4663.51,310.1108
125.0841,4074.95,96,4579.01,310.7995
182.8912,3209.87,97,3673.27,326.023
150.7998,3850.36,98,3798.54,322.1164
151.7838,2775.95,99,1927.48,320.4449
123.7773,3534.37,100,2748.87,320.6703
124.928,3411.87,101,2007.18,300.6954
101.9462,4923.76,102,4295.08,303.3771
219.8954,1667.44,103,1473.84,347.9782
133.6416,4359.31,104,5068.91,299.7141
131.197,3989.93,105,4247.48,321.045
85.6883,4264.75,106,4952.82,281.3274
108.2054,4541.86,107,4913.31,297.2196
115.1283,3395.39,108,1782.47,318.0759
154.3442,3463.17,109,2388.39,326.4202
112.8148,4204.77,110,4999.81,307.7502
102.589,4976.18,111,4865.27,304.943
116.8396,4841.18,112,4947.06,310.4039
140.1053,4412.69,113,4660.43,326.3591
114.2521,4842.21,114,4556.51,303.3404
114.8497,4768.65,115,4797.18,309.3592
94.5771,5068.6,116,5061.16,293.2007
