Running Forward KL,Itration,Real Det Return,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss
49.1616,0,344.61,12.7201,0,0,369.31,178.98631286621094
49.1564,1,427.96,14.5398,5000,1,437.41,70.7610855102539
48.8046,2,418.05,19.463,10000,2,413.87,13.4717378616333
48.9607,3,371.45,15.6095,15000,3,325.69,59.28824996948242
49.9653,4,375.43,23.8416,20000,4,378.81,-8.97236156463623
48.8074,5,408.37,16.0534,25000,5,431.02,103.1999740600586
48.4448,6,822.31,13.1025,30000,6,617.91,154.00489807128906
47.9333,7,977.45,12.8601,35000,7,678.69,87.64454650878906
48.1828,8,477.38,18.6019,40000,8,844.31,70.92030334472656
46.549,9,1140.1,28.4735,45000,9,886.87,-23.484617233276367
47.0351,10,1790.24,14.1617,50000,10,1218.91,59.49582290649414
46.9555,11,422.55,15.4867,55000,11,636.63,-25.627389907836914
55.1335,12,-19.55,58.1287,60000,12,-3.97,-164.3373260498047
51.6124,13,29.16,36.0366,65000,13,80.14,-57.00764083862305
50.4524,14,292.77,23.5595,70000,14,251.57,-90.4466781616211
54.3545,15,45.0,27.1551,75000,15,46.93,-86.94672393798828
53.2293,16,75.69,27.3162,80000,16,92.18,-81.03925323486328
51.3893,17,867.04,39.3191,85000,17,779.9,-103.50810241699219
48.9703,18,11.73,20.4464,90000,18,371.83,-55.27028274536133
51.3132,19,355.72,62.4807,95000,19,347.75,-214.14697265625
50.1176,20,551.01,41.7788,100000,20,633.35,-173.15977478027344
49.2283,21,738.37,24.3614,105000,21,835.62,-115.64260864257812
52.0902,22,409.52,75.157,110000,22,413.16,-250.76568603515625
50.6973,23,433.81,28.3389,115000,23,637.95,-178.19955444335938
49.812,24,1755.48,40.9457,120000,24,1482.42,-175.5651397705078
48.7659,25,992.92,32.9982,125000,25,981.04,-143.50408935546875
48.7128,26,791.42,23.4926,130000,26,587.09,-109.994873046875
55.6287,27,1005.02,36.4682,135000,27,1004.58,-256.84490966796875
54.5048,28,1005.79,40.4891,140000,28,958.25,-215.1193084716797
51.5686,29,708.95,33.8123,145000,29,393.26,-197.7796630859375
56.7202,30,6.44,99.5971,150000,30,15.11,-356.811767578125
55.8471,31,-30.38,72.4742,155000,31,-29.88,-312.38836669921875
53.22,32,265.56,34.8719,160000,32,418.67,-271.1406555175781
49.6409,33,1147.63,20.5863,165000,33,1000.53,-134.02391052246094
51.1297,34,323.36,43.5719,170000,34,325.2,-261.49273681640625
49.2158,35,861.13,18.2185,175000,35,911.28,-188.41647338867188
53.3303,36,1006.0,31.45,180000,36,1002.81,-329.2814636230469
53.8272,37,910.67,32.8998,185000,37,961.05,-324.4915466308594
51.1034,38,625.98,57.1439,190000,38,381.7,-419.4180603027344
50.7789,39,492.49,48.3113,195000,39,384.11,-385.1429443359375
54.0146,40,1010.26,28.961,200000,40,992.02,-313.2232971191406
55.6281,41,1000.58,46.2528,205000,41,995.14,-380.6611633300781
55.053,42,-6.98,80.7114,210000,42,-7.85,-469.2294006347656
57.0096,43,20.79,93.1604,215000,43,18.6,-529.5892944335938
54.7108,44,911.2,31.2109,220000,44,728.86,-382.0155029296875
52.9782,45,57.68,59.4609,225000,45,54.38,-371.6950378417969
52.2991,46,492.85,40.3229,230000,46,543.68,-437.9273376464844
50.5425,47,617.77,23.1001,235000,47,439.8,-296.9061584472656
47.8707,48,934.57,23.3532,240000,48,812.73,-309.15887451171875
55.2557,49,1030.66,52.5108,245000,49,1031.91,-546.19970703125
55.9665,50,1019.72,51.5016,250000,50,1019.98,-545.6420288085938
55.922,51,1026.63,37.1899,255000,51,1045.44,-503.46826171875
49.4557,52,849.58,21.1885,260000,52,760.82,-325.69134521484375
56.9964,53,1008.28,55.8766,265000,53,1006.85,-552.2921142578125
52.4268,54,1042.0,46.2403,270000,54,1092.97,-531.920166015625
49.9252,55,742.31,31.4806,275000,55,701.23,-422.184326171875
50.0745,56,495.8,29.7794,280000,56,443.99,-313.3836364746094
49.467,57,673.0,24.9331,285000,57,517.1,-469.70697021484375
49.1794,58,554.46,19.1616,290000,58,585.86,-391.7420654296875
52.5579,59,38.03,145.5922,295000,59,40.63,-666.2346801757812
53.0894,60,28.89,28.366,300000,60,40.66,-361.3357238769531
56.0,61,1.38,80.7357,305000,61,2.65,-585.8842163085938
53.6634,62,-4.13,23.2622,310000,62,1.17,-498.3206481933594
52.9433,63,225.54,51.3172,315000,63,387.52,-705.2652587890625
51.4852,64,208.65,48.5024,320000,64,169.57,-667.6271362304688
52.7518,65,1037.7,43.9659,325000,65,1051.22,-654.4436645507812
50.4548,66,731.2,95.813,330000,66,549.99,-687.205322265625
54.8981,67,-24.72,84.2157,335000,67,-25.06,-700.1439208984375
55.9457,68,-8.56,87.93,340000,68,-8.72,-712.7846069335938
50.1491,69,905.05,28.4386,345000,69,737.46,-552.2060546875
50.6817,70,580.7,33.2832,350000,70,582.15,-555.8369750976562
51.5722,71,1043.14,49.0098,355000,71,811.66,-708.376708984375
50.9171,72,848.77,34.4616,360000,72,854.37,-673.263671875
52.4845,73,480.94,49.3182,365000,73,589.28,-698.3285522460938
