Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return
27.1144,45.327823638916016,74.4736,0,0,0,-61.01,376.13
28.6672,42.264530181884766,74.2905,1,5000,1,-44.75,408.32
27.7015,28.71752166748047,74.5076,2,10000,2,-18.97,358.56
27.8479,19.326032638549805,70.9021,3,15000,3,3.87,415.74
29.992,2.0403618812561035,71.8333,4,20000,4,42.46,551.0
29.7923,-5.689345359802246,71.5143,5,25000,5,92.93,753.06
31.1168,-17.495271682739258,73.6147,6,30000,6,127.28,756.92
32.7412,-29.09986686706543,73.4218,7,35000,7,158.1,707.35
32.5819,-38.91012191772461,72.9068,8,40000,8,135.21,696.14
33.0152,-54.48330307006836,74.1905,9,45000,9,195.72,814.56
32.2067,-61.83382034301758,70.7856,10,50000,10,171.83,726.07
32.9928,-72.3837661743164,71.6245,11,55000,11,216.86,943.51
32.6222,-86.64027404785156,71.4789,12,60000,12,201.14,935.71
32.091,-99.92582702636719,71.068,13,65000,13,237.52,800.23
29.962,-108.19381713867188,68.618,14,70000,14,250.32,815.07
31.3343,-124.62931823730469,71.8262,15,75000,15,243.75,962.14
31.0626,-140.2295684814453,72.7144,16,80000,16,200.66,774.8
30.7787,-147.51893615722656,69.8239,17,85000,17,268.37,902.55
30.4569,-153.89964294433594,69.131,18,90000,18,235.77,746.28
30.6582,-171.53939819335938,69.4864,19,95000,19,227.6,910.03
31.3026,-188.05911254882812,72.5632,20,100000,20,188.11,810.13
30.4452,-194.99554443359375,70.3318,21,105000,21,197.76,662.9
30.6032,-205.277099609375,69.4803,22,110000,22,255.28,706.38
30.3141,-218.4397430419922,70.0244,23,115000,23,229.1,851.68
30.9493,-231.15867614746094,71.7517,24,120000,24,206.02,973.76
31.3335,-248.7051544189453,71.4986,25,125000,25,272.75,910.68
30.8973,-262.2317199707031,70.5061,26,130000,26,255.0,989.51
30.4219,-267.44012451171875,70.7628,27,135000,27,228.65,1031.83
30.2842,-283.29437255859375,70.1176,28,140000,28,335.68,985.12
29.6617,-290.5799255371094,67.9634,29,145000,29,211.93,802.54
29.5627,-300.8651123046875,68.3338,30,150000,30,352.06,968.04
