Running Forward KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Running Update Time,Reward Loss,Running Reverse KL
158.5529,0,-27.49,0,-199.3,0,205.3450927734375,11.4933
158.2478,1,18.51,5000,-48.87,1,178.66087341308594,11.4864
157.7341,2,523.76,10000,126.34,2,153.03892517089844,10.9855
157.8464,3,781.49,15000,363.66,3,74.52200317382812,12.4436
157.8832,4,825.31,20000,505.6,4,30.467689514160156,13.0513
157.7883,5,1007.31,25000,591.46,5,24.674415588378906,13.5611
157.9161,6,1042.02,30000,697.81,6,0.9265542030334473,14.2417
158.039,7,1134.52,35000,788.41,7,-17.961158752441406,14.7076
157.9409,8,1293.96,40000,891.77,8,-49.04911804199219,15.1582
157.6876,9,1518.78,45000,1055.5,9,-70.44232177734375,15.4909
157.747,10,1533.38,50000,999.18,10,-107.7525634765625,15.5761
157.8251,11,1600.53,55000,1172.95,11,-125.82181549072266,16.2881
157.6292,12,1651.09,60000,1237.95,12,-179.01727294921875,15.7843
157.6515,13,1693.64,65000,1275.53,13,-199.1466522216797,16.0184
157.7125,14,1766.67,70000,1303.9,14,-224.06396484375,15.844
157.7572,15,1808.17,75000,1340.31,15,-246.4272003173828,15.9915
157.597,16,1814.77,80000,1346.98,16,-281.5369567871094,15.8684
157.6144,17,1811.17,85000,1322.69,17,-319.0272216796875,15.6759
157.6405,18,1804.87,90000,1406.86,18,-343.5433044433594,16.0335
157.6115,19,1814.59,95000,1361.67,19,-384.9448547363281,15.741
157.5766,20,1817.46,100000,1491.48,20,-412.1278991699219,15.8645
157.6466,21,1889.82,105000,1541.92,21,-432.047607421875,16.1667
157.5149,22,1852.83,110000,1510.37,22,-470.5191955566406,15.8121
157.4219,23,1887.77,115000,1536.46,23,-503.51702880859375,15.7819
