Itration,Running Forward KL,Real Det Return,Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps
0,49.0474,299.72,12.05,159.17489624023438,319.71,0,0
1,49.2139,259.07,17.577,-33.93682861328125,284.57,1,5000
2,50.2323,314.95,18.0857,157.3112335205078,370.5,2,10000
3,49.6366,311.67,14.1466,119.39334869384766,326.66,3,15000
4,49.167,382.8,19.0311,63.69501495361328,368.21,4,20000
5,49.4809,422.75,13.8985,148.48587036132812,413.15,5,25000
6,49.4339,356.86,28.1642,56.21799850463867,386.95,6,30000
7,49.5226,446.67,30.1446,-45.69229507446289,404.79,7,35000
8,49.3318,450.17,18.9851,41.34282302856445,434.73,8,40000
9,48.817,562.04,17.7516,91.59410095214844,555.22,9,45000
10,48.6055,552.94,16.7254,64.18383026123047,475.25,10,50000
11,48.7261,637.54,16.3663,75.64544677734375,573.83,11,55000
12,48.3971,615.1,17.33,70.6325454711914,594.12,12,60000
13,47.9199,653.19,19.018,94.80387115478516,602.77,13,65000
14,47.9422,641.46,23.7138,73.32160949707031,612.46,14,70000
15,48.2194,646.53,47.4929,-153.3812255859375,572.73,15,75000
16,48.1757,667.18,55.0273,-174.86700439453125,600.88,16,80000
17,48.3344,638.62,37.3715,-204.14646911621094,551.21,17,85000
18,47.862,717.99,34.6,-149.85626220703125,644.46,18,90000
19,47.5296,810.76,50.9198,-236.01553344726562,668.42,19,95000
20,47.5011,853.45,44.5849,-226.6361083984375,798.61,20,100000
21,47.7205,918.42,59.5256,-299.6813049316406,809.2,21,105000
22,47.7804,929.19,55.958,-276.5718688964844,796.37,22,110000
23,47.1591,838.33,79.7101,-274.3233947753906,783.09,23,115000
24,47.0286,838.27,65.9414,-332.37677001953125,859.46,24,120000
25,47.4896,822.93,62.0555,-313.7281188964844,823.23,25,125000
26,47.3844,1043.65,54.1553,-307.08831787109375,902.98,26,130000
27,47.837,859.85,67.3629,-311.006591796875,805.05,27,135000
28,46.9895,999.56,56.7507,-310.947265625,929.61,28,140000
29,46.7044,992.62,30.084,-267.8665466308594,865.47,29,145000
30,46.969,1061.16,23.6114,-241.63787841796875,931.44,30,150000
