Reward Loss,Real Sto Return,Real Det Return,Itration,Running Reverse KL,Running Env Steps,Running Forward KL,Running Update Time
406.10675048828125,201.33,202.29,0,17.0492,0,32.3684,0
552.3348999023438,275.72,275.09,1,14.963,5000,31.4854,1
424.9449768066406,166.94,59.86,2,14.9464,10000,30.3635,2
777.3822631835938,277.33,248.62,3,35.5076,15000,30.273,3
667.6546630859375,426.57,447.05,4,60.9869,20000,26.5445,4
504.1136779785156,259.24,394.41,5,37.6091,25000,30.0395,5
393.1298828125,396.55,424.09,6,55.2251,30000,27.315,6
419.3091125488281,553.32,588.39,7,130.7565,35000,27.611,7
-154.7823944091797,8.79,9.14,8,127.1245,40000,36.6967,8
-74.8488998413086,938.21,1036.5,9,26.6572,45000,36.4646,9
-296.3297119140625,-2.36,-2.47,10,61.0093,50000,36.5206,10
-442.3108825683594,110.08,109.21,11,108.8614,55000,31.5245,11
-232.93955993652344,128.72,114.4,12,26.4538,60000,31.9735,12
-605.7074584960938,232.57,237.49,13,51.0612,65000,31.987,13
-76.6719741821289,449.71,450.54,14,20.4704,70000,26.5673,14
87.67681884765625,630.84,661.75,15,55.7225,75000,26.9376,15
-1.3848085403442383,428.84,423.74,16,49.7908,80000,29.4447,16
-324.5250244140625,380.84,426.05,17,70.8329,85000,31.9669,17
-441.88818359375,384.12,416.08,18,141.2953,90000,32.1736,18
-431.0015869140625,848.87,901.27,19,38.9474,95000,31.3611,19
-534.794921875,1038.26,1037.7,20,34.7412,100000,34.9926,20
-946.8404541015625,135.64,135.23,21,225.5258,105000,32.7788,21
-633.7111206054688,349.38,442.26,22,158.4127,110000,31.4177,22
-596.046630859375,1021.83,1024.86,23,25.1009,115000,35.8759,23
-927.1531982421875,95.84,94.53,24,88.2342,120000,32.7716,24
-715.1815795898438,830.76,833.88,25,20.2017,125000,31.9513,25
-576.6095581054688,205.37,245.7,26,21.5953,130000,29.957,26
-852.8069458007812,793.03,708.72,27,71.4799,135000,30.5327,27
-815.8291015625,559.99,593.23,28,141.4288,140000,32.7238,28
-652.0858764648438,602.04,453.38,29,88.594,145000,32.2692,29
-340.27947998046875,1310.29,1365.97,30,24.6038,150000,33.447,30
-579.3577880859375,587.9,700.15,31,99.4476,155000,32.534,31
-514.7996215820312,1119.53,1144.71,32,28.3836,160000,32.6275,32
-958.547119140625,443.32,445.64,33,51.7822,165000,32.478,33
-1160.9105224609375,332.34,332.64,34,161.7572,170000,33.7853,34
-1278.474853515625,162.66,153.08,35,192.166,175000,34.2586,35
-679.7042236328125,1085.87,1047.92,36,22.3529,180000,32.9822,36
-1315.7467041015625,145.39,166.88,37,165.3673,185000,33.958,37
-348.0429992675781,173.17,248.05,38,39.9158,190000,31.2193,38
-745.8025512695312,1228.38,1225.74,39,20.743,195000,33.6309,39
-512.2242431640625,545.65,667.95,40,17.7391,200000,31.6412,40
-382.4700012207031,521.75,405.54,41,15.2084,205000,30.5,41
-313.4165344238281,1069.42,1079.85,42,20.9608,210000,31.1647,42
-317.9273986816406,306.1,289.15,43,14.6256,215000,30.3169,43
-414.0940246582031,403.53,418.71,44,20.3165,220000,29.6396,44
-1036.5877685546875,772.53,744.05,45,18.0031,225000,31.0085,45
-1214.822998046875,548.25,507.24,46,39.5799,230000,29.5577,46
-1033.7686767578125,689.76,581.27,47,18.2512,235000,30.1469,47
-1300.1134033203125,829.0,978.36,48,20.0067,240000,29.1651,48
-1235.770263671875,629.65,592.9,49,48.2138,245000,29.8359,49
-1291.8206787109375,1113.62,1025.38,50,17.7374,250000,33.3679,50
-1180.555908203125,635.36,595.38,51,18.6903,255000,31.184,51
-906.0611572265625,1061.01,921.71,52,18.0645,260000,32.8469,52
-913.5681762695312,1178.29,1177.65,53,16.388,265000,32.9192,53
-1081.8809814453125,1147.28,1143.31,54,17.7219,270000,33.4086,54
-1172.227783203125,1005.68,722.49,55,16.703,275000,33.1396,55
-983.646728515625,1136.47,1129.13,56,17.7431,280000,33.1237,56
-1174.9429931640625,1023.38,920.28,57,18.7952,285000,33.5786,57
-970.4345703125,277.57,417.47,58,21.6671,290000,33.3873,58
-1147.79443359375,1174.7,1219.53,59,19.886,295000,32.9186,59
-1074.80615234375,786.88,723.83,60,19.4921,300000,33.2491,60
-1053.003173828125,609.51,491.64,61,19.3433,305000,32.6187,61
-1412.5137939453125,763.49,656.67,62,24.1676,310000,31.6621,62
-1817.8822021484375,1043.52,1043.12,63,18.4937,315000,33.8425,63
-1207.736572265625,800.27,855.67,64,19.9662,320000,33.2574,64
-2039.9031982421875,582.27,690.86,65,34.2519,325000,33.3862,65
-1504.4012451171875,264.55,342.36,66,27.6529,330000,31.9767,66
-1808.16845703125,787.91,667.24,67,19.7788,335000,31.5452,67
-1916.67138671875,399.54,601.95,68,25.4451,340000,33.5523,68
-1576.4444580078125,388.99,453.45,69,45.3297,345000,29.7363,69
-2261.73193359375,716.58,833.07,70,23.6966,350000,33.94,70
-1857.718017578125,472.5,490.36,71,51.9444,355000,30.0537,71
-2573.839111328125,985.3,985.47,72,95.0442,360000,38.975,72
-2575.9248046875,996.05,996.21,73,34.442,365000,37.2428,73
-2463.181884765625,65.28,67.82,74,152.3842,370000,34.7294,74
-2315.283447265625,422.58,341.12,75,80.4824,375000,32.5016,75
-2668.24072265625,299.98,372.3,76,154.4298,380000,35.8647,76
-2230.910888671875,261.76,357.99,77,65.9371,385000,34.3406,77
-1715.37841796875,79.17,82.66,78,20.6907,390000,34.4593,78
-2033.4205322265625,146.24,157.83,79,22.9484,395000,34.6639,79
-1863.7044677734375,143.31,156.34,80,19.679,400000,34.2742,80
-2230.772705078125,391.19,429.21,81,23.4447,405000,34.4227,81
-2338.786865234375,194.19,167.12,82,23.9178,410000,34.085,82
-2442.099609375,136.59,127.71,83,22.8774,415000,33.0795,83
-2557.326416015625,306.3,263.94,84,25.1984,420000,33.3828,84
-2516.27880859375,109.89,123.72,85,21.6128,425000,32.4967,85
-2443.84814453125,435.91,370.25,86,20.5253,430000,32.672,86
-2840.087158203125,181.69,231.76,87,34.0588,435000,35.367,87
-2748.402099609375,451.95,465.98,88,29.1209,440000,33.8193,88
-2787.1962890625,5.68,5.79,89,64.6936,445000,33.7723,89
-1955.464111328125,-1.51,-1.71,90,23.8481,450000,32.2914,90
-3000.216796875,4.77,4.81,91,26.5004,455000,33.7701,91
-3030.204833984375,7.81,7.79,92,35.6546,460000,35.2361,92
-3225.476318359375,7.58,7.45,93,141.4788,465000,36.4523,93
-3095.2783203125,-2.28,-2.25,94,153.9056,470000,35.0002,94
-3581.390380859375,-2.36,-2.34,95,197.5311,475000,36.9516,95
-2230.652587890625,6.4,6.36,96,19.4113,480000,31.9159,96
-3454.6728515625,37.69,38.11,97,34.6928,485000,33.9274,97
-3636.9267578125,37.66,38.28,98,41.7465,490000,35.7456,98
-3809.3740234375,37.84,38.11,99,37.9143,495000,35.7307,99
-3667.034912109375,37.93,37.77,100,51.6668,500000,35.7611,100
-3854.9521484375,37.92,37.82,101,37.5596,505000,35.445,101
-3699.92724609375,38.0,37.71,102,213.4246,510000,35.7161,102
-3755.0185546875,37.84,37.78,103,233.0125,515000,35.7125,103
-3473.992919921875,37.45,37.94,104,189.9421,520000,33.4875,104
-4439.81005859375,37.68,38.08,105,198.0363,525000,35.6027,105
-4451.79638671875,37.87,38.29,106,182.451,530000,34.8872,106
-3507.999267578125,37.64,37.93,107,98.9592,535000,33.083,107
-3132.80908203125,38.12,38.0,108,180.1341,540000,35.3505,108
-4248.55712890625,4.42,4.42,109,226.6029,545000,37.7152,109
-4344.48681640625,4.43,4.42,110,222.866,550000,37.7172,110
-4555.09619140625,37.19,37.11,111,91.2354,555000,34.2902,111
-4801.64501953125,71.62,70.67,112,112.2768,560000,33.9105,112
-4832.89501953125,80.92,80.51,113,197.705,565000,33.7438,113
-3985.355224609375,79.96,78.92,114,123.2299,570000,33.429,114
-4284.95703125,78.18,77.02,115,121.6709,575000,33.4856,115
-4326.01123046875,40.11,41.0,116,55.3677,580000,34.6801,116
-4343.0166015625,38.71,41.12,117,83.412,585000,33.9327,117
-4950.21044921875,38.87,38.99,118,166.8988,590000,34.6504,118
-4705.31884765625,40.12,39.01,119,129.9982,595000,34.8214,119
-4928.28466796875,44.29,44.63,120,185.3977,600000,34.2985,120
-5131.98193359375,61.47,58.06,121,180.191,605000,35.8217,121
-5145.09619140625,52.54,53.6,122,85.115,610000,36.9412,122
-5064.904296875,62.1,61.56,123,28.9632,615000,38.1692,123
-5069.20751953125,63.17,63.45,124,30.4761,620000,37.7817,124
-5128.19873046875,72.45,71.85,125,30.763,625000,38.1665,125
-5189.91259765625,70.66,68.75,126,30.4148,630000,37.6851,126
-5227.71240234375,79.46,81.44,127,29.7811,635000,37.5296,127
-5259.0830078125,128.62,129.52,128,30.8908,640000,37.9132,128
-5303.97021484375,156.6,156.62,129,29.9114,645000,37.6686,129
-4753.703125,126.93,131.35,130,21.4939,650000,32.2074,130
-4476.775390625,140.21,153.2,131,39.1283,655000,32.0554,131
-4672.0263671875,135.36,111.19,132,31.5451,660000,33.0326,132
