Itration,Running Update Time,Real Sto Return,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return
0,0,233.32,0,67.35953521728516,37.6134,16.7592,239.12
1,1,247.75,5000,33.31667709350586,35.6244,19.4628,244.76
2,2,317.28,10000,46.858707427978516,35.8153,31.7175,323.96
3,3,387.14,15000,51.374595642089844,34.1379,28.884,395.01
4,4,390.97,20000,37.69469451904297,34.9288,26.9573,388.33
5,5,384.56,25000,16.49398422241211,34.9038,18.1466,362.73
6,6,365.17,30000,22.546537399291992,34.5495,17.5982,371.92
7,7,483.85,35000,17.235212326049805,34.412,17.8902,434.07
8,8,587.1,40000,61.83269500732422,34.3456,98.9381,612.67
9,9,408.41,45000,26.176721572875977,35.4831,25.3987,396.52
10,10,903.36,50000,50.222755432128906,34.0579,51.3743,1067.22
11,11,999.02,55000,-17.30816078186035,47.1505,43.9153,1000.24
12,12,334.11,60000,-13.48076057434082,34.9111,23.8026,323.44
13,13,170.1,65000,-6.752587795257568,38.7864,24.1448,167.89
14,14,1033.32,70000,-40.08913040161133,44.1844,30.3801,1031.45
15,15,107.67,75000,-55.86002731323242,43.1246,40.4119,107.31
16,16,310.5,80000,-6.050080299377441,38.422,20.6763,309.76
17,17,120.05,85000,16.18140983581543,34.3872,18.3364,134.58
18,18,1050.44,90000,-74.34037780761719,43.061,23.9641,1050.91
19,19,1019.93,95000,-66.26542663574219,41.7267,21.5346,1019.45
20,20,987.57,100000,-91.7788314819336,44.6228,61.1057,987.65
21,21,141.88,105000,-83.74059295654297,39.0818,62.477,141.73
22,22,115.37,110000,-68.77513122558594,38.3149,33.8412,116.63
23,23,1023.71,115000,-120.85521697998047,42.1499,37.2064,1027.62
24,24,618.66,120000,-47.86154556274414,39.5433,41.6962,617.27
25,25,214.29,125000,-97.5980453491211,37.9505,27.7456,169.18
26,26,1047.79,130000,-134.62454223632812,40.4114,32.6953,1046.79
27,27,190.46,135000,-60.25727081298828,34.5162,41.5293,180.86
28,28,993.34,140000,-163.4416961669922,44.459,46.0541,993.08
29,29,-2.35,145000,-187.5779266357422,45.6688,239.8097,-2.35
30,30,981.41,150000,-183.97427368164062,45.3589,81.3676,981.41
31,31,139.16,155000,-192.1519012451172,45.2179,77.4573,139.39
32,32,70.48,160000,-177.97198486328125,37.8854,45.9066,70.57
33,33,7.08,165000,-340.1815185546875,42.4586,218.6017,7.08
34,34,60.69,170000,-184.55406188964844,33.8456,109.8837,61.07
35,35,161.83,175000,-138.10980224609375,33.7623,56.8907,160.07
36,36,12.82,180000,-343.1240234375,43.3298,171.4901,12.81
37,37,362.07,185000,-154.0295867919922,36.1774,20.6989,339.54
38,38,762.72,190000,-204.85629272460938,37.1186,23.1566,848.91
39,39,972.7,195000,-214.4923858642578,38.5859,23.2415,997.38
40,40,400.29,200000,-225.49755859375,41.7731,30.9176,315.77
41,41,584.48,205000,-255.16995239257812,38.5397,64.5831,610.14
42,42,1035.88,210000,-227.20114135742188,38.7405,21.1484,1045.82
43,43,991.49,215000,-242.24697875976562,39.0157,19.2619,988.25
44,44,589.65,220000,-293.47119140625,39.8525,57.9906,541.23
45,45,386.25,225000,-310.7384033203125,38.2591,110.1708,360.85
46,46,372.63,230000,-328.2258605957031,37.8516,131.1135,391.68
47,47,340.88,235000,-342.4596862792969,38.427,120.3236,360.99
48,48,1043.87,240000,-310.04718017578125,41.2298,22.2127,1046.91
49,49,1077.63,245000,-322.6602783203125,39.7281,26.9711,1149.31
50,50,1024.93,250000,-374.0507507324219,40.7214,39.9619,1024.9
51,51,669.59,255000,-276.7508850097656,35.6786,43.4952,647.82
52,52,549.5,260000,-305.162841796875,36.4571,54.1713,554.35
53,53,629.05,265000,-321.9944763183594,34.2401,62.4819,576.37
54,54,393.82,270000,-222.28643798828125,36.0146,32.4516,407.31
55,55,200.85,275000,-176.3808135986328,35.5935,48.1481,200.37
56,56,531.2,280000,-243.0259246826172,37.2345,24.9557,684.64
57,57,980.4,285000,-381.4368896484375,42.4427,26.9882,981.35
58,58,900.21,290000,-310.00537109375,41.2543,27.6267,903.38
59,59,963.59,295000,-385.19287109375,41.8825,29.3267,963.08
60,60,244.59,300000,-459.6192321777344,40.5665,66.8755,244.89
61,61,929.36,305000,-463.5608825683594,38.2127,70.9414,879.9
62,62,203.67,310000,-479.1091613769531,42.7594,139.3151,203.55
63,63,336.13,315000,-439.5093994140625,40.2963,59.113,336.34
64,64,312.68,320000,-501.5721435546875,38.9506,130.9879,312.36
65,65,789.64,325000,-275.9620666503906,37.1799,32.6084,737.13
66,66,1091.56,330000,-336.62127685546875,39.9744,28.3561,1088.7
67,67,336.98,335000,-477.9577941894531,38.4826,97.4356,338.85
68,68,652.03,340000,-447.3446960449219,36.6755,64.9741,692.96
69,69,1042.8,345000,-537.7144165039062,41.6933,34.6325,1042.83
70,70,1037.07,350000,-522.1672973632812,42.1075,29.694,1037.16
71,71,1093.47,355000,-409.2464294433594,39.514,25.825,1095.06
72,72,305.69,360000,-604.8460083007812,37.6339,197.9242,305.69
73,73,228.17,365000,-592.4401245117188,38.8357,66.1639,227.71
74,74,327.86,370000,-547.2124633789062,36.6003,146.5887,327.86
75,75,267.46,375000,-451.1806640625,35.7437,43.1348,268.64
76,76,299.33,380000,-396.6233215332031,36.8972,54.0155,299.11
77,77,405.6,385000,-221.82357788085938,36.2111,25.1914,405.41
78,78,297.25,390000,-593.9827880859375,37.6697,46.4772,297.15
