Real Sto Return,Real Det Return,Running Update Time,Running Env Steps,Itration,Reward Loss,Running Forward KL,Running Reverse KL
-79.29,231.13,0,0,0,200.0650177001953,75.4342,25.8323
-39.48,335.23,1,5000,1,154.78952026367188,74.9292,27.0689
-15.84,406.68,2,10000,2,83.90491485595703,74.4543,27.9933
-2.41,662.05,3,15000,3,50.55752182006836,73.006,28.71
15.73,607.54,4,20000,4,-33.10067367553711,73.5985,29.7676
41.31,516.08,5,25000,5,-53.32112121582031,72.4709,29.9055
102.3,738.05,6,30000,6,-122.48392486572266,73.0537,32.3799
81.57,789.52,7,35000,7,-195.3269500732422,72.9049,32.1694
86.22,733.69,8,40000,8,-212.33473205566406,71.4771,32.3676
173.98,878.69,9,45000,9,-306.847900390625,73.6392,32.9124
127.07,729.9,10,50000,10,-321.4522399902344,72.2091,31.9657
177.41,588.75,11,55000,11,-406.5150451660156,71.5027,31.7521
158.37,615.97,12,60000,12,-462.4986877441406,75.2481,32.0481
173.06,792.48,13,65000,13,-555.2198486328125,72.3163,31.8187
192.0,756.4,14,70000,14,-582.3233032226562,72.5026,32.1443
211.99,677.46,15,75000,15,-653.359130859375,73.3527,32.4123
158.7,793.79,16,80000,16,-692.34521484375,71.0154,31.5547
162.78,645.32,17,85000,17,-788.4419555664062,72.4723,32.6216
183.4,692.86,18,90000,18,-831.7755126953125,74.0295,32.0674
187.65,906.97,19,95000,19,-907.0289916992188,73.9751,32.3432
197.41,844.17,20,100000,20,-921.0855712890625,74.0594,31.2936
198.97,684.18,21,105000,21,-1010.7504272460938,72.3638,31.4521
184.37,648.41,22,110000,22,-1051.3280029296875,73.605,30.9
216.47,924.74,23,115000,23,-1154.983154296875,74.8032,32.2273
215.18,972.39,24,120000,24,-1205.974609375,73.2282,31.6166
180.51,837.61,25,125000,25,-1253.6585693359375,73.2686,31.1154
187.63,669.45,26,130000,26,-1296.4112548828125,72.9064,30.9829
248.09,900.12,27,135000,27,-1332.3531494140625,72.401,30.6149
204.75,769.37,28,140000,28,-1419.552734375,71.776,31.0432
242.77,841.18,29,145000,29,-1485.7059326171875,73.9134,31.8772
232.06,835.76,30,150000,30,-1551.7410888671875,73.7903,31.7853
260.83,945.13,31,155000,31,-1614.708740234375,71.3042,30.2981
237.21,775.04,32,160000,32,-1662.546630859375,72.342,30.8852
267.65,930.5,33,165000,33,-1740.3062744140625,72.1932,31.378
239.22,864.91,34,170000,34,-1765.8966064453125,71.3309,30.8278
257.62,770.53,35,175000,35,-1879.9674072265625,71.45,30.4266
273.16,908.88,36,180000,36,-1921.7607421875,73.0481,31.429
221.63,780.24,37,185000,37,-1983.1024169921875,73.163,30.8972
254.52,627.98,38,190000,38,-2060.960693359375,72.5155,30.6895
199.56,816.79,39,195000,39,-2131.521484375,72.41,30.9814
233.56,774.88,40,200000,40,-2144.252197265625,73.4898,30.971
298.46,965.69,41,205000,41,-2243.0029296875,72.3557,30.6596
261.87,755.02,42,210000,42,-2299.856689453125,72.3944,30.6645
233.49,823.73,43,215000,43,-2431.220703125,73.4889,31.2345
293.37,1008.75,44,220000,44,-2432.205810546875,72.2894,30.4527
232.43,831.51,45,225000,45,-2522.6181640625,72.0647,30.2939
242.88,1006.11,46,230000,46,-2558.876220703125,70.4005,30.1833
261.73,793.86,47,235000,47,-2662.6123046875,71.5419,30.2317
297.28,781.87,48,240000,48,-2693.2998046875,71.2333,29.6217
246.26,957.44,49,245000,49,-2833.260009765625,73.073,31.2853
267.04,823.37,50,250000,50,-2868.94091796875,71.9784,31.0551
255.5,874.06,51,255000,51,-2968.64208984375,71.8763,30.4759
282.9,779.61,52,260000,52,-3074.8134765625,73.6378,30.8688
261.37,988.69,53,265000,53,-3170.818115234375,73.0585,31.1486
239.31,913.83,54,270000,54,-3185.91796875,72.1138,30.6225
223.02,680.94,55,275000,55,-3235.554931640625,72.4702,30.0865
228.2,858.99,56,280000,56,-3307.46337890625,71.7584,30.257
319.84,909.52,57,285000,57,-3448.44384765625,73.3673,30.8537
253.0,877.29,58,290000,58,-3503.0498046875,72.3351,30.3661
254.82,846.61,59,295000,59,-3598.2783203125,73.0273,30.7189
298.71,684.7,60,300000,60,-3676.253173828125,72.9111,30.3365
258.39,903.92,61,305000,61,-3759.619384765625,73.314,30.8482
268.81,879.32,62,310000,62,-3785.77392578125,72.1961,30.3948
251.46,626.26,63,315000,63,-3935.156982421875,73.1302,30.6791
216.83,723.53,64,320000,64,-3997.982666015625,72.7925,30.7176
263.98,775.4,65,325000,65,-4130.90673828125,72.0068,30.2747
307.82,795.93,66,330000,66,-4168.17822265625,72.1667,30.5109
303.54,930.12,67,335000,67,-4216.11669921875,72.5607,30.6066
322.02,965.15,68,340000,68,-4326.5400390625,72.434,30.821
288.29,945.48,69,345000,69,-4447.76806640625,71.8705,30.2805
276.97,838.32,70,350000,70,-4564.2353515625,72.4671,30.3914
306.01,822.45,71,355000,71,-4614.71533203125,72.2089,30.7298
325.23,944.97,72,360000,72,-4654.6201171875,72.1228,30.406
345.42,956.92,73,365000,73,-4762.58154296875,71.462,30.103
289.16,854.87,74,370000,74,-4924.765625,72.6225,30.5175
293.87,938.78,75,375000,75,-4960.703125,71.1039,29.5901
295.45,564.03,76,380000,76,-5062.369140625,73.0771,30.2486
312.38,914.08,77,385000,77,-5197.75,72.3151,30.2122
328.16,921.79,78,390000,78,-5296.58447265625,72.7903,30.2858
313.75,1016.53,79,395000,79,-5303.7900390625,71.4879,29.9512
336.43,989.46,80,400000,80,-5458.1005859375,71.2532,30.5935
292.23,937.86,81,405000,81,-5629.99951171875,73.0284,30.7204
288.5,999.29,82,410000,82,-5709.35302734375,72.6137,29.9749
348.95,1066.68,83,415000,83,-5809.60009765625,72.5566,30.0602
