Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Real Det Return
268.9606,435.0665,0,313.77,587.1796875,0,0,292.69
254.4302,427.6548,1,355.92,6.6367387771606445,1,5000,344.84
275.3002,445.9326,2,346.88,-798.6578369140625,2,10000,367.19
267.0364,431.5969,3,328.83,-1347.55615234375,3,15000,268.28
277.8277,419.8694,4,403.1,-1160.288330078125,4,20000,267.67
245.6266,427.0719,5,410.82,-990.6233520507812,5,25000,387.87
266.9507,416.1502,6,411.08,-1071.500732421875,6,30000,381.39
244.6476,400.9472,7,470.98,-1441.9581298828125,7,35000,537.83
261.4381,400.5645,8,455.26,-2131.565673828125,8,40000,487.54
272.1938,414.0031,9,511.56,-2295.618896484375,9,45000,569.39
268.4455,416.6141,10,497.83,-2683.969970703125,10,50000,531.02
263.4382,406.2314,11,508.62,-2538.34033203125,11,55000,601.29
283.0872,409.3463,12,573.59,-2046.7352294921875,12,60000,643.33
272.3761,409.4602,13,599.85,-2784.61767578125,13,65000,443.78
267.594,424.9461,14,564.43,-2788.90673828125,14,70000,476.34
269.2346,405.4223,15,649.45,-3467.6826171875,15,75000,583.6
298.6757,401.8441,16,573.62,-3369.011474609375,16,80000,489.79
293.6999,393.8652,17,647.82,-4249.1787109375,17,85000,491.47
330.2995,414.6631,18,639.42,-4475.50244140625,18,90000,557.4
285.0886,389.5335,19,739.65,-4696.9609375,19,95000,559.5
330.1332,400.1961,20,659.03,-5677.05712890625,20,100000,569.96
329.272,394.0626,21,872.28,-5380.55517578125,21,105000,580.98
282.7367,385.7988,22,841.44,-5061.0166015625,22,110000,632.14
283.6157,394.6283,23,719.25,-4659.36572265625,23,115000,658.05
307.351,379.454,24,826.38,-4855.92041015625,24,120000,575.77
280.7831,415.8908,25,721.8,-4491.19189453125,25,125000,591.79
365.7472,382.4801,26,933.23,-4490.66796875,26,130000,867.93
296.7653,387.845,27,810.68,-5029.69873046875,27,135000,793.3
322.8944,380.6073,28,883.24,-6478.28955078125,28,140000,675.3
285.9801,385.3147,29,856.65,-5358.5400390625,29,145000,673.47
304.5863,385.4467,30,839.1,-6993.84033203125,30,150000,585.88
269.2503,364.1577,31,926.91,-6714.6591796875,31,155000,594.35
299.7445,397.2791,32,819.33,-7270.63623046875,32,160000,1025.64
287.8796,373.0796,33,1156.96,-6604.81298828125,33,165000,572.4
283.3239,378.0617,34,1074.13,-6708.14794921875,34,170000,526.08
251.3238,388.2873,35,948.12,-6441.9794921875,35,175000,627.59
292.5859,375.5995,36,1206.65,-8227.7822265625,36,180000,610.63
250.1986,383.9323,37,1154.1,-7305.8759765625,37,185000,628.96
261.0012,370.0096,38,1035.09,-7882.833984375,38,190000,578.0
239.348,368.0562,39,1257.44,-7307.70751953125,39,195000,801.65
260.2517,388.496,40,1302.58,-7022.103515625,40,200000,800.38
258.1499,393.8485,41,1062.28,-7640.263671875,41,205000,582.96
212.1908,373.5666,42,1681.13,-6074.91015625,42,210000,879.11
246.7626,386.8209,43,1447.63,-6968.900390625,43,215000,860.87
263.459,372.99,44,1512.69,-8137.603515625,44,220000,995.02
177.7659,351.739,45,1807.15,-4943.5166015625,45,225000,751.77
166.0253,350.3087,46,2666.71,-4621.6259765625,46,230000,848.94
259.695,384.2419,47,1290.58,-8818.591796875,47,235000,789.17
247.794,373.4653,48,1641.81,-8201.30859375,48,240000,659.9
244.6325,385.4637,49,2277.94,-8733.5546875,49,245000,572.94
233.4981,370.4978,50,3381.93,-6770.9658203125,50,250000,570.64
233.4884,374.3737,51,1607.44,-7949.060546875,51,255000,621.91
225.2594,376.2515,52,1340.54,-8081.47705078125,52,260000,591.2
186.0025,367.99,53,2013.52,-5264.23828125,53,265000,953.54
214.9193,365.1226,54,1946.44,-7458.59716796875,54,270000,537.33
253.6006,375.8424,55,1705.47,-8802.9912109375,55,275000,519.04
188.4983,362.0793,56,2214.02,-5932.1083984375,56,280000,1164.54
193.1675,356.9594,57,2291.43,-6004.12548828125,57,285000,962.45
230.6413,364.7473,58,2183.56,-8306.638671875,58,290000,671.15
185.4741,356.1532,59,2701.59,-6471.765625,59,295000,604.51
181.5362,357.2799,60,3368.55,-6177.92333984375,60,300000,1112.04
218.1617,365.6134,61,3768.18,-7993.75732421875,61,305000,1239.15
179.5285,359.3327,62,3203.35,-6111.43798828125,62,310000,1814.04
217.2077,367.2531,63,1906.72,-8104.5341796875,63,315000,836.88
249.0913,371.5732,64,1312.93,-9568.482421875,64,320000,879.87
241.4088,373.1607,65,1688.04,-9573.8974609375,65,325000,854.0
245.8067,379.6613,66,1893.59,-10032.802734375,66,330000,982.78
277.1176,385.5858,67,1596.63,-10764.3603515625,67,335000,1152.92
183.3613,364.1102,68,2967.92,-6026.93310546875,68,340000,3187.05
191.4154,358.3011,69,3061.21,-6317.2158203125,69,345000,2238.03
232.683,379.3844,70,2403.25,-9280.0029296875,70,350000,1748.76
250.6036,380.3726,71,1571.8,-10287.2646484375,71,355000,1618.7
164.8599,350.7954,72,3271.64,-5551.888671875,72,360000,1707.42
208.3706,369.573,73,2590.1,-8138.1123046875,73,365000,704.42
285.4103,380.6356,74,1515.23,-10899.5048828125,74,370000,791.24
206.3634,372.5834,75,1999.13,-7866.86328125,75,375000,1752.91
208.3848,358.6865,76,2440.13,-9216.9091796875,76,380000,1249.48
204.8125,360.3384,77,3302.22,-8049.04248046875,77,385000,2031.63
168.7564,352.7804,78,2689.16,-6753.453125,78,390000,1932.48
193.9393,344.4496,79,3108.15,-8119.07373046875,79,395000,1278.17
186.1084,366.8157,80,3639.08,-7129.99072265625,80,400000,1061.66
186.7561,346.8532,81,3154.01,-8067.3369140625,81,405000,1542.99
184.8009,344.2681,82,2361.37,-8732.509765625,82,410000,1486.31
274.9752,365.8266,83,3357.26,-10501.8818359375,83,415000,720.36
184.6609,355.0965,84,3559.05,-8736.4580078125,84,420000,2260.6
199.9539,348.6208,85,3534.32,-8423.5419921875,85,425000,800.43
170.8688,359.7852,86,4359.92,-6804.98681640625,86,430000,1104.87
177.2932,370.147,87,4338.31,-7571.0888671875,87,435000,2207.83
239.6453,357.8487,88,3464.54,-10391.09375,88,440000,1140.38
202.076,353.0427,89,4087.62,-9497.7451171875,89,445000,1773.92
172.3587,359.1853,90,4411.69,-7247.98193359375,90,450000,3646.81
165.2333,357.9399,91,3835.56,-7710.0712890625,91,455000,1758.1
160.8388,358.9323,92,4931.68,-7417.21240234375,92,460000,2564.46
252.8636,364.3621,93,2692.72,-11765.1865234375,93,465000,1423.78
154.3377,351.2396,94,4241.99,-7609.99560546875,94,470000,2283.05
178.2137,352.706,95,3643.68,-9128.9892578125,95,475000,3111.43
222.4955,359.8885,96,2721.57,-10936.677734375,96,480000,1286.21
186.4872,359.7238,97,3831.72,-10011.583984375,97,485000,1376.59
217.3326,356.9827,98,2583.31,-11588.7724609375,98,490000,1807.36
315.5251,385.824,99,1287.17,-13581.2392578125,99,495000,2082.18
181.4631,364.6034,100,4097.87,-10274.7763671875,100,500000,4237.94
182.2982,346.4639,101,4337.4,-10373.3037109375,101,505000,2135.51
175.3233,367.1056,102,3662.57,-10017.947265625,102,510000,2068.05
162.7529,357.4506,103,4042.18,-9872.5224609375,103,515000,3716.16
227.3241,359.2992,104,3113.94,-11606.7470703125,104,520000,2889.91
198.8662,381.0514,105,3842.79,-11367.251953125,105,525000,2185.35
209.6668,366.1268,106,3519.53,-11866.328125,106,530000,3050.75
229.7179,381.3162,107,3208.55,-12741.4833984375,107,535000,1880.33
209.2763,375.7547,108,3771.45,-12476.41015625,108,540000,2476.42
295.6098,387.3418,109,1554.64,-13994.697265625,109,545000,1422.76
178.5439,367.7504,110,4684.62,-11362.3486328125,110,550000,3542.69
183.0735,368.7379,111,4189.27,-11826.720703125,111,555000,4560.04
179.6708,364.9602,112,4905.45,-11353.7529296875,112,560000,4794.04
191.2373,369.8942,113,4147.05,-12709.5625,113,565000,3492.38
185.2293,374.8061,114,4988.25,-12256.9501953125,114,570000,4000.68
173.3568,356.2489,115,4397.63,-11222.912109375,115,575000,4607.91
237.852,378.8807,116,3531.05,-14120.8671875,116,580000,3323.47
213.4679,383.945,117,4634.51,-12968.6650390625,117,585000,973.23
166.9975,367.7061,118,4840.57,-11674.890625,118,590000,4566.96
175.0185,363.2103,119,4248.18,-12214.12890625,119,595000,4182.15
189.9642,367.8255,120,4770.14,-12745.8603515625,120,600000,2339.04
176.735,361.7396,121,4566.58,-13094.6982421875,121,605000,4250.5
196.2908,377.1342,122,4549.93,-13627.607421875,122,610000,4824.86
224.0979,366.3906,123,3925.99,-13670.10546875,123,615000,4313.02
184.8501,367.8169,124,2947.59,-13068.4970703125,124,620000,1146.31
187.8349,356.235,125,3496.2,-13305.1640625,125,625000,2747.81
181.4745,371.6443,126,4275.47,-13750.240234375,126,630000,4530.84
170.7151,364.702,127,4878.12,-13293.4912109375,127,635000,4936.29
213.9357,371.7934,128,3855.69,-14286.962890625,128,640000,2384.2
175.6412,372.0046,129,4887.13,-13935.451171875,129,645000,4954.44
177.4934,366.5991,130,5015.94,-13587.64453125,130,650000,4435.75
241.8448,370.2528,131,2817.7,-14558.080078125,131,655000,2105.48
165.7972,367.0006,132,4434.25,-13879.7509765625,132,660000,5169.13
167.4329,358.6319,133,5141.23,-13032.8583984375,133,665000,5078.61
174.5422,369.6136,134,4892.08,-14184.509765625,134,670000,5021.19
199.2735,367.8183,135,3398.62,-14563.7802734375,135,675000,2125.01
194.9268,369.1761,136,4325.48,-14621.4404296875,136,680000,2880.39
222.5628,369.6976,137,3279.7,-15019.59765625,137,685000,3179.05
185.7456,377.8016,138,4834.6,-14905.138671875,138,690000,4511.84
264.4966,385.4921,139,2520.03,-15808.93359375,139,695000,2077.07
