Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Forward KL,Running Env Steps,Running Reverse KL
0,0,62.358909606933594,366.34,399.33,49.4661,0,12.3692
1,1,31.17521095275879,380.59,376.84,49.6573,5000,13.8951
2,2,33.38816833496094,292.56,462.14,49.3333,10000,12.5141
3,3,3.347322463989258,415.93,384.38,49.2443,15000,17.1268
4,4,-1.3998150825500488,370.9,424.95,48.7131,20000,15.7877
5,5,-16.80777931213379,448.88,510.83,48.8266,25000,13.2663
6,6,-28.887569427490234,492.1,510.85,48.4904,30000,14.2711
7,7,-19.224613189697266,576.77,897.71,48.549,35000,13.6807
8,8,-0.7284432649612427,698.52,783.51,48.2426,40000,12.8257
9,9,6.412938117980957,694.78,697.24,47.0761,45000,13.8313
10,10,-33.294795989990234,1056.88,1128.49,46.8325,50000,13.6107
11,11,-47.10014343261719,1049.22,1508.87,47.2222,55000,13.8897
12,12,-74.49115753173828,833.77,889.56,47.2104,60000,13.0924
13,13,-100.18511199951172,925.56,1099.94,46.8747,65000,15.2545
14,14,-166.27117919921875,946.53,1081.49,47.746,70000,27.2519
15,15,-132.1050262451172,833.06,947.2,47.329,75000,21.6452
16,16,-117.14575958251953,906.71,1020.08,46.931,80000,18.3421
17,17,-179.0570526123047,1015.5,1106.23,46.4442,85000,29.5332
18,18,-205.74212646484375,957.63,998.58,46.7953,90000,33.8308
19,19,-199.52359008789062,1046.71,1073.85,47.1702,95000,28.3201
20,20,-138.8825225830078,1133.38,1202.14,47.1724,100000,18.367
21,21,-195.4821319580078,1024.35,992.12,48.1475,105000,44.3266
22,22,-199.3700714111328,1537.43,1502.03,46.6389,110000,19.8753
23,23,-172.06069946289062,1052.11,1138.61,47.5404,115000,15.1966
24,24,-231.63369750976562,1002.92,1129.18,47.2279,120000,27.7401
25,25,-216.11509704589844,903.29,963.45,47.3966,125000,25.1843
26,26,-280.0991516113281,1117.7,1138.58,46.1283,130000,44.9369
27,27,-281.3755187988281,1148.0,1207.29,46.8817,135000,36.4377
28,28,-278.8546142578125,911.8,1020.82,46.144,140000,33.5336
29,29,-193.61749267578125,2313.62,2701.28,45.3916,145000,19.0056
30,30,-277.7742004394531,1254.94,1356.91,46.4765,150000,32.0846
31,31,-213.64175415039062,2588.17,2942.98,45.2716,155000,19.6608
32,32,-204.0338134765625,2925.9,2812.08,46.1062,160000,19.7091
33,33,-195.53485107421875,3273.22,3494.39,45.9262,165000,20.9115
34,34,-265.0072937011719,2459.6,2784.63,45.4366,170000,27.7341
35,35,-223.15335083007812,3424.84,3466.92,45.734,175000,22.1713
36,36,-284.9344787597656,2656.98,3287.28,46.3017,180000,25.6899
37,37,-225.40956115722656,3298.13,3531.27,45.2791,185000,20.5077
38,38,-200.32847595214844,3328.79,3481.68,45.0189,190000,22.4702
39,39,-213.5301513671875,3482.48,4051.26,45.4728,195000,22.1101
40,40,-260.67767333984375,3107.88,3847.79,45.1337,200000,24.0227
41,41,-434.3417053222656,36.33,26.04,55.6515,205000,48.5703
42,42,-247.80508422851562,3521.12,3695.27,45.5712,210000,22.4905
43,43,-277.550048828125,3529.12,3715.9,45.885,215000,21.5974
44,44,-262.69378662109375,3667.0,3618.67,44.4697,220000,21.517
45,45,-260.2496337890625,3994.77,4034.49,44.5752,225000,22.8903
46,46,-308.5798645019531,2833.55,4019.83,45.4657,230000,20.5033
47,47,-247.4043731689453,3678.49,4007.93,42.3234,235000,18.9643
48,48,-295.9561767578125,2772.56,3193.51,43.6254,240000,17.6879
49,49,-245.91204833984375,4142.45,4232.26,42.9039,245000,21.3084
50,50,-283.0722961425781,4154.65,4248.93,44.0129,250000,20.2632
51,51,-256.3384704589844,3969.52,4157.33,43.7275,255000,21.5647
52,52,-253.69369506835938,4141.88,4105.31,41.384,260000,20.2409
53,53,-317.69818115234375,3826.37,4168.61,44.4409,265000,19.0044
54,54,-254.15774536132812,4255.23,4493.71,44.5325,270000,22.321
