Itration,Running Update Time,Running Reverse KL,Real Sto Return,Reward Loss,Running Env Steps,Running Forward KL,Real Det Return
0,0,26.4019,-68.0,-38.13481140136719,0,74.0757,313.38
1,1,26.1647,-125.38,-55.123416900634766,5000,72.8415,305.51
2,2,27.7498,-34.37,-65.99103546142578,10000,75.1934,451.65
3,3,25.8444,-5.95,-77.8202133178711,15000,72.9752,321.68
4,4,26.982,1.33,-96.30438995361328,20000,71.4747,444.49
5,5,28.1252,45.07,-108.57364654541016,25000,72.2771,474.28
6,6,27.9733,71.94,-118.82272338867188,30000,70.6297,589.66
7,7,28.7725,94.54,-129.29962158203125,35000,71.8431,497.25
8,8,30.2475,118.67,-147.3947296142578,40000,71.4433,535.34
9,9,30.7678,94.68,-160.9574432373047,45000,71.9328,604.11
10,10,29.3906,123.36,-171.00173950195312,50000,70.4715,558.11
11,11,30.9541,166.84,-186.93484497070312,55000,72.535,626.8
12,12,29.7926,160.07,-194.76602172851562,60000,69.3476,741.54
13,13,29.3055,124.4,-210.0045623779297,65000,68.4965,778.44
14,14,29.3756,209.33,-222.69171142578125,70000,68.8721,849.86
15,15,31.4621,146.78,-245.13031005859375,75000,71.7999,936.09
16,16,29.1678,192.31,-247.62425231933594,80000,69.3772,795.59
17,17,29.6042,202.74,-262.9952697753906,85000,69.2463,963.51
18,18,30.1948,116.59,-279.24053955078125,90000,71.166,775.92
19,19,29.9613,254.77,-292.83905029296875,95000,67.9787,883.68
20,20,30.2329,169.01,-303.79241943359375,100000,67.6856,820.63
21,21,30.2089,198.13,-316.33697509765625,105000,70.5902,985.16
22,22,29.3357,269.85,-327.77825927734375,110000,69.1871,1032.8
23,23,30.4363,276.34,-350.01507568359375,115000,70.9644,864.4
24,24,31.551,316.08,-363.93780517578125,120000,67.3514,882.77
25,25,53.3353,-112.62,-396.4375305175781,125000,78.671,-185.25
26,26,70.8127,-1184.65,-385.8077392578125,130000,82.2733,-1143.93
27,27,35.6046,-170.69,-405.7067565917969,135000,76.091,-221.33
28,28,34.5859,-94.9,-395.41058349609375,140000,71.1786,132.23
29,29,29.0191,-208.36,-410.6940612792969,145000,72.7631,51.75
30,30,30.6209,-106.72,-435.17535400390625,150000,73.5811,203.63
31,31,28.5983,-174.2,-432.9059753417969,155000,72.1887,-104.13
32,32,35.9303,-103.08,-476.2876281738281,160000,74.7861,-132.48
33,33,29.2205,-204.0,-473.012939453125,165000,73.1087,-73.18
34,34,27.2478,-45.34,-488.33319091796875,170000,71.2971,-150.54
35,35,28.5953,-46.88,-507.13824462890625,175000,73.1411,-4.0
36,36,29.7081,-92.76,-514.6849365234375,180000,71.7356,79.87
37,37,44.9886,-375.52,-523.1614379882812,185000,74.2834,-651.23
38,38,41.4186,-140.12,-541.5343017578125,190000,71.3217,-24.65
39,39,28.7785,-50.3,-567.4581298828125,195000,69.8921,-621.6
40,40,30.997,-40.03,-603.6436767578125,200000,73.9539,-9.03
41,41,34.0969,-96.66,-603.61328125,205000,72.6509,-106.15
42,42,29.7373,-32.17,-596.0838623046875,210000,70.2516,170.41
43,43,31.5826,-84.38,-628.5635375976562,215000,73.2676,158.23
44,44,31.9433,-49.75,-650.9758911132812,220000,73.3972,126.99
45,45,31.4974,-26.38,-666.664306640625,225000,74.8985,243.02
46,46,31.7932,-55.67,-690.990478515625,230000,73.4886,44.83
47,47,36.3824,-151.32,-693.0964965820312,235000,71.9473,-51.28
48,48,30.7509,-34.76,-691.9039306640625,240000,72.7978,232.66
49,49,30.6413,-4.95,-723.4135131835938,245000,70.4464,233.33
50,50,33.4515,-4.61,-741.92236328125,250000,70.9465,314.33
51,51,28.2942,13.32,-710.3765258789062,255000,67.9778,214.8
52,52,31.8672,-97.71,-747.0786743164062,260000,69.7546,-152.38
53,53,29.0601,4.32,-787.1327514648438,265000,70.1749,271.17
54,54,31.0077,18.63,-816.2666625976562,270000,71.2693,310.34
55,55,43.1864,-284.69,-817.3637084960938,275000,75.0448,-391.68
56,56,29.0854,0.47,-832.0516357421875,280000,71.0814,349.9
57,57,32.5084,-50.67,-851.656005859375,285000,72.2144,-370.81
58,58,28.4403,-4.6,-843.359130859375,290000,72.3023,124.23
59,59,28.9258,17.28,-874.3892822265625,295000,72.6926,319.1
60,60,26.9065,22.36,-866.7540283203125,300000,69.5494,272.71
61,61,29.6503,41.14,-913.939453125,305000,73.471,264.26
62,62,30.8858,-15.19,-907.4588623046875,310000,70.2117,311.22
63,63,38.5975,-199.25,-958.054443359375,315000,72.4144,-191.35
64,64,31.6336,52.36,-947.2772827148438,320000,71.2466,409.43
65,65,30.1033,-17.5,-993.07421875,325000,71.6468,229.11
66,66,29.7195,-94.07,-1005.9815673828125,330000,73.4772,-43.34
67,67,30.8412,25.68,-986.7755126953125,335000,69.0541,283.23
68,68,30.1306,13.47,-1021.2310791015625,340000,71.7182,377.97
69,69,29.1822,-3.55,-1060.2327880859375,345000,72.7949,225.11
70,70,31.0471,-46.39,-1066.638916015625,350000,72.0598,251.92
71,71,32.0401,5.94,-1081.456787109375,355000,71.7755,419.86
72,72,36.2774,-14.34,-1175.520751953125,360000,75.0721,271.79
73,73,32.6237,28.68,-1162.1566162109375,365000,71.1124,83.34
74,74,41.9975,-303.19,-1191.0894775390625,370000,73.4537,-15.28
75,75,84.7053,-230.03,-1267.158447265625,375000,76.7555,-290.15
76,76,41.8642,-99.24,-1211.474609375,380000,72.317,-16.25
77,77,30.1832,-47.57,-1208.2611083984375,385000,71.8095,123.3
78,78,38.2269,-93.48,-1259.880859375,390000,71.159,174.75
79,79,30.9416,-7.68,-1298.2750244140625,395000,72.8107,511.7
80,80,31.4888,-102.78,-1250.642822265625,400000,70.9101,54.66
81,81,33.8077,-34.72,-1305.1556396484375,405000,72.8564,310.86
82,82,35.1089,-20.02,-1335.0032958984375,410000,73.1924,215.04
83,83,30.3232,-27.93,-1318.4786376953125,415000,69.9898,123.76
84,84,28.3382,-26.05,-1310.620361328125,420000,67.2422,303.41
85,85,30.1883,-12.19,-1405.136962890625,425000,70.559,270.91
86,86,29.6674,-5.66,-1393.7847900390625,430000,70.756,256.82
87,87,27.6216,47.26,-1411.864013671875,435000,71.092,391.08
88,88,28.4141,10.53,-1442.1917724609375,440000,71.3794,166.09
89,89,25.8957,-18.6,-1451.9517822265625,445000,69.1987,149.19
90,90,32.5611,-34.12,-1543.4693603515625,450000,71.475,233.27
91,91,27.9553,-4.09,-1492.886474609375,455000,69.379,227.24
92,92,25.9965,-69.56,-1485.5074462890625,460000,70.9201,296.88
93,93,33.8595,-43.8,-1502.41845703125,465000,70.8493,42.42
94,94,29.8098,-8.63,-1593.7117919921875,470000,71.8647,259.17
95,95,27.9154,-11.83,-1587.4984130859375,475000,70.0816,138.82
96,96,26.9753,-38.28,-1647.750732421875,480000,70.4523,181.09
97,97,28.6978,-4.33,-1664.3682861328125,485000,70.4707,254.52
98,98,27.1784,35.08,-1681.277099609375,490000,70.567,180.73
99,99,33.7266,-48.39,-1696.407958984375,495000,70.5703,126.49
100,100,28.2236,-57.11,-1744.3504638671875,500000,72.8518,111.23
101,101,31.357,-108.91,-1700.131591796875,505000,69.2493,15.82
102,102,33.6733,-102.19,-1745.7227783203125,510000,70.2856,98.52
103,103,31.073,-50.93,-1835.6561279296875,515000,72.2226,66.22
104,104,37.935,-53.03,-1848.1744384765625,520000,71.8586,79.72
105,105,35.5319,-61.43,-1866.8651123046875,525000,71.4614,176.86
