Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return,Itration
189.2,0,33.9506,-1180.4725341796875,21.556,0,184.29,0
185.16,5000,31.8734,-1279.4814453125,38.9972,1,31.31,1
287.65,10000,32.7034,-1005.0923461914062,56.6639,2,290.85,2
504.2,15000,30.1717,-1143.8565673828125,34.6676,3,997.95,3
353.55,20000,31.0191,-1433.8424072265625,48.148,4,363.05,4
313.93,25000,30.4259,-1185.85498046875,39.665,5,305.17,5
364.85,30000,32.7102,-1423.79248046875,35.6165,6,380.36,6
368.96,35000,29.584,-715.3951416015625,56.8826,7,376.44,7
368.88,40000,30.3964,-1601.6358642578125,34.9845,8,386.7,8
416.29,45000,29.6489,-1606.05810546875,50.9044,9,369.72,9
461.5,50000,30.5415,-1812.197265625,23.4842,10,425.94,10
989.69,55000,36.035,-2238.32080078125,21.6333,11,1055.34,11
250.49,60000,31.8682,-2179.10400390625,24.4482,12,229.13,12
1021.0,65000,31.8667,-2225.31396484375,20.5773,13,1053.95,13
178.1,70000,30.4528,-2212.135986328125,21.0211,14,129.28,14
601.73,75000,27.9993,-1428.271240234375,16.4599,15,618.48,15
1053.36,80000,31.3577,-2307.82763671875,20.0166,16,1027.19,16
785.09,85000,27.492,-1956.3538818359375,17.0974,17,1027.69,17
563.29,90000,26.1318,-1983.8118896484375,31.6848,18,729.29,18
586.84,95000,27.5795,-2028.5736083984375,24.1654,19,613.46,19
269.27,100000,32.8471,-2902.8310546875,69.6326,20,275.85,20
1105.21,105000,26.8587,-2199.612060546875,16.6105,21,782.38,21
140.01,110000,26.5307,-1939.7701416015625,24.7611,22,144.33,22
958.88,115000,34.6504,-2727.531494140625,22.827,23,1041.64,23
994.11,120000,36.5146,-2758.17578125,24.5937,24,1005.39,24
461.83,125000,35.1694,-2604.83837890625,22.3539,25,490.98,25
310.78,130000,31.1625,-2830.360107421875,27.8755,26,327.42,26
506.08,135000,27.1138,-2038.3443603515625,99.2165,27,486.45,27
769.17,140000,27.2248,-1956.1097412109375,26.4011,28,887.08,28
975.55,145000,37.5145,-3111.663818359375,43.0181,29,977.38,29
977.62,150000,37.5399,-3140.066650390625,36.5749,30,978.69,30
1229.95,155000,25.7296,-1832.502685546875,34.187,31,766.39,31
889.61,160000,26.3461,-1873.7625732421875,33.6625,32,878.75,32
1798.47,165000,28.2859,-2140.38427734375,14.693,33,1955.78,33
1243.93,170000,30.297,-2773.73583984375,22.3274,34,1012.76,34
988.78,175000,37.9945,-3346.4873046875,34.932,35,990.07,35
718.65,180000,35.405,-3557.32958984375,25.8099,36,1012.13,36
877.72,185000,34.3032,-3557.7197265625,25.2889,37,989.13,37
1003.97,190000,34.2537,-3521.180908203125,20.0811,38,986.91,38
1836.85,195000,21.9445,-1802.5582275390625,16.027,39,1750.45,39
2443.31,200000,25.245,-1441.0904541015625,13.4331,40,2499.06,40
2170.9,205000,26.6559,-1334.256103515625,13.8327,41,2239.39,41
1300.26,210000,24.0332,-2036.335205078125,17.8192,42,2059.5,42
2502.33,215000,25.1453,-971.8253173828125,14.2743,43,2515.77,43
2482.66,220000,26.3646,-969.993896484375,14.4366,44,2471.72,44
1213.82,225000,24.3423,-2258.42041015625,15.6705,45,1219.15,45
2486.58,230000,26.3399,-1045.21533203125,13.9925,46,2472.26,46
