Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Itration,Real Det Return,Reward Loss,Running Forward KL
12.9395,0,0,430.56,0,435.78,430.1287536621094,49.316
16.0229,5000,1,422.06,1,383.25,213.85951232910156,49.2498
13.7414,10000,2,372.22,2,401.93,224.4234619140625,49.2169
15.9974,15000,3,351.25,3,373.58,395.60028076171875,49.7584
12.9201,20000,4,402.96,4,446.74,303.9437561035156,48.9008
12.3188,25000,5,422.07,5,440.98,58.170501708984375,49.3107
12.1806,30000,6,386.59,6,439.49,1.8101474046707153,48.9966
12.3533,35000,7,406.73,7,475.64,-183.13784790039062,48.8823
13.5793,40000,8,425.06,8,550.55,-261.8766174316406,49.0244
15.0529,45000,9,429.6,9,469.96,-413.3787841796875,48.43
13.9017,50000,10,447.71,10,465.79,-344.7739562988281,48.8882
14.4377,55000,11,478.79,11,567.3,-472.3813781738281,48.2405
14.0828,60000,12,527.53,12,537.62,-530.0518798828125,47.4471
13.7893,65000,13,578.28,13,560.22,-438.89630126953125,47.6972
15.6299,70000,14,685.81,14,725.32,-597.1253662109375,47.199
14.0082,75000,15,551.31,15,604.79,-545.3665771484375,47.5912
19.5017,80000,16,674.88,16,662.38,-596.0469970703125,47.5264
14.7302,85000,17,652.29,17,749.41,-668.9767456054688,47.9162
15.4993,90000,18,973.19,18,1357.87,-647.2029418945312,47.3564
14.9252,95000,19,1035.56,19,871.28,-606.0745239257812,46.6148
15.1962,100000,20,735.8,20,849.49,-666.9439086914062,47.2976
13.2841,105000,21,821.56,21,848.84,-646.6700439453125,46.7923
17.2756,110000,22,986.54,22,804.83,-1038.78125,47.1605
13.3059,115000,23,1025.49,23,1157.61,-907.5693359375,46.815
12.7685,120000,24,1198.98,24,1570.13,-876.8050537109375,46.0863
20.1741,125000,25,1316.44,25,1219.52,-1103.5020751953125,47.0157
26.0888,130000,26,1441.05,26,2001.14,-1273.288818359375,46.5211
14.6512,135000,27,1305.34,27,1027.27,-1079.5633544921875,46.577
13.6491,140000,28,1845.12,28,1628.29,-904.5987548828125,45.7425
15.2776,145000,29,2075.21,29,2110.01,-1051.287109375,45.1454
13.39,150000,30,2382.66,30,2650.34,-836.6576538085938,45.17
14.0897,155000,31,2555.81,31,2664.01,-857.0538330078125,45.0608
13.3728,160000,32,2774.54,32,2857.99,-871.4700927734375,44.0999
15.3803,165000,33,2702.57,33,3000.94,-883.4337158203125,44.5849
15.5882,170000,34,2911.84,34,3012.87,-894.6923217773438,45.7552
13.5007,175000,35,2893.91,35,3027.77,-957.6187133789062,45.0731
14.6982,180000,36,3107.56,36,3210.59,-973.1424560546875,44.4684
15.1172,185000,37,2877.86,37,2978.75,-1041.6103515625,44.5854
15.617,190000,38,2957.77,38,2878.73,-1172.4500732421875,43.9051
14.098,195000,39,2751.97,39,2970.71,-1061.3453369140625,44.2657
14.1064,200000,40,2991.21,40,3053.39,-981.8814697265625,44.1766
13.3894,205000,41,3072.78,41,3199.13,-994.1146850585938,43.7556
12.6756,210000,42,3222.17,42,3190.38,-999.2271118164062,43.5104
15.1475,215000,43,2718.09,43,3178.56,-1287.7830810546875,44.4148
13.8939,220000,44,3257.68,44,3255.58,-1046.3624267578125,44.0051
15.5748,225000,45,3357.32,45,3225.92,-1199.2784423828125,44.0829
15.1111,230000,46,3164.28,46,3194.12,-1245.5791015625,44.3329
14.0875,235000,47,3191.28,47,3422.41,-1168.0567626953125,43.824
15.2924,240000,48,3112.47,48,3306.68,-1327.345458984375,43.9631
13.9669,245000,49,3020.94,49,3440.98,-1399.28173828125,44.2888
14.6988,250000,50,3168.65,50,3454.05,-1172.9139404296875,43.7689
15.3597,255000,51,3347.77,51,3473.28,-1358.3565673828125,43.8134
14.4071,260000,52,3249.18,52,3248.74,-1254.1416015625,43.6605
13.6568,265000,53,3489.34,53,3284.4,-1338.875732421875,43.4038
13.3503,270000,54,3373.04,54,3461.05,-1322.4893798828125,43.396
13.6168,275000,55,2972.76,55,3317.42,-1420.6663818359375,43.3031
14.6432,280000,56,3201.58,56,3171.54,-1282.831787109375,43.2861
14.912,285000,57,3539.65,57,3383.28,-1338.630615234375,43.7219
14.9144,290000,58,3276.24,58,3598.78,-1458.7437744140625,43.2752
14.9439,295000,59,3426.18,59,3524.99,-1316.9725341796875,43.0251
13.8039,300000,60,3513.32,60,3655.78,-1403.505126953125,43.2786
13.9059,305000,61,3572.89,61,3693.34,-1408.6959228515625,42.9757
13.974,310000,62,3345.62,62,3489.08,-1452.7938232421875,42.9622
14.5315,315000,63,3602.17,63,3596.7,-1428.410400390625,42.9598
13.6391,320000,64,3600.87,64,3603.08,-1448.2059326171875,42.9584
13.4844,325000,65,3631.46,65,3569.0,-1439.52685546875,42.7287
13.5349,330000,66,3284.66,66,3615.78,-1610.24365234375,43.1717
13.4427,335000,67,3579.16,67,3646.23,-1489.9144287109375,42.9442
14.3214,340000,68,3609.34,68,3685.83,-1487.5003662109375,43.2165
13.2716,345000,69,3696.43,69,3736.45,-1465.2197265625,42.7201
13.2034,350000,70,3691.07,70,3613.72,-1536.790771484375,42.6114
13.6489,355000,71,3728.23,71,3861.22,-1472.73193359375,42.4632
14.1741,360000,72,3671.07,72,3777.17,-1589.283935546875,42.7671
13.5846,365000,73,3666.55,73,3724.86,-1526.6378173828125,42.1472
13.8497,370000,74,3754.04,74,3844.89,-1568.800048828125,42.3663
13.9413,375000,75,3745.39,75,3811.33,-1589.97802734375,41.9995
14.3961,380000,76,3732.53,76,3820.37,-1605.389892578125,42.3565
14.6557,385000,77,3803.89,77,3915.57,-1586.7979736328125,42.0567
14.2525,390000,78,3720.75,78,3818.21,-1617.157958984375,42.1362
14.1015,395000,79,3704.81,79,3724.1,-1694.1590576171875,42.4023
14.6126,400000,80,3653.18,80,3911.06,-1695.7806396484375,42.2337
13.9982,405000,81,3837.87,81,3873.5,-1653.3399658203125,41.526
14.401,410000,82,3683.63,82,3830.88,-1698.2740478515625,42.2383
15.0967,415000,83,3851.68,83,3907.36,-1703.59130859375,41.8364
14.4703,420000,84,3801.07,84,3955.46,-1705.8646240234375,41.7437
